Row,score,count,names
id16288,2405.57059886786,25975,Mike Gipson
id14109,2334.33194041067,42567,Reginald Jones-Sawyer
id14110,2254.88044950814,43689,Marc Levine
id16280,2070.98023692461,25518,Autumn Burke
id10973,2065.88963707445,42522,Das Williams
id14095,1893.28194367854,41231,Cheryl Brown
id16221,1865.38126193276,33848,Brian Jones
id14121,1850.15702452316,43550,Mark Stone
id14098,1833.23880802491,42310,Ken Cooley
id16290,1721.37503302278,26037,Matthew Harper
id14123,1718.39495094531,39515,Marie Waldron
id16299,1716.38204327378,26610,Miguel Santiago
id16292,1709.31501597125,24144,Young Kim
id16286,1702.64144478341,26170,Eduardo Garcia
id16303,1694.51132148928,26173,Jim Wood
id16094,1677.11779595749,35067,Matt Dababneh
id16294,1676.95106916419,26542,Evan Low
id11610,1666.26835803629,42321,Nora Campos
id14104,1664.54660212701,43171,Cristina Garcia
id17429,1654.7015722266,34598,Sebastian Ridley-Thomas
id10965,1640.68303349451,41851,Richard Gordon
id10972,1622.16535289554,17165,Bob Wieckowski
id16291,1598.03249163076,26112,Jacqui Irwin
id16302,1585.84580999325,26101,Travis Allen
id16316,1582.13076559648,24278,Chad Mayes
id14125,1580.89862491073,42367,Scott Wilk
id16297,1547.91513923091,24544,Patrick O'Donnell
id16301,1543.27522522961,25310,Tony Thurmond
id14100,1540.11626307776,39426,Tom Daly
id16293,1528.0199764858,26680,Tom Lackey
id17428,1526.6008642513,42375,Rudy Salas
id11920,1522.59080670436,41161,Roger Hernandez
id16317,1517.11141168608,26680,Patty Lopez
id14103,1515.52032577879,39280,Jim Frazier
id14106,1505.86526686752,40531,Adam Gray
id14099,1505.26902798084,38911,Brian Dahle
id16289,1491.46498459337,21591,David Hadley
id13078,1488.40779325555,40268,Beth Gaines
id11611,1484.65522464012,41035,Shannon Grove
id14101,1482.27084227184,40844,Susan Eggman
id11232,1479.12314106943,39567,Kristin Olsen
id16278,1465.8081848912,26680,Catharine Baker
id14219,1409.75641548506,41176,Adrin Nazarian
id14114,1404.52175129052,40091,Melissa Melendez
id16283,1397.95491699419,26388,Kansen Chu
id16296,1393.53247084755,25756,Kevin McCarty
id16284,1392.34963321702,24846,Jim Cooper
id14112,1391.40034206773,42865,Brian Maienschein
id10960,1391.12346212188,42475,Susan Bonilla
id14096,1391.02903735165,43488,Edwin Chau
id16033,1387.02657498859,39878,Lorena Gonzalez
id14108,1385.24691127886,43333,Ian Calderon
id14092,1380.97685643966,42071,Richard Bloom
id11609,1376.90562523709,40623,K H Achadjian
id16087,1365.20540134292,34562,Freddie Rodriguez
id16287,1364.35735192008,24269,James Gallagher
id14111,1325.47380583448,36636,Eric Linder
id14119,1325.30672743889,42862,Bill Quirk
id14097,1320.4709770065,39480,Rocky Chavez
id10959,1319.29036920957,42579,Toni Atkins
id14115,1305.41566290323,43783,Kevin Mullin
id14124,1299.87501094902,42603,Shirley Weber
id14120,1298.72305925584,43801,Anthony Rendon
id14094,1296.00572938797,43894,Rob Bonta
id16298,1295.40098300734,26336,Jay Obernolte
id14105,1295.38740607572,43698,Jimmy Gomez
id14107,1295.19012468056,36709,Chris Holden
id10957,1284.59374137373,41926,Luis Alejo
id14122,1284.26275619964,43399,Philip Ting
id14113,1280.22695089257,42369,Jose Medina
id10971,1278.19571399979,28823,Henry Perea
id9547,1262.40043962378,43894,Mike Gatto
id16281,1251.18926481285,22195,Ling-ling Chang
id1496,1245.67378146083,10918,Juan Arambula
id14117,1244.06812214203,40397,Jim Patterson
id16282,1181.72627377398,26326,David Chiu
id16285,1180.76312972057,26186,Bill Dodd
id11616,1127.5397751797,43282,Donald Wagner
id16295,1122.94026194393,23672,Devon Mathis
id14091,1068.41272723894,39035,Franklin Bigelow
id16300,755.976168906582,25336,Marc Steinorth
id16279,591.109915415305,24063,William Brough
