sponsor_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role
1494,"Tom Ammiano",Tom,,Ammiano,,,1,D,1,Rep
1495,"Joel Anderson",Joel,,Anderson,,,2,R,2,Sen
1498,"Jim Beall",Jim,,Beall,Jr.,,1,D,2,Sen
1500,"Tom Berryhill",Tom,,Berryhill,,,2,R,2,Sen
1502,"Marty Block",Marty,,Block,,,1,D,2,Sen
1503,"Robert Blumenfield",Robert,,Blumenfield,,Bob,1,D,1,Rep
1504,"Steven Bradford",Steven,,Bradford,,,1,D,1,Rep
1506,"Joan Buchanan",Joan,T.,Buchanan,,,1,D,1,Rep
1510,"Wesley Chesbro",Wesley,,Chesbro,,,1,D,1,Rep
1511,"Connie Conway",Connie,,Conway,,,2,R,1,Rep
1516,"Kevin de Leon",Kevin,,"de Leon",,,1,D,2,Sen
1518,"Bill Emmerson",Bill,,Emmerson,,,2,R,2,Sen
1520,"Noreen Evans",Noreen,M.,Evans,,,1,D,2,Sen
1523,"Paul Fong",Paul,J.,Fong,,,1,D,1,Rep
1525,"Jean Fuller",Jean,,Fuller,,,2,R,2,Sen
1527,"Ted Gaines",Ted,,Gaines,,,2,R,2,Sen
1528,"Cathleen Galgiani",Cathleen,,Galgiani,,,1,D,2,Sen
1531,"Curt Hagman",Curt,,Hagman,,,2,R,1,Rep
1532,"Isadore Hall",Isadore,,Hall,III,,1,D,2,Sen
1533,"Diane Harkey",Diane,L.,Harkey,,,2,R,1,Rep
1535,"Edward Hernandez",Edward,P.,Hernandez,,,1,D,2,Sen
1536,"Jerry Hill",Jerry,A.,Hill,,,1,D,2,Sen
1540,"Dave Jones",Dave,,Jones,,,1,D,1,Rep
1541,"Steve Knight",Steve,,Knight,,,2,R,2,Sen
1542,"Ted Lieu",Ted,W.,Lieu,,,1,D,2,Sen
1543,"Dan Logue",Dan,,Logue,,,2,R,1,Rep
1544,"Bonnie Lowenthal",Bonnie,,Lowenthal,,,1,D,1,Rep
1548,"William Monning",William,W.,Monning,,Bill,1,D,2,Sen
1550,"Brian Nestande",Brian,,Nestande,,,2,R,1,Rep
1552,"Jim Nielsen",Jim,,Nielsen,,,2,R,2,Sen
1554,"John Perez",John,A.,Perez,,,1,D,1,Rep
1555,"Manuel Perez","V. Manuel",,Perez,,,1,D,1,Rep
1561,"Nancy Skinner",Nancy,C.,Skinner,,,1,D,1,Rep
1567,"Norma Torres",Norma,J.,Torres,,,1,D,2,Sen
1571,"Mariko Yamada",Mariko,,Yamada,,,1,D,1,Rep
1575,"Ronald Calderon",Ronald,S.,Calderon,,,1,D,2,Sen
1578,"Ellen Corbett",Ellen,M.,Corbett,,,1,D,2,Sen
1579,"Lou Correa",Lou,,Correa,,,1,D,2,Sen
1582,"Mark DeSaulnier",Mark,,DeSaulnier,,,1,D,2,Sen
1588,"Robert Huff",Robert,,Huff,,Bob,2,R,2,Sen
1590,"Mark Leno",Mark,,Leno,,,1,D,2,Sen
1591,"Carol Liu",Carol,J.,Liu,,,1,D,2,Sen
1594,"Gloria McLeod",Gloria,Negrete,McLeod,,,1,D,2,Sen
1596,"Alex Padilla",Alex,,Padilla,,,1,D,2,Sen
1597,"Fran Pavley",Fran,,Pavley,,,1,D,2,Sen
1598,"Curren Price",Curren,D.,Price,Jr.,,1,D,2,Sen
1602,"Darrell Steinberg",Darrell,,Steinberg,,,1,D,2,Sen
1604,"Mimi Walters",Mimi,,Walters,,,2,R,2,Sen
1606,"Lois Wolk",Lois,,Wolk,,,1,D,2,Sen
1607,"Roderick Wright",Roderick,D.,Wright,,Rod,1,D,2,Sen
1608,"Mark Wyland",Mark,,Wyland,,,2,R,2,Sen
1609,"Leland Yee",Leland,Y.,Yee,,,1,D,2,Sen
1610,"Loni Hancock",Loni,,Hancock,,,1,D,2,Sen
9547,"Mike Gatto",Mike,,Gatto,,,1,D,1,Rep
10957,"Luis Alejo",Luis,A.,Alejo,,,1,D,1,Rep
10958,"Michael Allen",Michael,,Allen,,,1,D,1,Rep
10959,"Toni Atkins",Toni,,Atkins,,,1,D,1,Rep
10960,"Susan Bonilla",Susan,A.,Bonilla,,,1,D,1,Rep
10963,"Roger Dickinson",Roger,,Dickinson,,,1,D,1,Rep
10964,"Tim Donnelly",Tim,,Donnelly,,,2,R,1,Rep
10965,"Richard Gordon",Richard,S.,Gordon,,Rich,1,D,1,Rep
10966,"Jeff Gorell",Jeff,,Gorell,,,2,R,1,Rep
10968,"Ricardo Lara",Ricardo,,Lara,,,1,D,2,Sen
10969,"Holly Mitchell",Holly,J.,Mitchell,,,1,D,2,Sen
10970,"Richard Pan",Richard,,Pan,,,1,D,2,Sen
10971,"Henry Perea",Henry,T.,Perea,,,1,D,1,Rep
10972,"Bob Wieckowski",Bob,,Wieckowski,,,1,D,1,Rep
10973,"Das Williams",Das,,Williams,,,1,D,1,Rep
10975,"Michael Rubio",Michael,J.,Rubio,,,1,D,2,Sen
10977,"Juan Vargas",Juan,,Vargas,,,1,D,2,Sen
11232,"Kristin Olsen",Kristin,,Olsen,,,2,R,1,Rep
11609,"K H Achadjian","K H",,Achadjian,,Katcho,2,R,1,Rep
11610,"Nora Campos",Nora,,Campos,,,1,D,1,Rep
11611,"Shannon Grove",Shannon,L.,Grove,,,2,R,1,Rep
11612,"Benjamin Hueso",Benjamin,,Hueso,,Ben,1,D,2,Sen
11613,"Allan Mansoor",Allan,R.,Mansoor,,,2,R,1,Rep
11614,"Mike Morrell",Mike,,Morrell,,,2,R,2,Sen
11616,"Donald Wagner",Donald,P.,Wagner,,Don,2,R,1,Rep
11920,"Roger Hernandez",Roger,,Hernandez,,,1,D,1,Rep
11921,"Anthony Cannella",Anthony,,Cannella,,,2,R,2,Sen
13078,"Beth Gaines",Beth,B.,Gaines,,,2,R,1,Rep
14091,"Franklin Bigelow",Franklin,E.,Bigelow,,Frank,2,R,1,Rep
14092,"Richard Bloom",Richard,,Bloom,,,1,D,1,Rep
14093,"Raul Bocanegra",Raul,,Bocanegra,,,1,D,1,Rep
14094,"Rob Bonta",Rob,,Bonta,,Bob,1,D,1,Rep
14095,"Cheryl Brown",Cheryl,R.,Brown,,,1,D,1,Rep
14096,"Edwin Chau",Edwin,,Chau,,Ed,1,D,1,Rep
14097,"Rocky Chavez",Rocky,J.,Chavez,,,2,R,1,Rep
14098,"Ken Cooley",Ken,,Cooley,,,1,D,1,Rep
