Row,consistency,opportunity,percentage
id10957,0,0,NaN
id10959,0,0,NaN
id10960,0,0,NaN
id10965,0,0,NaN
id10971,0,0,NaN
id10972,0,0,NaN
id10973,0,0,NaN
id11232,0,0,NaN
id11609,0,0,NaN
id11610,0,0,NaN
id11611,0,0,NaN
id11616,0,0,NaN
id11920,0,0,NaN
id13078,0,0,NaN
id14091,0,0,NaN
id14092,0,0,NaN
id14094,0,0,NaN
id14095,0,0,NaN
id14096,0,0,NaN
id14097,0,0,NaN
id14098,0,0,NaN
id14099,0,0,NaN
id14100,0,0,NaN
id14101,0,0,NaN
id14103,0,0,NaN
id14104,0,0,NaN
id14105,0,0,NaN
id14106,0,0,NaN
id14107,0,0,NaN
id14108,0,0,NaN
id14109,0,0,NaN
id14110,0,0,NaN
id14111,0,0,NaN
id14112,0,0,NaN
id14113,0,0,NaN
id14114,0,0,NaN
id14115,0,0,NaN
id14117,0,0,NaN
id14119,0,0,NaN
id14120,0,0,NaN
id14121,0,0,NaN
id14122,0,0,NaN
id14123,0,0,NaN
id14124,0,0,NaN
id14125,0,0,NaN
id14219,0,0,NaN
id1496,0,0,NaN
id16033,0,0,NaN
id16087,0,0,NaN
id16094,0,0,NaN
id16221,0,0,NaN
id16278,0,0,NaN
id16279,0,0,NaN
id16280,0,0,NaN
id16281,0,0,NaN
id16282,0,0,NaN
id16283,0,0,NaN
id16284,0,0,NaN
id16285,0,0,NaN
id16286,0,0,NaN
id16287,0,0,NaN
id16288,0,0,NaN
id16289,0,0,NaN
id16290,0,0,NaN
id16291,0,0,NaN
id16292,0,0,NaN
id16293,0,0,NaN
id16294,0,0,NaN
id16295,0,0,NaN
id16296,0,0,NaN
id16297,0,0,NaN
id16298,0,0,NaN
id16299,0,0,NaN
id16300,0,0,NaN
id16301,0,0,NaN
id16302,0,0,NaN
id16303,0,0,NaN
id16316,0,0,NaN
id16317,0,0,NaN
id17428,0,0,NaN
id17429,0,0,NaN
id9547,0,0,NaN
