Row,id10968,id10969,id10970,id11612,id11614,id11921,id1495,id1498,id1500,id1502,id1516,id1525,id1527,id1528,id1532,id1535,id1536,id1541,id1546,id1548,id1552,id1582,id1588,id1590,id1591,id1597,id1604,id1606,id1610,id16305,id16308
id10968,4,1,NaN,1,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,2,NaN,1,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
id10969,1,7,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,2,2,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id10970,NaN,2,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id11612,1,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id11614,1,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id11921,NaN,NaN,NaN,NaN,NaN,2,2,NaN,1,NaN,2,2,2,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,2,2,1,1,1,NaN,NaN,NaN,NaN
id1495,NaN,NaN,NaN,NaN,NaN,2,28,NaN,1,NaN,28,2,5,NaN,1,26,1,NaN,1,NaN,NaN,26,2,27,26,4,1,25,25,NaN,NaN
id1498,1,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
id1500,NaN,NaN,NaN,NaN,NaN,1,1,NaN,2,NaN,1,2,1,1,NaN,NaN,NaN,NaN,1,1,NaN,NaN,1,1,NaN,NaN,1,NaN,NaN,NaN,NaN
id1502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,2,NaN,2,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id1516,NaN,NaN,NaN,NaN,NaN,2,28,NaN,1,2,31,2,7,NaN,4,28,2,NaN,1,NaN,NaN,26,2,27,26,4,1,25,25,NaN,NaN
id1525,NaN,NaN,NaN,NaN,NaN,2,2,NaN,2,NaN,2,3,2,1,NaN,1,NaN,NaN,1,1,NaN,1,2,2,1,1,1,NaN,NaN,NaN,NaN
id1527,NaN,NaN,NaN,NaN,NaN,2,5,NaN,1,2,7,2,7,NaN,2,6,NaN,NaN,NaN,NaN,NaN,4,2,5,4,4,1,3,3,NaN,NaN
id1528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id1532,1,2,1,NaN,NaN,NaN,1,NaN,NaN,2,4,NaN,2,NaN,7,2,3,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id1535,NaN,NaN,NaN,NaN,NaN,1,26,NaN,NaN,2,28,1,6,NaN,2,28,NaN,NaN,NaN,NaN,NaN,26,1,26,26,4,NaN,25,25,NaN,NaN
id1536,2,2,NaN,NaN,NaN,NaN,1,1,NaN,NaN,2,NaN,NaN,NaN,3,NaN,12,2,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
id1541,NaN,2,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,2,6,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id1546,1,NaN,NaN,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,1,1,NaN,2,NaN,4,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
id1548,NaN,1,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,1,NaN,NaN,1,1,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id1552,2,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,2,NaN,1,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
id1582,NaN,NaN,NaN,NaN,NaN,1,26,NaN,NaN,NaN,26,1,4,NaN,NaN,26,NaN,NaN,NaN,NaN,NaN,59,15,59,58,37,13,58,54,NaN,NaN
id1588,NaN,NaN,NaN,NaN,NaN,2,2,NaN,1,NaN,2,2,2,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,15,17,16,16,15,6,15,12,NaN,NaN
id1590,NaN,NaN,NaN,NaN,NaN,2,27,NaN,1,NaN,27,2,5,NaN,NaN,26,NaN,NaN,NaN,NaN,NaN,59,16,62,58,37,15,59,55,NaN,NaN
id1591,NaN,NaN,NaN,NaN,NaN,1,26,NaN,NaN,NaN,26,1,4,NaN,NaN,26,NaN,NaN,NaN,NaN,NaN,58,16,58,59,36,14,58,55,NaN,NaN
id1597,NaN,NaN,NaN,NaN,NaN,1,4,NaN,NaN,NaN,4,1,4,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,37,15,37,36,37,13,36,32,NaN,NaN
id1604,NaN,NaN,NaN,NaN,NaN,1,1,NaN,1,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13,6,15,14,13,18,15,14,NaN,NaN
id1606,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,NaN,NaN,25,NaN,3,NaN,NaN,25,NaN,NaN,NaN,NaN,NaN,58,15,59,58,36,15,60,55,NaN,NaN
id1610,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN,NaN,NaN,25,NaN,3,NaN,NaN,25,NaN,NaN,NaN,NaN,NaN,54,12,55,55,32,14,55,56,NaN,NaN
id16305,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
id16308,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1
