Row,consistency,opportunity,percentage
id10968,0,0,NaN
id10969,0,0,NaN
id10970,0,0,NaN
id11612,0,0,NaN
id11614,0,0,NaN
id11921,0,0,NaN
id14130,0,0,NaN
id14134,0,0,NaN
id1495,0,0,NaN
id1498,0,0,NaN
id1500,0,0,NaN
id1502,0,0,NaN
id1516,0,0,NaN
id1525,0,0,NaN
id1527,0,0,NaN
id1528,0,0,NaN
id1532,0,0,NaN
id1535,0,0,NaN
id1536,0,0,NaN
id1541,0,0,NaN
id1546,0,0,NaN
id1548,0,0,NaN
id1552,0,0,NaN
id1582,0,0,NaN
id1588,0,0,NaN
id1590,0,0,NaN
id1591,0,0,NaN
id1597,0,0,NaN
id1604,0,0,NaN
id16048,0,0,NaN
id1606,0,0,NaN
id1610,0,0,NaN
id16304,0,0,NaN
id16305,0,0,NaN
id16306,0,0,NaN
id16307,0,0,NaN
id16308,0,0,NaN
id16309,0,0,NaN
id16310,0,0,NaN
id17671,0,0,NaN
id17701,0,0,NaN
id17703,0,0,NaN
