master_unique_legislators,sponsor_names,coverage,results
1496,Juan Arambula,0.111195734958111,0.303352977129704
9547,Mike Gatto,0.999238385376999,0.128512310835583
10957,Luis Alejo,0.944402132520944,0.243085632716451
10959,Toni Atkins,0.966488956587967,0.227588054504971
10960,Susan Bonilla,0.961919268849962,0.199307991537078
10965,Richard Gordon,0.952018278750952,0.141374845109251
10971,Henry Perea,0.793602437166794,0.234318380720067
10972,Bob Wieckowski,0.717440974866717,0.00736483383844399
10973,Das Williams,0.965727341964966,0.042837350189955
11232,Kristin Olsen,0.914699162223915,-0.174974454481824
11609,K H Achadjian,0.936785986290937,0.0620932718592009
11610,Nora Campos,0.976389946686976,-0.0986501295502673
11611,Shannon Grove,0.92993145468393,-0.264614798740987
11616,Donald Wagner,0.987814166031988,0.145013860019672
11920,Roger Hernandez,0.915460776846916,-0.11179191634943
13078,Beth Gaines,0.910891089108911,-0.306550119521086
14091,Franklin Bigelow,0.521706016755522,-0.614552577754453
14092,Richard Bloom,0.55978674790556,0.409730638099846
14094,Rob Bonta,0.577303884234577,0.441180389021929
14095,Cheryl Brown,0.546077684691546,-0.0109348947515182
14096,Edwin Chau,0.576542269611577,0.254072588531475
14097,Rocky Chavez,0.529322162985529,0.100801843173099
14098,Ken Cooley,0.559025133282559,0.286578335845709
14099,Brian Dahle,0.524752475247525,-0.375258780516602
14100,Tom Daly,0.525514089870526,0.276307005314307
14101,Susan Eggman,0.536938309215537,0.329863439138732
14103,Jim Frazier,0.520944402132521,0.333940845723464
14104,Cristina Garcia,0.57044935262757,0.21186097386753
14105,Jimmy Gomez,0.57958872810358,0.359345974983049
14106,Adam Gray,0.531607006854532,0.289884846188478
14107,Chris Holden,0.432597105864433,0.398285512854316
14108,Ian Calderon,0.575780654988576,0.27785858442003
14109,Reginald Jones-Sawyer,0.564356435643564,0.0256662495843763
14110,Marc Levine,0.58035034272658,0.024389153306718
14111,Eric Linder,0.479055597867479,-0.0593906916324165
14112,Brian Maienschein,0.571210967250571,0.0747441992046233
14113,Jose Medina,0.560548362528561,0.375175064737226
14114,Melissa Melendez,0.520944402132521,0.180002691994197
14115,Kevin Mullin,0.57958872810358,0.376574329508184
14117,Jim Patterson,0.532368621477532,-0.581801742730051
14119,Bill Quirk,0.568926123381569,0.384205739387621
14120,Anthony Rendon,0.581873571972582,0.376800019669552
14121,Mark Stone,0.568164508758568,-0.0668418943283118
14122,Philip Ting,0.576542269611577,0.393236611915526
14123,Marie Waldron,0.514089870525514,0.118627426452094
14124,Shirley Weber,0.568164508758568,0.486057510647925
14125,Scott Wilk,0.551408987052551,-0.246322123908514
14219,Adrin Nazarian,0.547600913937548,0.439546745231455
16033,Lorena Gonzalez,0.49047981721249,0.466436260713194
16087,Freddie Rodriguez,0.400609291698401,0.365084249431973
16094,Matt Dababneh,0.405940594059406,-0.215633446705683
16221,Brian Jones,0.38994668697639,0.125935141443195
16278,Catharine Baker,0.271134805788271,0.235668334419803
16279,William Brough,0.244478293983244,-0.926904721340188
16280,Autumn Burke,0.258948971820259,-0.0381112542896479
16281,Ling-ling Chang,0.224676313785225,-0.216453416548198
16282,David Chiu,0.267326732673267,1
16283,Kansen Chu,0.268088347296268,0.537087894272515
16284,Jim Cooper,0.252094440213252,0.539444755771991
16285,Bill Dodd,0.265803503427266,0.911330326851558
16286,Eduardo Garcia,0.265803503427266,-0.201101968201273
16287,James Gallagher,0.246001523229246,-0.506687203963186
16288,Mike Gipson,0.263518659558264,0.0359380737053993
16289,David Hadley,0.218583396801219,0.267550838709073
16290,Matthew Harper,0.264280274181264,-0.150830306448407
16291,Jacqui Irwin,0.265041888804265,-0.131822525837876
16292,Young Kim,0.244478293983244,0.141556280034738
16293,Tom Lackey,0.271134805788271,-0.0555531294668851
16294,Evan Low,0.26961157654227,-0.182083848310771
16295,Devon Mathis,0.23990860624524,-0.381330175521249
16296,Kevin McCarty,0.261233815689261,0.57940175842919
16297,Patrick O'Donnell,0.248286367098248,-0.232777975274433
16298,Jay Obernolte,0.267326732673267,-0.442166560137725
16299,Miguel Santiago,0.27037319116527,-0.137114352754679
16300,Marc Steinorth,0.256664127951257,-0.590360235435832
16301,Tony Thurmond,0.257425742574257,-0.281113280745666
16302,Travis Allen,0.265041888804265,-0.346994208395759
16303,Jim Wood,0.265803503427266,-0.189395622442978
16316,Chad Mayes,0.246001523229246,-0.320154225017089
16317,Patty Lopez,0.271134805788271,0.437045430105989
17428,Rudy Salas,0.558263518659558,0.327358602267449
17429,Sebastian Ridley-Thomas,0.401370906321401,0.298485259365004
