Row,id10968,id10969,id10970,id14130,id14134,id1495,id1498,id1500,id1502,id1516,id1528,id1532,id1535,id1536,id1546,id1548,id1582,id1590,id1591,id1597,id1606,id1610,id16304,id16306,id16308
id10968,36,41,46,28,23,30,37,23,35,29,31,47,28,37,26,36,11,30,29,28,30,29,17,18,18
id10969,18,19,21,14,11,16,19,12,17,16,18,22,15,18,12,19,4,16,15,15,16,15,12,10,12
id10970,15,21,23,13,13,13,14,13,14,13,12,18,13,15,14,14,1,13,13,11,11,11,11,11,12
id11612,7,13,12,6,8,8,9,6,9,8,7,10,7,9,6,8,2,8,7,7,7,8,5,5,6
id11614,1,1,1,NaN,NaN,1,1,1,1,1,1,NaN,1,1,1,1,1,1,NaN,NaN,1,1,NaN,NaN,NaN
id11921,3,5,8,2,1,5,3,5,3,4,3,7,5,3,3,3,3,5,4,3,4,5,2,2,2
id14130,34,50,48,35,31,35,34,30,33,35,28,41,33,34,13,35,21,35,33,33,35,33,14,12,14
id14134,13,21,22,13,13,13,13,12,13,13,13,16,13,13,NaN,13,13,13,13,13,13,13,NaN,NaN,NaN
id1495,15,23,23,15,14,15,15,15,15,15,14,17,15,15,3,15,12,15,15,15,15,15,3,3,3
id1498,29,45,50,22,22,26,31,23,32,25,31,42,26,32,18,30,17,27,27,26,27,24,9,10,10
id1500,12,21,22,12,12,14,14,14,13,13,14,17,14,14,3,12,12,13,12,12,12,13,1,1,1
id1502,27,40,44,23,24,27,28,25,29,27,26,37,27,29,12,26,17,27,27,26,26,27,10,9,10
id1516,40,44,49,22,19,32,43,26,42,32,34,49,32,43,34,42,16,30,29,29,30,30,13,13,14
id1525,2,2,1,NaN,NaN,NaN,2,NaN,2,NaN,2,2,NaN,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id1527,1,2,3,1,1,2,2,2,1,1,2,3,2,2,2,1,1,2,1,1,1,2,1,1,1
id1528,9,13,16,6,5,9,11,4,11,9,11,16,9,11,8,10,2,7,5,4,7,7,5,3,5
id1532,15,20,20,12,12,16,19,14,19,15,14,23,16,19,16,18,1,14,12,11,14,14,12,11,13
id1535,35,39,40,19,20,27,35,22,36,27,29,42,27,36,29,33,11,26,22,25,26,25,13,14,15
id1536,35,42,46,27,26,31,34,29,36,31,32,42,30,36,19,35,18,30,30,29,30,30,12,11,10
id1541,1,1,1,NaN,NaN,1,1,1,1,1,1,NaN,1,1,1,1,1,1,NaN,NaN,1,1,NaN,NaN,NaN
id1546,9,9,9,6,5,8,11,6,11,8,10,10,8,11,11,10,NaN,6,6,6,6,6,5,5,6
id1548,34,45,48,29,28,33,34,28,34,33,31,42,31,35,18,35,19,32,31,30,30,31,13,11,13
id1552,NaN,1,1,NaN,NaN,1,NaN,1,NaN,1,NaN,1,1,NaN,NaN,NaN,1,1,NaN,NaN,1,1,NaN,NaN,NaN
id1582,47,60,63,25,20,37,57,34,54,38,53,59,36,56,31,54,36,37,37,36,37,36,NaN,NaN,NaN
id1588,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,1,1
id1590,82,99,104,51,44,67,86,62,82,68,74,96,64,86,53,86,40,71,68,69,71,70,28,27,30
id1591,26,30,34,12,11,18,30,14,31,19,28,38,18,31,26,29,11,19,19,18,18,18,7,7,7
id1597,48,56,65,20,18,32,54,30,54,32,43,58,31,56,48,54,16,32,28,30,32,32,16,15,16
id1604,1,1,1,NaN,NaN,1,1,1,1,1,1,NaN,1,1,1,1,1,1,NaN,NaN,1,1,NaN,NaN,NaN
id16048,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,NaN,1,1,1,1,1,1,1,1
id1606,36,40,42,25,23,34,42,27,42,34,36,43,34,43,32,44,11,30,29,27,29,30,19,18,19
id1610,62,73,77,40,34,53,69,49,68,53,59,73,52,69,42,70,36,53,50,52,53,53,17,16,16
id16304,17,18,17,19,16,19,18,16,19,19,11,17,19,19,17,18,NaN,19,17,17,18,19,19,17,17
id16306,13,13,13,11,12,13,13,10,13,13,11,13,13,13,13,12,NaN,13,12,12,13,12,13,13,13
id16307,8,8,8,8,8,8,8,6,8,8,6,8,7,8,7,8,NaN,8,7,6,8,8,7,7,8
id16308,9,9,8,9,9,9,7,7,9,9,8,8,9,9,8,9,NaN,9,9,8,9,9,8,8,9
id16310,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,NaN,1,1
id17701,6,6,5,5,5,6,6,6,6,6,4,6,6,6,6,6,NaN,6,6,6,6,6,6,6,6
