Row,consistency,opportunity,percentage
id10968,1,1,1
id10969,2,2,1
id10970,2,2,1
id11612,1,1,1
id11614,0,0,NaN
id11921,1,1,1
id14130,0,0,NaN
id14134,0,0,NaN
id1495,1,2,0.5
id1498,1,1,1
id1500,1,1,1
id1502,1,1,1
id1516,2,2,1
id1525,1,1,1
id1527,1,2,0.5
id1528,0,0,NaN
id1532,3,3,1
id1535,1,1,1
id1536,4,4,1
id1541,0,3,0
id1546,2,2,1
id1548,1,1,1
id1552,0,1,0
id1582,1,1,1
id1588,2,2,1
id1590,3,4,0.75
id1591,1,1,1
id1597,1,1,1
id1604,2,2,1
id16048,0,0,NaN
id1606,1,2,0.5
id1610,2,2,1
id16304,0,0,NaN
id16305,0,1,0
id16306,0,0,NaN
id16307,0,0,NaN
id16308,1,1,1
id16309,0,0,NaN
id16310,0,0,NaN
id17671,0,0,NaN
id17701,0,0,NaN
id17703,0,0,NaN
