master_unique_legislators,sponsor_names,coverage,results
1495,Joel Anderson,0.244444444444444,0.065906962669263
1498,Jim Beall,0.933333333333333,0.35382356402252
1500,Tom Berryhill,0.2,0.153100926518179
1502,Marty Block,0.8,0.530068144120023
1516,Kevin de Leon,0.244444444444444,0.581258800212423
1525,Jean Fuller,0.222222222222222,0.00954276541835126
1527,Ted Gaines,0.244444444444444,0.0880443273857708
1528,Cathleen Galgiani,0.8,0.432758163968264
1532,Isadore Hall,0.933333333333333,0.432257715865895
1535,Edward Hernandez,0.244444444444444,0.246535602773394
1536,Jerry Hill,1,0.458109187159491
1541,Steve Knight,0.911111111111111,-0.0508114642241613
1546,Tony Mendoza,0.955555555555556,0.600110515571093
1548,William Monning,0.955555555555556,0.365434685803523
1552,Jim Nielsen,0.933333333333333,0.172136789685609
10968,Ricardo Lara,0.711111111111111,1
10969,Holly Mitchell,0.644444444444444,0.496470037999143
10970,Richard Pan,0.733333333333333,0.729326676958488
11612,Benjamin Hueso,0.733333333333333,0.638608718882586
11614,Mike Morrell,0.711111111111111,0.0129612556865117
