Row,score_variable_k,score_fixed_k,count,difference,name,sponsor_id,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,year
id16704,1519.08562776821,1516.0529756111,94,3.03265215711076,Mike Braun,16704,Mike,,Braun,,,1,R,1,Rep,HD-063,2016
id10572,1517.73660636492,1522.4591583274,18599,-4.72255196247806,Judson McMillin,10572,Judson,G.,McMillin,,Jud,1,R,1,Rep,HD-068,2016
id5497,1515.91023226777,1516.35185313948,6843,-0.441620871708665,Brian Bosma,5497,Brian,C.,Bosma,,,1,R,1,Rep,HD-088,2016
id5537,1515.22250007796,1514.39367155828,20738,0.828828519683839,Thomas Saunders,5537,Thomas,E.,Saunders,,Tom,1,R,1,Rep,HD-054,2016
id5483,1515.02947411687,1514.43781402249,21500,0.591660094381041,Eric Koch,5483,Eric,Allan,Koch,,,1,R,1,Rep,HD-065,2016
id5498,1514.80979586511,1514.09516361392,21236,0.714632251190551,Clyde Kersey,5498,Clyde,,Kersey,,,0,D,1,Rep,HD-043,2016
id16538,1514.69736861942,1514.35574695147,8651,0.34162166795295,Christopher Judy,16538,Christopher,N.,Judy,,Chris,1,R,1,Rep,HD-083,2016
id17750,1514.436645164,1513.99616615135,2817,0.440479012654805,Randy Lyness,17750,Randy,,Lyness,,,1,R,1,Rep,HD-068,2016
id10571,1514.32348147575,1513.77196693747,19289,0.551514538278298,Steven Davisson,10571,Steven,,Davisson,,,1,R,1,Rep,HD-073,2016
id5533,1514.29102261383,1513.76389835856,21500,0.52712425526579,Edward DeLaney,5533,Edward,O.,DeLaney,,,0,D,1,Rep,HD-086,2016
id5543,1514.14369130395,1514.45181723603,20581,-0.308125932080884,Cherrish Pryor,5543,Cherrish,S.,Pryor,,,0,D,1,Rep,HD-094,2016
id10577,1514.11936469397,1513.63568658712,21254,0.483678106843172,Heath VanNatter,10577,Heath,,VanNatter,,,1,R,1,Rep,HD-038,2016
id11398,1514.08294988104,1513.60075655543,14527,0.482193325611888,Lloyd Arnold,11398,Lloyd,,Arnold,,,1,R,1,Rep,HD-074,2016
id14438,1514.05717532552,1513.57801582632,14787,0.479159499197294,Timothy Harman,14438,Timothy,P.,Harman,,,1,R,1,Rep,HD-017,2016
id16530,1514.0213652008,1514.4710224358,8284,-0.449657235000132,Micheal Aylesworth,16530,Micheal,,Aylesworth,,Mike,1,R,1,Rep,HD-011,2016
id14761,1513.96803363632,1513.94055318738,14794,0.0274804489413327,Steven Braun,14761,Steven,J.,Braun,,,1,R,1,Rep,HD-024,2016
id10573,1513.94027411199,1513.67533891657,19406,0.264935195419184,Rhonda Rhoads,10573,Rhonda,J.,Rhoads,,,1,R,1,Rep,HD-070,2016
id11396,1513.87074806635,1514.31116703175,20793,-0.440418965403069,Mike Speedy,11396,Mike,,Speedy,,,1,R,1,Rep,HD-090,2016
id5546,1513.86535532585,1514.11084429169,16891,-0.245488965843151,David Wolkins,5546,David,A.,Wolkins,,,1,R,1,Rep,HD-018,2016
id5571,1513.86048422428,1513.51591825702,21408,0.344565967257722,Donald Lehe,5571,Donald,J.,Lehe,,Don,1,R,1,Rep,HD-025,2016
id16537,1513.85718443585,1514.34454095802,8651,-0.487356522164646,Curt Nisly,16537,Curt,,Nisly,,,1,R,1,Rep,HD-022,2016
id5532,1513.80098400002,1513.74183157483,20410,0.0591524251860847,Charles Moseley,5532,Charles,A.,Moseley,,Chuck,0,D,1,Rep,HD-010,2016
id5568,1513.76726963771,1513.94145953812,17139,-0.174189900414603,Steven Stemler,5568,Steven,Ray,Stemler,,,0,D,1,Rep,HD-071,2016
id5515,1513.75154287161,1513.93904026977,21247,-0.18749739816235,Randy Truitt,5515,Randy,,Truitt,,,1,R,1,Rep,HD-026,2016
id5510,1513.71378098089,1512.67885136679,21500,1.03492961410211,Daniel Leonard,5510,Daniel,J.,Leonard,,Dan,1,R,1,Rep,HD-050,2016
id12223,1513.69267410127,1514.01690720074,19498,-0.324233099473076,Charlie Brown,12223,Charlie,,Brown,,,0,D,1,Rep,HD-003,2016
id5502,1513.69057653042,1514.04417145541,19441,-0.353594924990603,Gregory Steuerwald,5502,Gregory,E.,Steuerwald,,,1,R,1,Rep,HD-040,2016
id14437,1513.61107290731,1514.02595870351,14115,-0.414885796198632,Richard Hamm,14437,Richard,,Hamm,,Dick,1,R,1,Rep,HD-056,2016
id14441,1513.60460823572,1514.30524989178,14886,-0.700641656062089,Peggy Mayfield,14441,Peggy,,Mayfield,,,1,R,1,Rep,HD-060,2016
id17692,1513.5942510975,1513.93792281672,2817,-0.343671719218037,Donna Harris,17692,Donna,J.,Harris,,,0,D,1,Rep,HD-002,2016
id5518,1513.41728490868,1513.29819732446,17413,0.119087584217596,Vanessa Summers,5518,Vanessa,J.,Summers,,,0,D,1,Rep,HD-099,2016
id5624,1513.38005123114,1513.05762445533,14968,0.322426775808253,Sue Errington,5624,Sue,E.,Errington,,,0,D,1,Rep,HD-034,2016
id5489,1513.36240732888,1513.94345451262,21370,-0.581047183733972,David Niezgodski,5489,David,L.,Niezgodski,,,0,D,1,Rep,HD-007,2016
id14191,1513.35484106759,1513.22470341293,14148,0.130137654659848,Dan Forestal,14191,Dan,,Forestal,,,0,D,1,Rep,HD-100,2016
id14192,1513.27067592643,1512.08510939703,14968,1.18556652939651,Sharon Negele,14192,Sharon,,Negele,,,1,R,1,Rep,HD-013,2016
id5494,1513.23239007968,1513.57049293275,19363,-0.338102853074588,Patrick Bauer,5494,B. Patrick,,Bauer,,,0,D,1,Rep,HD-006,2016
id14766,1513.09216198464,1513.75286555797,14554,-0.660703573322962,Harold Slager,14766,Harold,,Slager,,Hal,1,R,1,Rep,HD-015,2016
id5560,1513.08037780827,1512.01306619235,20809,1.06731161591483,Jeffrey Thompson,5560,Jeffrey,A.,Thompson,,,1,R,1,Rep,HD-028,2016
id5573,1513.06724999651,1511.86042959039,20821,1.20682040611405,Sean Eberhart,5573,Sean,R.,Eberhart,,,1,R,1,Rep,HD-057,2016
id16703,1513.05257961362,1512.11772683775,8651,0.93485277587115,Melanie Wright,16703,Melanie,M.,Wright,,,0,D,1,Rep,HD-035,2016
id10584,1513.00374696545,1513.44623921555,20865,-0.442492250101395,Milo Smith,10584,Milo,,Smith,Jr.,,1,R,1,Rep,HD-059,2016
id5528,1512.9786784931,1512.40964347557,18900,0.569035017532315,Terry Goodin,5528,Terry,Allen,Goodin,,,0,D,1,Rep,HD-066,2016
id17791,1512.93749411348,1512.78909761499,2817,0.148396498482725,Jeff Ellington,17791,Jeff,,Ellington,,,1,R,1,Rep,HD-062,2016
id14436,1512.85279222641,1511.54905449965,14607,1.30373772675762,Christina Hale,14436,Christina,,Hale,,,0,D,1,Rep,HD-087,2016
id14767,1512.83040216048,1512.03385569632,14889,0.796546464165885,Cindy Ziemke,14767,Cindy,Meyer,Ziemke,,,1,R,1,Rep,HD-055,2016
id5493,1512.82133498382,1511.88487418645,20949,0.936460797374366,Edmond Soliday,5493,Edmond,,Soliday,,Ed,1,R,1,Rep,HD-004,2016
id5570,1512.81709071612,1511.94878958987,20666,0.868301126252618,Doug Gutwein,5570,Doug,L.,Gutwein,,,1,R,1,Rep,HD-016,2016
id14440,1512.79784953522,1512.53792172421,13808,0.259927811009675,Karlee Macer,14440,Karlee,D.,Macer,,,0,D,1,Rep,HD-092,2016
id5553,1512.78108282475,1512.43356258461,20131,0.3475202401346,Ryan Dvorak,5553,Ryan,Michael,Dvorak,,,0,D,1,Rep,HD-008,2016
id14447,1512.66964664033,1512.54217120656,14888,0.127475433775317,Ben Smaltz,14447,Ben,,Smaltz,,,1,R,1,Rep,HD-052,2016
id14445,1512.66885071365,1513.36875255452,14516,-0.699901840874645,John Price,14445,John,,Price,,,1,R,1,Rep,HD-047,2016
id16175,1512.60639373776,1512.34636662841,10492,0.260027109350631,Greg Beumer,16175,Greg,,Beumer,,,1,R,1,Rep,HD-033,2016
id10578,1512.56697361415,1512.42846966211,21500,0.138503952043948,Michael Karickhoff,10578,Michael,,Karickhoff,,,1,R,1,Rep,HD-030,2016
id16801,1512.51629879953,1511.39212694834,8651,1.12417185119762,Donna Schaibley,16801,Donna,,Schaibley,,,1,R,1,Rep,,2016
id5506,1512.46397998063,1512.13211052017,19500,0.33186946045771,Linda Lawson,5506,Linda,C.,Lawson,,,0,D,1,Rep,HD-001,2016
id5500,1512.39037030397,1511.88681700413,21093,0.503553299842224,Gail Riecken,5500,Gail,,Riecken,,,0,D,1,Rep,HD-077,2016
id16115,1512.31751299124,1511.75245930551,10572,0.565053685729481,Holli Sullivan,16115,Holli,,Sullivan,,,1,R,1,Rep,HD-078,2016
id5508,1512.31115747725,1511.48523381304,21409,0.825923664214315,Sheila Klinker,5508,Sheila,J.,Klinker,,,0,D,1,Rep,HD-027,2016
id16702,1512.15448138906,1511.2071392021,8651,0.947342186956803,Julie Olthoff,16702,Julie,,Olthoff,,,1,R,1,Rep,HD-019,2016
id14443,1512.11861256553,1510.34462441447,14705,1.77398815106471,Alan Morrison,14443,Alan,,Morrison,,,1,R,1,Rep,HD-042,2016
id5509,1512.10281410701,1512.08696451053,21111,0.0158495964806207,Gerald Torr,5509,Gerald,R.,Torr,,Jerry,1,R,1,Rep,HD-039,2016
id5565,1512.06030236021,1512.16769594752,19742,-0.107393587313254,David Frizzell,5565,David,N.,Frizzell,,,1,R,1,Rep,HD-093,2016
id10576,1512.01263632028,1510.80248998126,20318,1.21014633901996,Robert Morris,10576,Robert,,Morris,,Bob,1,R,1,Rep,HD-084,2016
id14446,1511.89754936681,1511.87895379348,14875,0.0185955733311403,Robin Shackleford,14446,Robin,,Shackleford,,,0,D,1,Rep,HD-098,2016
id16701,1511.86404344473,1510.66163751263,8374,1.20240593210019,William Fine,16701,William,I.,Fine,,Bill,1,R,1,Rep,HD-012,2016
id5557,1511.80809174668,1511.00143687226,21129,0.806654874418655,Matthew Lehman,5557,Matthew,S.,Lehman,,,1,R,1,Rep,HD-079,2016
id14768,1511.74006673481,1510.99034176795,14704,0.749724966857912,Dennis Zent,14768,Dennis,J.,Zent,,Denny,1,R,1,Rep,HD-051,2016
id10575,1511.6367813537,1509.97195054236,20991,1.66483081134493,Kevin Mahan,10575,Kevin,A.,Mahan,,,1,R,1,Rep,HD-031,2016
id11395,1511.61592096968,1510.71178457682,21172,0.904136392857026,Cindy Kirchhofer,11395,Cindy,,Kirchhofer,,,1,R,1,Rep,HD-089,2016
id10818,1511.53205466297,1509.94799231023,20943,1.58406235274242,James Baird,10818,James,,Baird,,Jim,1,R,1,Rep,HD-044,2016
id14762,1511.47759280031,1510.85675204046,14968,0.62084075985058,Martin Carbaugh,14762,Martin,,Carbaugh,,,1,R,1,Rep,HD-081,2016
id5513,1511.37452941477,1509.81433872449,21012,1.56019069027798,Wes Culver,5513,Wes,,Culver,,,1,R,1,Rep,HD-049,2016
id14764,1511.33318220709,1510.72162705369,14892,0.611555153399195,Jim Lucas,14764,Jim,,Lucas,,,1,R,1,Rep,HD-069,2016
id10570,1511.24751360865,1509.52040344631,21500,1.72711016233325,Randall Frye,10570,Randall,,Frye,,Randy,1,R,1,Rep,HD-067,2016
id5536,1511.19632288196,1509.68699565116,20342,1.50932723079836,Charles Burton,5536,Charles,,Burton,,Woody,1,R,1,Rep,HD-058,2016
id14444,1511.19234243102,1509.64186816949,14886,1.55047426152919,David Ober,14444,David,L.,Ober,,,1,R,1,Rep,HD-082,2016
id5539,1511.17037793838,1510.31193217799,19788,0.858445760388122,William Friend,5539,William,C.,Friend,,,1,R,1,Rep,HD-023,2016
id5556,1511.16084400723,1509.85728609815,20966,1.30355790907743,John Bartlett,5556,John,L.,Bartlett,,,0,D,1,Rep,HD-095,2016
id5549,1511.08011901374,1509.5695993848,20977,1.5105196289428,Matt Pierce,5549,Matt,,Pierce,,,0,D,1,Rep,HD-061,2016
id14448,1511.05452830735,1509.48412479819,14873,1.57040350915645,Thomas Washburne,14448,Thomas,W.,Washburne,,,1,R,1,Rep,HD-064,2016
id5482,1511.00844632011,1510.45328036397,21037,0.555165956137216,Scott Pelath,5482,Scott,Douglas,Pelath,,,0,D,1,Rep,HD-009,2016
id11445,1510.97467984546,1510.390193449,8463,0.584486396467355,Doug Miller,11445,Doug,,Miller,,,1,R,1,Rep,HD-048,2016
id5492,1510.88261640927,1510.18677552092,20117,0.695840888354724,Vernon Smith,5492,Vernon,G.,Smith,,,0,D,1,Rep,HD-014,2016
id5576,1510.73405179457,1510.07421294338,15088,0.659838851190898,Bruce Borders,5576,Bruce,Alan,Borders,,,1,R,1,Rep,HD-045,2016
id10574,1510.63410512555,1510.09108605492,20611,0.543019070631317,Robert Heaton,10574,Robert,,Heaton,,Bob,1,R,1,Rep,HD-046,2016
id10568,1510.50895959341,1510.29352641837,21440,0.215433175049839,Ronald Bacon,10568,Ronald,,Bacon,,,1,R,1,Rep,HD-075,2016
id5524,1510.45180565264,1509.39288479061,19632,1.05892086203266,Timothy Brown,5524,Timothy,N.,Brown,,Tim,1,R,1,Rep,HD-041,2016
id5566,1510.42723117691,1509.12830388791,20913,1.29892728899495,Gregory Porter,5566,Gregory,W.,Porter,,,0,D,1,Rep,HD-096,2016
id16085,1510.32496239372,1511.14705402126,10197,-0.822091627543386,Casey Cox,16085,Casey,,Cox,,,1,R,1,Rep,HD-085,2016
id14439,1510.28473913307,1509.30739255084,13959,0.977346582233395,Todd Huston,14439,Todd,,Huston,,,1,R,1,Rep,HD-037,2016
id5544,1509.67011217968,1510.32380704,20959,-0.653694860318865,Kathy Richardson,5544,Kathy,Kreag,Richardson,,,1,R,1,Rep,HD-029,2016
id10579,1509.62143087322,1510.18293124267,18355,-0.561500369449732,Matthew Ubelhor,10579,Matthew,,Ubelhor,,Matt,1,R,1,Rep,HD-062,2016
id5529,1508.85420705011,1509.10373431943,13445,-0.249527269316786,Earl Harris,5529,Earl,L.,Harris,,,0,D,1,Rep,HD-002,2016
id5527,1507.81021096748,1508.12292589882,18311,-0.312714931340906,Robert Cherry,5527,Robert,W.,Cherry,,Bob,1,R,1,Rep,HD-053,2016
id5499,1494.77556083469,1508.83173838137,20982,-14.0561775466811,Terri Jo Austin,5499,Terri Jo,,Austin,,,0,D,1,Rep,HD-036,2016
id14442,1493.43388760794,1507.55544789388,14280,-14.1215602859372,Justin Moed,14442,Justin,,Moed,,,0,D,1,Rep,HD-097,2016
id5567,1482.19937988541,1504.57548910839,19828,-22.3761092229811,Robert Behning,5567,Robert,W.,Behning,,Bob,1,R,1,Rep,HD-091,2016
id16807,1438.11044955441,1468.8110248805,8651,-30.7005753260896,Anthony Cook,16807,Anthony,,Cook,,,1,R,1,Rep,,2016
id14189,1436.63557943856,1466.61357438971,14968,-29.977994951151,Dale DeVon,14189,Dale,R.,DeVon,,,1,R,1,Rep,HD-005,2016
id11394,1435.3269107115,1467.20277085058,21292,-31.875860139085,Timothy Wesco,11394,Timothy,,Wesco,,,1,R,1,Rep,HD-021,2016
id11298,1427.90105506352,1464.45958784547,21077,-36.558532781956,Wendy McNamara,11298,Wendy,,McNamara,,Mac,1,R,1,Rep,HD-076,2016
id5519,1235.25376842768,1154.55462376751,21253,80.6991446601769,Thomas Dermody,5519,Thomas,,Dermody,,,1,R,1,Rep,HD-020,2016
id5514,1233.42252822116,1153.1031131293,21421,80.3194150918525,Edward Clere,5514,Edward,D.,Clere,,Ed,1,R,1,Rep,HD-072,2016
id5569,1232.13054939495,1153.61989705886,21346,78.5106523360898,Philip GiaQuinta,5569,Philip,,GiaQuinta,,,0,D,1,Rep,HD-080,2016
