Row,score_variable_k,score_fixed_k,count,difference,name,sponsor_id,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,year
id5498,1525.43770069157,1516.90734404924,1655,8.53035664233062,Clyde Kersey,5498,Clyde,,Kersey,,,0,D,1,Rep,HD-043,2016
id5502,1525.34943806525,1516.38694467249,1500,8.96249339276505,Gregory Steuerwald,5502,Gregory,E.,Steuerwald,,,1,R,1,Rep,HD-040,2016
id10570,1525.31080569364,1517.22992225402,1750,8.08088343961231,Randall Frye,10570,Randall,,Frye,,Randy,1,R,1,Rep,HD-067,2016
id14767,1525.19827909826,1516.93550355583,1506,8.26277554242461,Cindy Ziemke,14767,Cindy,Meyer,Ziemke,,,1,R,1,Rep,HD-055,2016
id5566,1525.1716244956,1517.30357828745,1750,7.86804620815815,Gregory Porter,5566,Gregory,W.,Porter,,,0,D,1,Rep,HD-096,2016
id10575,1525.0589256654,1516.75368585089,1562,8.30523981451142,Kevin Mahan,10575,Kevin,A.,Mahan,,,1,R,1,Rep,HD-031,2016
id16807,1524.62806517532,1516.54877752699,758,8.07928764833468,Anthony Cook,16807,Anthony,,Cook,,,1,R,1,Rep,,2016
id5500,1524.52987937015,1516.88646710776,1750,7.64341226239185,Gail Riecken,5500,Gail,,Riecken,,,0,D,1,Rep,HD-077,2016
id5506,1524.50297851317,1516.15753023389,1577,8.34544827927425,Linda Lawson,5506,Linda,C.,Lawson,,,0,D,1,Rep,HD-001,2016
id16702,1524.45056505496,1513.60970865372,758,10.8408564012357,Julie Olthoff,16702,Julie,,Olthoff,,,1,R,1,Rep,HD-019,2016
id17692,1524.40747497767,1516.85566859019,380,7.55180638748061,Donna Harris,17692,Donna,J.,Harris,,,0,D,1,Rep,HD-002,2016
id16701,1524.35880173091,1513.42590545385,758,10.9328962770676,William Fine,16701,William,I.,Fine,,Bill,1,R,1,Rep,HD-012,2016
id5509,1524.34484983568,1516.58554866436,1668,7.75930117131566,Gerald Torr,5509,Gerald,R.,Torr,,Jerry,1,R,1,Rep,HD-039,2016
id14768,1524.29654359102,1514.61608722195,1506,9.68045636907073,Dennis Zent,14768,Dennis,J.,Zent,,Denny,1,R,1,Rep,HD-051,2016
id5499,1524.1967693589,1515.72948678323,1750,8.46728257566929,Terri Jo Austin,5499,Terri Jo,,Austin,,,0,D,1,Rep,HD-036,2016
id14448,1524.07355783972,1514.92980184619,1506,9.14375599352184,Thomas Washburne,14448,Thomas,W.,Washburne,,,1,R,1,Rep,HD-064,2016
id5568,1524.06824887081,1515.47623616238,1446,8.59201270842459,Steven Stemler,5568,Steven,Ray,Stemler,,,0,D,1,Rep,HD-071,2016
id14447,1524.04680268421,1516.29402083794,1506,7.75278184626882,Ben Smaltz,14447,Ben,,Smaltz,,,1,R,1,Rep,HD-052,2016
id11395,1524.03599046375,1517.00103734727,1655,7.03495311648703,Cindy Kirchhofer,11395,Cindy,,Kirchhofer,,,1,R,1,Rep,HD-089,2016
id10576,1524.00760839798,1514.12253821061,1561,9.88507018737459,Robert Morris,10576,Robert,,Morris,,Bob,1,R,1,Rep,HD-084,2016
id11396,1523.99237362466,1514.6313241635,1655,9.36104946115893,Mike Speedy,11396,Mike,,Speedy,,,1,R,1,Rep,HD-090,2016
id16801,1523.97851366729,1516.49537833462,758,7.48313533267151,Donna Schaibley,16801,Donna,,Schaibley,,,1,R,1,Rep,,2016
id17750,1523.95008474131,1515.68737979244,380,8.26270494887603,Randy Lyness,17750,Randy,,Lyness,,,1,R,1,Rep,HD-068,2016
id14191,1523.8713517469,1515.47706870969,1506,8.39428303721024,Dan Forestal,14191,Dan,,Forestal,,,0,D,1,Rep,HD-100,2016
id14766,1523.81963358421,1513.92889710877,1506,9.89073647544524,Harold Slager,14766,Harold,,Slager,,Hal,1,R,1,Rep,HD-015,2016
id14440,1523.74616050394,1514.34995577227,1506,9.39620473166815,Karlee Macer,14440,Karlee,D.,Macer,,,0,D,1,Rep,HD-092,2016
id5510,1523.69307176533,1513.79981653678,1750,9.89325522854938,Daniel Leonard,5510,Daniel,J.,Leonard,,Dan,1,R,1,Rep,HD-050,2016
id14438,1523.67942896154,1513.59861100549,1506,10.0808179560495,Timothy Harman,14438,Timothy,P.,Harman,,,1,R,1,Rep,HD-017,2016
id14444,1523.45403924335,1514.57416619781,1506,8.87987304554531,David Ober,14444,David,L.,Ober,,,1,R,1,Rep,HD-082,2016
id5565,1523.40583569871,1514.4877443235,1750,8.91809137520568,David Frizzell,5565,David,N.,Frizzell,,,1,R,1,Rep,HD-093,2016
id5539,1523.25868754888,1513.81668922643,1750,9.44199832244703,William Friend,5539,William,C.,Friend,,,1,R,1,Rep,HD-023,2016
id11394,1523.18961296729,1514.45400602583,1691,8.73560694146659,Timothy Wesco,11394,Timothy,,Wesco,,,1,R,1,Rep,HD-021,2016
id14442,1523.13321809048,1513.86597036412,1412,9.26724772636794,Justin Moed,14442,Justin,,Moed,,,0,D,1,Rep,HD-097,2016
id5549,1523.0821630345,1513.89023434118,1691,9.1919286933196,Matt Pierce,5549,Matt,,Pierce,,,0,D,1,Rep,HD-061,2016
id14446,1523.06867537442,1513.20431326935,1506,9.86436210506804,Robin Shackleford,14446,Robin,,Shackleford,,,0,D,1,Rep,HD-098,2016
id17791,1523.02134052405,1511.55197894997,380,11.4693615740759,Jeff Ellington,17791,Jeff,,Ellington,,,1,R,1,Rep,HD-062,2016
id10584,1523.00721787894,1513.47786462795,1750,9.52935325098088,Milo Smith,10584,Milo,,Smith,Jr.,,1,R,1,Rep,HD-059,2016
id5553,1522.97651991967,1513.26231190876,1656,9.71420801090153,Ryan Dvorak,5553,Ryan,Michael,Dvorak,,,0,D,1,Rep,HD-008,2016
id5560,1522.90367618723,1513.28045776855,1750,9.62321841867629,Jeffrey Thompson,5560,Jeffrey,A.,Thompson,,,1,R,1,Rep,HD-028,2016
id5494,1522.89224674349,1513.97504485068,1691,8.91720189281159,Patrick Bauer,5494,B. Patrick,,Bauer,,,0,D,1,Rep,HD-006,2016
id5524,1522.88699082602,1513.9263176755,1585,8.9606731505105,Timothy Brown,5524,Timothy,N.,Brown,,Tim,1,R,1,Rep,HD-041,2016
id14189,1522.88433844403,1513.29925889244,1506,9.58507955159348,Dale DeVon,14189,Dale,R.,DeVon,,,1,R,1,Rep,HD-005,2016
