Row,score_variable_k,score_fixed_k,count,difference,name,sponsor_id,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,year
id17791,1500,1500,0,0,Jeff Ellington,17791,Jeff,,Ellington,,,1,R,1,Rep,HD-062,2016
id17750,1500,1500,0,0,Randy Lyness,17750,Randy,,Lyness,,,1,R,1,Rep,HD-068,2016
id17692,1500,1500,0,0,Donna Harris,17692,Donna,J.,Harris,,,0,D,1,Rep,HD-002,2016
id16807,1509.37739524284,1507.95795098582,4200000,-1.41944425702218,Anthony Cook,16807,Anthony,,Cook,,,1,R,1,Rep,,2016
id16801,1509.36305218529,1507.9420649063,4200000,-1.42098727899861,Donna Schaibley,16801,Donna,,Schaibley,,,1,R,1,Rep,,2016
id16704,1500,1500,0,0,Mike Braun,16704,Mike,,Braun,,,1,R,1,Rep,HD-063,2016
id16703,1509.37519796719,1507.96179169914,4200000,-1.41340626805163,Melanie Wright,16703,Melanie,M.,Wright,,,0,D,1,Rep,HD-035,2016
id16702,1509.40726049497,1507.98164149361,4200000,-1.42561900135888,Julie Olthoff,16702,Julie,,Olthoff,,,1,R,1,Rep,HD-019,2016
id16701,1509.38603821435,1507.96890729942,4200000,-1.41713091492829,William Fine,16701,William,I.,Fine,,Bill,1,R,1,Rep,HD-012,2016
id16538,1509.39896132121,1507.97574288803,4200000,-1.423218433182,Christopher Judy,16538,Christopher,N.,Judy,,Chris,1,R,1,Rep,HD-083,2016
id16537,1509.40030738647,1507.97882270999,4200000,-1.4214846764803,Curt Nisly,16537,Curt,,Nisly,,,1,R,1,Rep,HD-022,2016
id16530,1509.38532065128,1507.96285751956,4200000,-1.42246313172541,Micheal Aylesworth,16530,Micheal,,Aylesworth,,Mike,1,R,1,Rep,HD-011,2016
id16175,1509.3177240416,1508.06849171156,6720000,-1.2492323300396,Greg Beumer,16175,Greg,,Beumer,,,1,R,1,Rep,HD-033,2016
id16115,1509.29543103431,1508.04383781231,6720000,-1.25159322199397,Holli Sullivan,16115,Holli,,Sullivan,,,1,R,1,Rep,HD-078,2016
id16085,1509.31396944906,1508.06600137813,6720000,-1.24796807093162,Casey Cox,16085,Casey,,Cox,,,1,R,1,Rep,HD-085,2016
id14768,1509.65737736167,1508.08033506347,12795000,-1.57704229819797,Dennis Zent,14768,Dennis,J.,Zent,,Denny,1,R,1,Rep,HD-051,2016
id14767,1509.64962189966,1508.08081538014,12795000,-1.56880651952019,Cindy Ziemke,14767,Cindy,Meyer,Ziemke,,,1,R,1,Rep,HD-055,2016
id14766,1509.64356876734,1508.06243802039,12795000,-1.58113074694052,Harold Slager,14766,Harold,,Slager,,Hal,1,R,1,Rep,HD-015,2016
id14764,1506.36826850268,1507.54722485823,12795000,1.17895635554987,Jim Lucas,14764,Jim,,Lucas,,,1,R,1,Rep,HD-069,2016
id14762,1508.98404655299,1507.96890138507,12795000,-1.01514516791553,Martin Carbaugh,14762,Martin,,Carbaugh,,,1,R,1,Rep,HD-081,2016
