Row,score_variable_k,score_fixed_k,count,difference,name,sponsor_id,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,year
id17791,1500,1500,0,0,Jeff Ellington,17791,Jeff,,Ellington,,,1,R,1,Rep,HD-062,2016
id17750,1500,1500,0,0,Randy Lyness,17750,Randy,,Lyness,,,1,R,1,Rep,HD-068,2016
id17692,1500,1500,0,0,Donna Harris,17692,Donna,J.,Harris,,,0,D,1,Rep,HD-002,2016
id16807,1508.22604165246,1507.95795098582,4200000,-0.416764742416717,Anthony Cook,16807,Anthony,,Cook,,,1,R,1,Rep,,2016
id16801,1508.22166984742,1507.9420649063,4200000,-1.47961825011248,Donna Schaibley,16801,Donna,,Schaibley,,,1,R,1,Rep,,2016
id16704,1500,1500,0,0,Mike Braun,16704,Mike,,Braun,,,1,R,1,Rep,HD-063,2016
id16703,1508.22375014977,1507.96179169914,4200000,0.662763597797721,Melanie Wright,16703,Melanie,M.,Wright,,,0,D,1,Rep,HD-035,2016
id16702,1508.23526327143,1507.98164149361,4200000,0.213811769727499,Julie Olthoff,16702,Julie,,Olthoff,,,1,R,1,Rep,HD-019,2016
id16701,1508.24227741045,1507.96890729942,4200000,-1.2595882652754,William Fine,16701,William,I.,Fine,,Bill,1,R,1,Rep,HD-012,2016
id16538,1508.23714315757,1507.97574288803,4200000,-0.0335972842799492,Christopher Judy,16538,Christopher,N.,Judy,,Chris,1,R,1,Rep,HD-083,2016
id16537,1508.23308143839,1507.97882270999,4200000,-0.227865801364942,Curt Nisly,16537,Curt,,Nisly,,,1,R,1,Rep,HD-022,2016
id16530,1508.22630078977,1507.96285751956,4200000,-1.09088575261922,Micheal Aylesworth,16530,Micheal,,Aylesworth,,Mike,1,R,1,Rep,HD-011,2016
id16175,1510.68194131194,1508.06849171156,6720000,2.43900831970632,Greg Beumer,16175,Greg,,Beumer,,,1,R,1,Rep,HD-033,2016
id16115,1510.67535389218,1508.04383781231,6720000,2.08563493138263,Holli Sullivan,16115,Holli,,Sullivan,,,1,R,1,Rep,HD-078,2016
id16085,1510.68364907311,1508.06600137813,6720000,2.19695398350518,Casey Cox,16085,Casey,,Cox,,,1,R,1,Rep,HD-085,2016
id14768,1511.4394194376,1508.08033506347,12795000,3.62000803966203,Dennis Zent,14768,Dennis,J.,Zent,,Denny,1,R,1,Rep,HD-051,2016
id14767,1511.43326403275,1508.08081538014,12795000,3.54529509674308,Cindy Ziemke,14767,Cindy,Meyer,Ziemke,,,1,R,1,Rep,HD-055,2016
id14766,1511.42456639674,1508.06243802039,12795000,2.74159064264609,Harold Slager,14766,Harold,,Slager,,Hal,1,R,1,Rep,HD-015,2016
id14764,1496.62486769284,1507.54722485823,12795000,-10.5961805842182,Jim Lucas,14764,Jim,,Lucas,,,1,R,1,Rep,HD-069,2016
id14762,1503.60931210675,1507.96890138507,12795000,-4.49072408417146,Martin Carbaugh,14762,Martin,,Carbaugh,,,1,R,1,Rep,HD-081,2016
