Row,score_variable_k,score_fixed_k,count,difference,name,sponsor_id,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,year
id16586,1534.55896134449,1539.13812780332,3645000,1.95902873720979,Amanda Banks,16586,Amanda,,Banks,,,1,R,2,Sen,,2016
id16536,1505.00386480668,1519.28501137368,8010000,-6.77925432851407,Jeff Raatz,16536,Jeff,,Raatz,,,1,R,2,Sen,SD-027,2016
id16535,1529.06762953379,1522.39665899216,8010000,13.5254472693719,Clyde Perfect,16535,Clyde,A.,Perfect,Jr.,Chip,1,R,2,Sen,SD-043,2016
id16534,1529.07146515163,1522.4022509647,8010000,16.461937695763,Elizabeth Brown,16534,Elizabeth,M.,Brown,,Liz,1,R,2,Sen,SD-015,2016
id16533,1529.06253985479,1522.36841498605,8010000,12.6715444366375,Erin Houchin,16533,Erin,,Houchin,,,1,R,2,Sen,SD-047,2016
id16532,1466.71090304236,1494.54622335958,8010000,-19.6435449016406,Jon Ford,16532,Jon,,Ford,,,1,R,2,Sen,SD-038,2016
id16531,1529.0527495787,1522.34979249415,8010000,14.3865149923349,Eric Bassler,16531,Eric,S.,Bassler,,,1,R,2,Sen,SD-039,2016
id15697,1489.78086813578,1518.69668775116,12750000,-23.5247075964307,Pete Miller,15697,Pete,,Miller,,,1,R,2,Sen,SD-024,2016
id14765,1529.06476664075,1522.37465636327,8010000,13.2311795922478,Rick Niemeyer,14765,Rick,,Niemeyer,,,1,R,2,Sen,SD-006,2016
id14193,1528.33233018989,1522.39661688148,12750000,14.2449484994629,Michael Crider,14193,Michael,R.,Crider,,Mike,1,R,2,Sen,SD-028,2016
id14060,1490.0273600635,1494.71026354257,12750000,1.74626550571702,Mark Stoops,14060,Mark,,Stoops,,,0,D,2,Sen,SD-040,2016
id12222,1526.3051724348,1522.38095171027,22665000,11.1715965708765,James Smith,12222,James,C.,Smith,,,1,R,2,Sen,SD-045,2016
id11402,1529.06923233287,1522.38595883636,8010000,16.0176764990508,Rodric Bray,11402,Rodric,D.,Bray,,,1,R,2,Sen,SD-037,2016
id10585,1526.37469246158,1522.38211289194,22665000,12.4361879289438,Susan Glick,10585,Susan,C.,Glick,,,1,R,2,Sen,SD-013,2016
id10583,1503.98447307671,1513.50376084505,18300000,-3.97075456039988,James Banks,10583,James,E.,Banks,,Jim,1,R,2,Sen,SD-017,2016
id10582,1526.36910146777,1522.37282839199,22665000,9.90593521325968,Doug Eckerty,10582,Doug,,Eckerty,,,1,R,2,Sen,SD-026,2016
id10581,1526.32264042557,1522.36320242907,22665000,10.1551368389603,James Tomes,10581,James,,Tomes,,,1,R,2,Sen,SD-049,2016
id10580,1480.19852990468,1494.73461146184,22665000,-8.24119507564751,Ronald Grooms,10580,Ronald,,Grooms,,,1,R,2,Sen,SD-046,2016
id5627,1524.93811816331,1522.28382661861,22665000,8.97010846735475,Ryan Mishler,5627,Ryan,D.,Mishler,,,1,R,2,Sen,SD-009,2016
id5623,1526.37946806156,1522.38095271803,22665000,10.167597646087,Jean Breaux,5623,Jean,D.,Breaux,,,0,D,2,Sen,SD-034,2016
id5622,1480.9954272581,1506.95615436936,20850000,-20.6932055204927,Earline Rogers,5622,Earline,S.,Rogers,,,0,D,2,Sen,SD-003,2016
id5621,1452.10493529849,1480.17377736223,22110000,-20.6114549200861,Ronnie Alting,5621,Ronnie,J.,Alting,,,1,R,2,Sen,SD-022,2016
id5620,1526.36966975604,1522.36829321343,22665000,13.1291159593188,John Broden,5620,John,Edward,Broden,,,0,D,2,Sen,SD-010,2016
id5619,1526.36966713447,1522.38252152122,22110000,12.4040751345235,Vaneta Becker,5619,Vaneta,G.,Becker,,,1,R,2,Sen,SD-050,2016
id5616,1526.37301830029,1522.3812969496,22665000,10.6828137710686,David Long,5616,David,C.,Long,,,1,R,2,Sen,SD-016,2016
id5614,1526.37910144303,1522.38645632026,22665000,10.3278794780426,Philip Boots,5614,Philip,L.,Boots,,Phil,1,R,2,Sen,SD-023,2016
id5612,1526.34187757607,1522.40165426636,22665000,12.6915925048233,Jean Leising,5612,Jean,,Leising,,,1,R,2,Sen,SD-042,2016
id5610,1526.32351351383,1522.36553793508,21585000,12.3118807239991,Michael Delph,5610,Michael,,Delph,,,1,R,2,Sen,SD-029,2016
id5609,1526.36825847502,1522.36446632368,22665000,11.0657825739088,Brent Waltz,5609,Brent,,Waltz,,,1,R,2,Sen,SD-036,2016
id5608,1526.36099641429,1522.35797473379,22665000,9.52247839864094,Greg Walker,5608,Greg,,Walker,,,1,R,2,Sen,SD-041,2016
id5606,1345.93480264539,1274.1101217021,22665000,79.252915759454,Scott Schneider,5606,Scott,,Schneider,,,1,R,2,Sen,SD-030,2016
id5605,1526.36664445193,1522.37131977018,22665000,10.1478624338279,James Buck,5605,James,R.,Buck,,Jim,1,R,2,Sen,SD-021,2016
id5604,1526.37491439389,1522.38515760904,22665000,9.85543429562699,Brent Steele,5604,Brent,,Steele,,,1,R,2,Sen,SD-044,2016
id5602,1526.11986022817,1522.38341963355,22665000,10.7866455978763,Brandt Hershman,5602,Brandt,,Hershman,,,1,R,2,Sen,SD-007,2016
id5601,1441.01195391001,1476.52208280072,20685000,-29.9040842566264,Lonnie Randolph,5601,Lonnie,Marcus,Randolph,,,0,D,2,Sen,SD-002,2016
id5599,1480.17998413605,1494.7032073122,22665000,-6.12010107900687,Timothy Lanane,5599,Timothy,,Lanane,,Tim,0,D,2,Sen,SD-025,2016
id5598,1305.81234069558,1259.97900825454,22665000,52.3090291680817,Carlin Yoder,5598,Carlin,J.,Yoder,,,1,R,2,Sen,SD-012,2016
id5597,1526.02287321319,1522.35139427851,22665000,10.5321000172771,Michael Young,5597,R. Michael,,Young,,,1,R,2,Sen,SD-035,2016
id5595,1526.28743387097,1522.34729860355,22665000,9.29058072463386,Patricia Miller,5595,Patricia,L.,Miller,,,1,R,2,Sen,SD-032,2016
id5594,1526.36953624659,1522.3696965107,22665000,9.81750982457447,James Merritt,5594,James,W.,Merritt,Jr.,,1,R,2,Sen,SD-031,2016
id5592,1137.54481808314,1106.67552816007,22665000,37.9519929502651,Dennis Kruse,5592,Dennis,K.,Kruse,,,1,R,2,Sen,SD-014,2016
id5590,1526.37218592007,1522.37081424588,22665000,12.6426516937302,Randall Head,5590,Randall,,Head,,,1,R,2,Sen,SD-018,2016
id5589,1526.37330153694,1522.36952275577,22080000,10.9017354337866,Karen Tallian,5589,Karen,,Tallian,,,0,D,2,Sen,SD-004,2016
id5587,1526.37922599766,1522.38732227549,22665000,13.102917062185,Frank Mrvan,5587,Frank,,Mrvan,Jr.,,0,D,2,Sen,SD-001,2016
id5585,1526.38943703231,1522.39770368925,22665000,10.8186290984977,James Arnold,5585,James,,Arnold,,,0,D,2,Sen,SD-008,2016
id5584,1527.83514623341,1521.00003763594,21945000,13.6806685618894,Greg Taylor,5584,Greg,,Taylor,,,0,D,2,Sen,SD-033,2016
id5583,1526.35676727795,1522.34490004637,22125000,10.1960811330791,Joseph Zakas,5583,Joseph,C.,Zakas,,Joe,1,R,2,Sen,SD-011,2016
id5581,1526.11094058106,1522.36314622756,22665000,9.39122680329433,Travis Holdman,5581,Travis,,Holdman,,,1,R,2,Sen,SD-019,2016
id5580,1526.29252861132,1522.35133493754,22665000,9.23944875534085,Ed Charbonneau,5580,Ed,,Charbonneau,,,1,R,2,Sen,SD-005,2016
id5579,1524.85150142281,1522.27326488931,22665000,10.871979826934,Howard Kenley,5579,Howard,,Kenley,,Luke,1,R,2,Sen,SD-020,2016
id5541,1529.0513698834,1522.35267525141,8010000,13.9926648937462,Mark Messmer,5541,Mark,B.,Messmer,,,1,R,2,Sen,SD-048,2016
