Row,score,count,names
id5627,1917.30634666373,6209,Ryan Mishler
id10580,1914.8582656686,6255,Ronald Grooms
id16534,1913.20932068983,5261,Elizabeth Brown
id5610,1897.15636242646,6161,Michael Delph
id5612,1883.301456666,6255,Jean Leising
id16535,1870.69631398561,5261,Clyde Perfect
id5609,1847.49493405892,6255,Brent Waltz
id5622,1844.6174327123,5912,Earline Rogers
id14060,1795.24151792153,5914,Mark Stoops
id16531,1790.14104537997,5169,Eric Bassler
id16532,1728.55168761372,5261,Jon Ford
id5614,1682.60788732672,6255,Philip Boots
id5585,1681.85482693885,6255,James Arnold
id5579,1635.60851578147,5969,Howard Kenley
id5623,1608.30069685526,6255,Jean Breaux
id16533,1598.55682902668,5261,Erin Houchin
id5619,1595.65185460229,6096,Vaneta Becker
id12222,1564.56485309426,6210,James Smith
id5581,1560.9299891769,6036,Travis Holdman
id5590,1559.27387369764,6255,Randall Head
id5584,1504.14825803346,6169,Greg Taylor
id5602,1493.6592210578,6207,Brandt Hershman
id5594,1490.55754208374,6255,James Merritt
id5597,1481.18777533649,6255,Michael Young
id5604,1480.37289491164,6255,Brent Steele
id5583,1451.59904609017,6219,Joseph Zakas
id5616,1445.41564602564,6163,David Long
id10585,1443.04509529541,6255,Susan Glick
id14765,1433.04915466279,5261,Rick Niemeyer
id16536,1432.75316803095,5261,Jeff Raatz
id15697,1432.16181991703,5961,Pete Miller
id11402,1429.61104377222,5261,Rodric Bray
id5595,1419.20121304627,6255,Patricia Miller
id5606,1418.87612852425,6211,Scott Schneider
id5587,1416.10693988435,6072,Frank Mrvan
id5599,1413.35868953195,6209,Timothy Lanane
id5605,1409.21801775234,6255,James Buck
id5541,1406.83223708886,5167,Mark Messmer
id14193,1401.99068569632,5961,Michael Crider
id5598,1394.75716051573,6255,Carlin Yoder
id5592,1356.34082131775,6255,Dennis Kruse
id10582,1333.42345054124,6052,Doug Eckerty
id5601,1268.35710641887,5551,Lonnie Randolph
id5580,1254.04183086469,6255,Ed Charbonneau
id5608,1246.67532387966,6255,Greg Walker
id10583,1240.69496859786,2782,James Banks
id10581,1214.92744702577,6255,James Tomes
id5589,1186.29659903438,5975,Karen Tallian
id5621,1137.00643879613,6144,Ronnie Alting
id5620,1098.32841804256,6076,John Broden
