Row,score_variable_k,score_fixed_k,count,difference,name,sponsor_id,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,year
id10583,1540.06725003566,1535.1321370722,338,4.93511296345423,James Banks,10583,James,E.,Banks,,Jim,1,R,2,Sen,SD-017,2016
id14060,1529.88716686404,1527.01668513236,252,2.87048173168319,Mark Stoops,14060,Mark,,Stoops,,,0,D,2,Sen,SD-040,2016
id10581,1529.74695656044,1526.61064421058,470,3.13631234985951,James Tomes,10581,James,,Tomes,,,1,R,2,Sen,SD-049,2016
id11402,1529.47994719799,1522.31980254186,96,7.16014465613648,Rodric Bray,11402,Rodric,D.,Bray,,,1,R,2,Sen,SD-037,2016
id5580,1529.22735559903,1526.40400939395,470,2.82334620507845,Ed Charbonneau,5580,Ed,,Charbonneau,,,1,R,2,Sen,SD-005,2016
id5541,1528.57032601532,1521.30374607727,96,7.26657993804679,Mark Messmer,5541,Mark,B.,Messmer,,,1,R,2,Sen,SD-048,2016
id5602,1528.12269386378,1525.75545822841,470,2.36723563537043,Brandt Hershman,5602,Brandt,,Hershman,,,1,R,2,Sen,SD-007,2016
id16536,1527.94673308266,1521.84410559788,96,6.10262748478385,Jeff Raatz,16536,Jeff,,Raatz,,,1,R,2,Sen,SD-027,2016
id5587,1527.16339114387,1520.42964585297,470,6.73374529089847,Frank Mrvan,5587,Frank,,Mrvan,Jr.,,0,D,2,Sen,SD-001,2016
id16532,1527.00503868542,1520.25300637215,96,6.75203231327009,Jon Ford,16532,Jon,,Ford,,,1,R,2,Sen,SD-038,2016
id5598,1526.50195025432,1523.23152809708,433,3.27042215723486,Carlin Yoder,5598,Carlin,J.,Yoder,,,1,R,2,Sen,SD-012,2016
id5612,1526.35993781166,1524.22071835688,470,2.1392194547816,Jean Leising,5612,Jean,,Leising,,,1,R,2,Sen,SD-042,2016
id5614,1525.50306265521,1523.45095723736,470,2.05210541785686,Philip Boots,5614,Philip,L.,Boots,,Phil,1,R,2,Sen,SD-023,2016
id14193,1524.82734639134,1487.93675547341,252,36.8905909179291,Michael Crider,14193,Michael,R.,Crider,,Mike,1,R,2,Sen,SD-028,2016
id5623,1524.65843088037,1522.75963148646,470,1.89879939391199,Jean Breaux,5623,Jean,D.,Breaux,,,0,D,2,Sen,SD-034,2016
id5590,1523.54896412902,1522.07276496047,470,1.47619916854933,Randall Head,5590,Randall,,Head,,,1,R,2,Sen,SD-018,2016
id5616,1523.45233131035,1518.36348999808,470,5.08884131227069,David Long,5616,David,C.,Long,,,1,R,2,Sen,SD-016,2016
id5584,1523.41840895539,1522.93902883537,470,0.479380120011911,Greg Taylor,5584,Greg,,Taylor,,,0,D,2,Sen,SD-033,2016
id5620,1522.89416774793,1521.59604812949,423,1.2981196184378,John Broden,5620,John,Edward,Broden,,,0,D,2,Sen,SD-010,2016
id15697,1522.57313439354,1522.97933781137,252,-0.406203417824372,Pete Miller,15697,Pete,,Miller,,,1,R,2,Sen,SD-024,2016
id5592,1522.29336560143,1519.72786055123,470,2.56550505020459,Dennis Kruse,5592,Dennis,K.,Kruse,,,1,R,2,Sen,SD-014,2016
id5583,1522.23201987254,1522.27804257737,470,-0.0460227048254183,Joseph Zakas,5583,Joseph,C.,Zakas,,Joe,1,R,2,Sen,SD-011,2016
id5604,1522.2105554313,1520.08215918479,470,2.1283962465086,Brent Steele,5604,Brent,,Steele,,,1,R,2,Sen,SD-044,2016
id5589,1522.19210150814,1520.22092940625,470,1.9711721018889,Karen Tallian,5589,Karen,,Tallian,,,0,D,2,Sen,SD-004,2016
id12222,1521.98376729354,1521.3325518996,470,0.651215393941811,James Smith,12222,James,C.,Smith,,,1,R,2,Sen,SD-045,2016
id5599,1521.82052031077,1521.11567319416,423,0.704847116605379,Timothy Lanane,5599,Timothy,,Lanane,,Tim,0,D,2,Sen,SD-025,2016
id5619,1521.51778082755,1520.78699209725,470,0.730788730290897,Vaneta Becker,5619,Vaneta,G.,Becker,,,1,R,2,Sen,SD-050,2016
id5585,1521.22425520418,1519.35918481302,470,1.86507039116736,James Arnold,5585,James,,Arnold,,,0,D,2,Sen,SD-008,2016
id5579,1521.10747685792,1520.82326316504,434,0.284213692881849,Howard Kenley,5579,Howard,,Kenley,,Luke,1,R,2,Sen,SD-020,2016
id5594,1521.03907382493,1521.33442015106,431,-0.295346326128083,James Merritt,5594,James,W.,Merritt,Jr.,,1,R,2,Sen,SD-031,2016
id10582,1520.89255232498,1519.0555547736,470,1.83699755138696,Doug Eckerty,10582,Doug,,Eckerty,,,1,R,2,Sen,SD-026,2016
id10585,1520.77368480934,1518.95565113705,470,1.81803367228531,Susan Glick,10585,Susan,C.,Glick,,,1,R,2,Sen,SD-013,2016
id16531,1520.5170188646,1517.83146237122,96,2.68555649338555,Eric Bassler,16531,Eric,S.,Bassler,,,1,R,2,Sen,SD-039,2016
id5622,1520.40242116539,1518.70863642877,433,1.6937847366255,Earline Rogers,5622,Earline,S.,Rogers,,,0,D,2,Sen,SD-003,2016
id16534,1520.11053598102,1516.94926166983,96,3.16127431119844,Elizabeth Brown,16534,Elizabeth,M.,Brown,,Liz,1,R,2,Sen,SD-015,2016
id16535,1520.07734358365,1516.49514874405,96,3.58219483959874,Clyde Perfect,16535,Clyde,A.,Perfect,Jr.,Chip,1,R,2,Sen,SD-043,2016
