Row,score_variable_k,score_fixed_k,count,difference,name,sponsor_id,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,year
id16586,1548.8122528655,1539.64215789285,488,9.17009497264235,Amanda Banks,16586,Amanda,,Banks,,,1,R,2,Sen,,2016
id16534,1532.87486303273,1512.51088659383,775,20.363976438897,Elizabeth Brown,16534,Elizabeth,M.,Brown,,Liz,1,R,2,Sen,SD-015,2016
id11402,1531.90350958242,1511.61512472934,775,20.288384853078,Rodric Bray,11402,Rodric,D.,Bray,,,1,R,2,Sen,SD-037,2016
id14765,1531.66070297674,1511.22348829793,775,20.4372146788176,Rick Niemeyer,14765,Rick,,Niemeyer,,,1,R,2,Sen,SD-006,2016
id16533,1530.93539793669,1511.38730494974,775,19.548092986947,Erin Houchin,16533,Erin,,Houchin,,,1,R,2,Sen,SD-047,2016
id16531,1530.14576253608,1506.88635817551,775,23.2594043605739,Eric Bassler,16531,Eric,S.,Bassler,,,1,R,2,Sen,SD-039,2016
id16535,1529.64965523508,1507.37201440775,775,22.2776408273337,Clyde Perfect,16535,Clyde,A.,Perfect,Jr.,Chip,1,R,2,Sen,SD-043,2016
id16532,1529.38460443751,1507.11434632653,775,22.2702581109745,Jon Ford,16532,Jon,,Ford,,,1,R,2,Sen,SD-038,2016
id5584,1524.40232715832,1512.95282988636,1597,11.4494972719531,Greg Taylor,5584,Greg,,Taylor,,,0,D,2,Sen,SD-033,2016
id12222,1523.65222571266,1511.52783582815,1597,12.1243898845121,James Smith,12222,James,C.,Smith,,,1,R,2,Sen,SD-045,2016
id5619,1522.95230265082,1510.01073344111,1597,12.9415692097041,Vaneta Becker,5619,Vaneta,G.,Becker,,,1,R,2,Sen,SD-050,2016
id5623,1522.56895176442,1509.60304087365,1597,12.9659108907731,Jean Breaux,5623,Jean,D.,Breaux,,,0,D,2,Sen,SD-034,2016
id5608,1522.26727689827,1508.59843051146,1597,13.6688463868106,Greg Walker,5608,Greg,,Walker,,,1,R,2,Sen,SD-041,2016
id5590,1521.82128897742,1508.49315339915,1597,13.3281355782719,Randall Head,5590,Randall,,Head,,,1,R,2,Sen,SD-018,2016
id5581,1521.80815178654,1507.90903886796,1597,13.8991129185781,Travis Holdman,5581,Travis,,Holdman,,,1,R,2,Sen,SD-019,2016
id5587,1521.53041597454,1507.13049799662,1597,14.3999179779262,Frank Mrvan,5587,Frank,,Mrvan,Jr.,,0,D,2,Sen,SD-001,2016
id14060,1521.28805773217,1508.4647581355,1038,12.8232995966666,Mark Stoops,14060,Mark,,Stoops,,,0,D,2,Sen,SD-040,2016
id5614,1520.91826980336,1508.95057530868,1597,11.9676944946816,Philip Boots,5614,Philip,L.,Boots,,Phil,1,R,2,Sen,SD-023,2016
id5610,1520.67454440185,1505.96849737379,1410,14.7060470280558,Michael Delph,5610,Michael,,Delph,,,1,R,2,Sen,SD-029,2016
id5606,1520.59267654461,1507.42959436172,1524,13.1630821828883,Scott Schneider,5606,Scott,,Schneider,,,1,R,2,Sen,SD-030,2016
id5592,1520.5093700866,1510.70422965133,1597,9.80514043526864,Dennis Kruse,5592,Dennis,K.,Kruse,,,1,R,2,Sen,SD-014,2016
id10581,1520.50722920823,1506.97827298196,1597,13.5289562262603,James Tomes,10581,James,,Tomes,,,1,R,2,Sen,SD-049,2016
id15697,1520.16333367084,1505.27679888358,1086,14.8865347872634,Pete Miller,15697,Pete,,Miller,,,1,R,2,Sen,SD-024,2016
id5609,1520.11963157237,1504.64048695749,1597,15.4791446148831,Brent Waltz,5609,Brent,,Waltz,,,1,R,2,Sen,SD-036,2016
id14193,1519.74145851834,1504.70376674962,1086,15.0376917687279,Michael Crider,14193,Michael,R.,Crider,,Mike,1,R,2,Sen,SD-028,2016
id10582,1519.53410838143,1509.33079244014,1522,10.2033159412908,Doug Eckerty,10582,Doug,,Eckerty,,,1,R,2,Sen,SD-026,2016
id5583,1519.01967894538,1507.94804671901,1559,11.0716322263677,Joseph Zakas,5583,Joseph,C.,Zakas,,Joe,1,R,2,Sen,SD-011,2016
id5605,1518.75500188672,1506.50888627816,1558,12.2461156085594,James Buck,5605,James,R.,Buck,,Jim,1,R,2,Sen,SD-021,2016
id5594,1518.71165716977,1508.83374453705,1597,9.87791263272175,James Merritt,5594,James,W.,Merritt,Jr.,,1,R,2,Sen,SD-031,2016
id5616,1518.62578424219,1507.69593315695,1597,10.9298510852393,David Long,5616,David,C.,Long,,,1,R,2,Sen,SD-016,2016
id5602,1518.45904933027,1509.10630381563,1597,9.35274551464136,Brandt Hershman,5602,Brandt,,Hershman,,,1,R,2,Sen,SD-007,2016
id16536,1518.40860351914,1506.90472775966,775,11.5038757594784,Jeff Raatz,16536,Jeff,,Raatz,,,1,R,2,Sen,SD-027,2016
id10585,1516.13229889834,1506.9437843889,1597,9.18851450943998,Susan Glick,10585,Susan,C.,Glick,,,1,R,2,Sen,SD-013,2016
id5598,1515.0076370755,1505.7063952324,1597,9.30124184310284,Carlin Yoder,5598,Carlin,J.,Yoder,,,1,R,2,Sen,SD-012,2016
id5612,1513.52238370403,1508.0490349816,1597,5.47334872243027,Jean Leising,5612,Jean,,Leising,,,1,R,2,Sen,SD-042,2016
id5604,1512.88322072031,1507.0886152996,1597,5.79460542071342,Brent Steele,5604,Brent,,Steele,,,1,R,2,Sen,SD-044,2016
id5589,1511.51632352535,1513.57117108244,1512,-2.05484755709381,Karen Tallian,5589,Karen,,Tallian,,,0,D,2,Sen,SD-004,2016
id10583,1510.33175379917,1501.78963781114,881,8.54211598802817,James Banks,10583,James,E.,Banks,,Jim,1,R,2,Sen,SD-017,2016
id5580,1509.08812893828,1507.81707615645,1597,1.27105278182262,Ed Charbonneau,5580,Ed,,Charbonneau,,,1,R,2,Sen,SD-005,2016
id5627,1508.14321133172,1505.71033232969,1561,2.43287900203086,Ryan Mishler,5627,Ryan,D.,Mishler,,,1,R,2,Sen,SD-009,2016
id10580,1507.68347543204,1505.49561367644,1597,2.18786175560376,Ronald Grooms,10580,Ronald,,Grooms,,,1,R,2,Sen,SD-046,2016
id5620,1504.12765489985,1502.88115941186,1511,1.24649548799266,John Broden,5620,John,Edward,Broden,,,0,D,2,Sen,SD-010,2016
id5599,1501.43397538332,1503.32878018878,1597,-1.89480480545717,Timothy Lanane,5599,Timothy,,Lanane,,Tim,0,D,2,Sen,SD-025,2016
id5579,1498.77821473783,1498.4014570374,1562,0.376757700426879,Howard Kenley,5579,Howard,,Kenley,,Luke,1,R,2,Sen,SD-020,2016
id5622,1497.70412269794,1497.04806766849,1597,0.656055029452091,Earline Rogers,5622,Earline,S.,Rogers,,,0,D,2,Sen,SD-003,2016
id5541,1456.40004574601,1481.62096411825,727,-25.2209183722318,Mark Messmer,5541,Mark,B.,Messmer,,,1,R,2,Sen,SD-048,2016
id5585,1445.03177003781,1462.0600910467,1597,-17.028321008891,James Arnold,5585,James,,Arnold,,,0,D,2,Sen,SD-008,2016
id5597,1429.81542994174,1423.27129152143,1597,6.54413842030681,Michael Young,5597,R. Michael,,Young,,,1,R,2,Sen,SD-035,2016
id5595,1425.19412494347,1419.65461973286,1597,5.5395052106087,Patricia Miller,5595,Patricia,L.,Miller,,,1,R,2,Sen,SD-032,2016
id5621,1422.45655113589,1456.21867427196,1597,-33.7621231360695,Ronnie Alting,5621,Ronnie,J.,Alting,,,1,R,2,Sen,SD-022,2016
id5601,1382.79332432261,1389.92057675541,1550,-7.12725243279306,Lonnie Randolph,5601,Lonnie,Marcus,Randolph,,,0,D,2,Sen,SD-002,2016
