bill_id,sponsor_id
217268,5501
217269,5509
217270,5485
217270,5509
217270,5524
217270,5565
217271,5536
217272,5520
217272,5524
217272,5524
217272,5536
217273,5516
217273,5520
217273,5524
217273,5559
217274,5524
217274,5566
217274,5575
217274,5575
217275,5524
217276,5524
217277,5516
217277,5520
217277,5537
217277,5568
217277,10816
217278,5482
217278,5557
217279,5534
217279,5557
217280,5557
217281,5557
217282,5557
217283,5485
217283,5509
217283,5513
217284,5533
217285,5498
217285,5513
217285,5524
217285,10568
217285,10569
217286,5557
217287,10570
217288,5558
217288,5577
217288,10570
217288,10575
217289,5520
217289,5565
217289,10571
217290,5531
217291,5531
217292,5531
217293,5531
217294,5531
217294,5553
217295,5484
217296,5506
217297,5506
217297,5535
217298,5509
217298,5513
217298,5559
217298,10569
217299,5509
217300,5523
217300,5531
217301,5484
217301,5514
217301,5527
217301,5547
217301,10576
217302,5508
217302,5547
217303,5489
217303,5500
217303,5536
217303,11396
217304,5551
217304,5551
217305,5551
217305,5551
217306,5484
217306,10570
217307,5547
217307,5569
217308,5577
217309,5506
217309,5513
217309,5535
217309,5549
217310,5533
217310,5535
217310,5553
217310,10572
217311,5560
217312,5560
217313,5484
217313,5572
217314,5484
217315,5502
217315,5563
217316,5490
217316,5524
217317,5524
217318,5524
217319,5531
217320,5531
217321,5507
217321,5572
217322,5509
217322,5572
217323,5508
217323,5532
217323,5572
217323,10570
217324,5485
217324,5572
217325,5565
217326,5520
217326,5524
217326,5565
217327,5531
217327,5563
217327,5564
217327,5565
217328,5565
217328,10571
217329,5485
217329,5492
217329,5555
217329,5565
217330,5520
217330,5565
217330,10570
217331,5565
217332,5489
217333,5485
217334,5485
217334,5572
217334,10576
217335,5520
217335,5523
217335,5524
217335,5524
217336,5483
217336,5514
217336,5520
217336,10573
217337,5490
217337,5493
217337,5528
217337,5573
217338,5506
217338,5533
217338,5547
217339,5531
217339,5547
217339,10573
217340,5482
217341,5482
217342,5482
217343,5482
217344,5574
217344,10573
217344,10579
217345,5501
217345,5527
217346,5501
217346,5527
217346,5570
217346,5571
217346,10574
217347,5527
217348,5527
217348,5558
217349,5527
217350,5527
217351,5523
217351,5527
217352,5523
217352,5540
217353,5484
217353,5523
217354,5523
217354,5553
217355,5575
217355,5575
217356,5575
217356,5575
217357,5492
217357,5515
217357,5528
217357,5535
217357,5563
217357,5575
217357,5575
217357,10570
217357,11395
217358,5493
217358,5524
217358,5532
217358,5552
217359,5493
217359,5532
217360,5544
217361,5544
217362,5543
217362,5544
217362,5556
217362,10571
217363,5544
217364,5493
217364,5501
217364,5531
217364,5570
217365,5570
217365,5572
217366,5520
217366,10571
217367,5521
217367,5523
217367,5546
217367,10576
217368,5521
217369,5485
217369,5521
217370,5521
217371,5521
217372,5521
217372,5540
217372,5561
217372,5568
217373,5521
217374,5521
217375,10575
217376,5524
217376,5531
217376,10570
217376,10575
217377,5490
217377,10575
217378,5483
217378,5493
217378,5577
217379,5555
217380,5555
217381,5555
217382,5483
217382,5563
217383,5483
217383,5493
217383,5520
217383,5551
217383,5551
217384,5483
217384,5528
217384,5531
217384,5557
217385,5483
217385,10570
217386,5483
217386,5514
217386,5520
217386,10573
217387,5528
217387,5539
217387,5571
217387,10570
217388,5484
217388,5537
217389,5484
217389,5506
217390,5554
217391,5493
217391,5554
217392,5554
217393,5554
217394,5554
217395,5520
217396,5492
217396,5519
217396,5535
217397,5492
217398,5492
217399,5492
217400,5492
217401,5492
217402,5492
217403,5492
217404,5493
217404,5531
217404,5537
217405,5520
217405,5561
217405,5565
217405,10576
217406,5520
217406,10568
217406,10574
217407,5483
217407,5499
217408,5483
217408,5485
217408,5520
217409,5560
217410,5560
217411,5527
217411,5528
217412,5500
217412,5514
217412,5575
217412,5575
217412,10572
217413,5575
217413,5575
217414,5564
217414,10577
217415,5564
217416,5564
217417,5498
217417,5501
217417,5573
217417,10574
217418,5498
217419,5498
217419,5551
217419,5551
217420,5498
217421,5498
217422,5498
217423,5498
217424,5490
217424,5510
217424,10576
217425,5520
217425,5524
217426,5482
217427,5536
217427,5551
217427,5551
217428,5502
217428,5536
217428,5540
217429,5482
217429,5518
217429,5536
217430,5481
217430,5489
217430,5536
217430,5547
217431,5483
217431,5520
217431,5535
217431,5549
217432,5489
217432,5536
217433,5489
217434,5500
217434,5514
217434,10577
217435,5500
217435,5534
217435,5536
217435,10570
217436,5500
217436,5534
217436,5536
217436,10570
217436,11396
217437,5519
217437,5528
217437,5570
217438,5519
217439,5524
217439,5547
217440,5531
217440,5555
217440,5561
217441,5539
217441,5561
217442,5490
217442,5561
217443,5490
217443,5500
217443,5572
217444,5544
217444,5556
217444,5567
217444,5575
217444,5575
217445,5483
217445,5498
217445,5514
217445,5536
217446,5498
217446,5520
217446,5536
217446,10574
217447,5571
217448,5516
217448,5523
217448,5571
217449,5512
217449,5571
217450,5571
217451,5571
217452,5539
217453,5539
217453,5552
217454,5497
217454,5561
217455,5500
217455,5508
217455,5520
217455,10578
217456,5520
217456,5541
217456,10571
217456,10579
217457,5509
217457,5535
217457,10568
217457,10579
217458,5484
217458,5541
217458,10579
217459,10568
217459,10572
217459,10576
217459,10579
217460,5520
217460,5563
217460,10574
217460,10579
217461,5541
217461,10568
217461,10579
217462,5520
217462,5541
217462,5563
217462,10579
217463,5520
217463,10571
217464,5584
217464,5589
217464,5595
217464,5604
217464,5605
217465,5604
217465,5622
217466,5584
217466,5588
217466,5593
217466,5595
217466,5596
217466,5601
217466,5613
217466,5622
217467,5595
217468,5580
217468,5583
217468,5585
217468,5587
217468,5592
217468,5593
217468,5596
217468,5598
217468,5607
217468,5619
217468,5620
217468,5625
217468,5626
217468,10580
217468,10581
217468,10583
217468,10584
217468,10585
217469,5583
217470,5583
217471,5583
217471,5584
217471,5597
217471,5599
217471,5604
217471,5608
217471,5610
217472,5605
217472,5617
217473,5602
217473,5605
217473,5608
217474,5589
217474,5592
217474,5601
217474,5605
217474,5614
217475,5601
217475,5605
217475,5614
217476,5614
217477,5614
217478,5585
217478,5586
217478,5607
217478,10582
217479,5585
217480,5580
217480,5581
217480,5584
217480,5592
217480,5593
217480,5594
217480,5599
217480,5601
217480,5620
217480,5621
217480,10580
217481,5592
217481,5596
217481,5598
217481,5604
217482,5592
217482,5606
217482,5608
217482,5609
217482,5610
217482,10581
217483,5608
217484,5588
217485,5588
217485,5619
217486,5581
217486,5588
217486,5593
217486,5595
217486,5619
217486,5625
217487,5595
217487,5617
217488,5590
217488,5602
217488,5613
217489,5590
217490,5585
217490,5590
217491,5590
217492,5585
217492,5590
217492,5599
217492,5621
217492,5622
217493,5590
217493,5620
217494,5580
217494,5583
217494,5585
217494,5586
217494,5590
217494,5599
217494,5602
217494,5608
217494,5613
217494,5620
217494,5621
217494,5625
217495,5585
217495,5600
217496,5583
217496,5590
217496,5601
217496,5620
217497,5583
217498,5599
217498,5612
217498,5621
217499,5593
217500,5586
217500,5593
217501,5587
217501,5593
217501,5604
217501,5619
217502,5622
217503,5579
217503,5580
217503,5622
217504,5613
217504,5619
217505,5596
217505,5604
217505,5605
217505,5626
217506,5604
217507,5599
217508,5621
217509,5587
217509,5601
217509,5602
217509,5621
217510,5586
217510,5612
217510,5617
217511,5585
217511,5593
217511,5612
217512,5591
217512,5592
217512,5604
217512,5606
217512,5612
217513,5585
217513,5603
217513,5612
217513,5626
217514,5612
217515,5605
217516,5581
217516,5585
217516,5594
217517,5581
217518,5581
217518,5588
217518,5613
217518,5617
217518,5619
217518,5622
217518,10580
217519,5580
217519,5581
217519,5583
217519,5585
217519,5586
217519,5587
217519,5593
217519,5595
217519,5596
