bill_id,roll_call_id,date,description,yea,nay,nv
347440,139900,1/11/2012,House - Minority report (Kersey) not substituted for majority report: Roll Call 12: yeas 38 nays 60,38,60,1
347440,139901,1/11/2012,House - Minority report (C. Fry) not substituted for majority report: Roll Call 13: yeas 38 nays 60,38,60,1
347440,139902,1/11/2012,House - Minority report (Niezgodski) not substituted for majority report: Roll Call 14: yeas 38 nays 60,38,60,1
347440,139903,1/11/2012,House - Minority report (Bartlett) not substituted for majority report: Roll Call 15: yeas 36 nays 60,36,60,3
347440,144263,0000-00-00,House - Roll Call 36,39,59,0
347440,144264,1/23/2012,House - Amendment 56 (Torr) prevailed,58,40,0
347440,144265,1/23/2012,House - Amendment 52 (Koch) prevailed,57,41,0
347440,144266,1/23/2012,House - Amendment 6 (Bauer) failed,39,59,0
347440,144267,1/23/2012,House - Amendment 4 (Bardon) failed,39,59,0
347440,144268,1/23/2012,House - Amendment 29 (Bardon) failed,39,59,0
347440,144269,1/23/2012,House - Amendment 48 (Moseley) failed,36,58,4
347440,144270,1/23/2012,House - Amendment 44 (DeLaney) failed,34,63,1
347440,144271,1/23/2012,House - Amendment 11 (C. Fry) failed,37,58,3
347440,144272,1/23/2012,House - Amendment 12 (C. Fry) failed,35,59,4
347440,144273,1/23/2012,House - Amendment 60 (Moses) failed,39,59,0
347440,145196,1/25/2012,House - Third reading: passed,54,44,0
347440,147483,1/31/2012,Senate - Amendment 10 (Simpson) failed,15,35,0
347440,147484,1/31/2012,Senate - Amendment 7 (Simpson) failed,14,36,0
347440,147485,1/31/2012,Senate - Amendment 8 (Tallian) failed,14,36,0
347440,147888,2/1/2012,Senate - Third reading: passed,28,22,0
347440,149699,1/23/2012,House - Amendment 18 (Battles) failed,39,59,0
347443,147103,1/30/2012,House - Third reading: passed,97,0,0
347443,164569,2/29/2012,Senate - Third reading: passed,44,4,2
347443,170185,3/9/2012,House - House reconsidered and concurred in Senate amendments,61,36,1
347446,146485,1/27/2012,House - Third reading: passed,92,0,3
347446,158157,2/21/2012,Senate - Third reading: passed,49,0,1
347446,170238,3/10/2012,Senate - Conference committee report 1 : adopted by the Senate,41,9,0
347446,170239,3/9/2012,House - Conference committee report 1 : adopted by the House,74,20,0
347449,146998,1/30/2012,House - Third reading: passed,96,0,1
347449,156059,2/16/2012,Senate - Amendment 1 (Breaux) failed,14,35,0
347449,159584,2/23/2012,Senate - Third reading: passed,31,19,0
347449,170295,3/8/2012,House - House concurred in Senate amendments,92,0,4
347452,145813,1/25/2012,House - Amendment 2 (Reske) failed,38,58,1
347452,145814,1/25/2012,House - Amendment 1 (Pryor) failed,36,59,2
347452,146989,1/30/2012,House - Third reading: passed,70,26,1
347452,162935,2/27/2012,Senate - Third reading: passed,30,19,0
347452,169105,3/6/2012,House - House concurred in Senate amendments,62,19,0
347461,146407,1/27/2012,House - Third reading: passed,90,2,2
347461,153620,2/14/2012,Senate - Third reading: passed,50,0,0
347467,147540,1/31/2012,House - Third reading: passed,94,0,4
347473,143089,1/17/2012,House - Third reading: passed,91,2,3
347479,146413,1/27/2012,House - Third reading: passed,90,2,1
347479,154277,2/14/2012,Senate - Third reading: passed,49,0,1
347479,168248,3/5/2012,House - House concurred in Senate amendments,83,1,10
347482,147095,1/30/2012,House - Third reading: passed,92,1,4
347482,152860,2/13/2012,Senate - Third reading: passed,47,0,0
347488,145870,1/26/2012,House - Third reading: passed,97,0,1
347488,157167,2/20/2012,Senate - Third reading: passed,50,0,0
347491,143090,1/17/2012,House - Third reading: passed,94,0,2
347520,143092,1/17/2012,House - Third reading: passed,94,1,1
347532,147119,1/30/2012,House - Third reading: passed,85,9,2
347532,163516,2/28/2012,Senate - Amendment 3 (Bray) prevailed,39,11,0
347532,164574,2/29/2012,Senate - Third reading: passed,47,2,1
347532,170191,3/9/2012,Senate - Conference committee report 1 : adopted by the Senate,45,3,2
347532,170192,3/9/2012,House - Conference committee report 1 : adopted by the House,76,11,5
347535,145859,1/26/2012,House - Third reading: passed,95,0,3
347535,156937,2/16/2012,Senate - Third reading: passed,49,0,0
347553,143094,1/17/2012,House - Third reading: passed,95,0,1
347553,164208,2/29/2012,Senate - Third reading: passed,49,0,1
347553,169298,3/8/2012,Senate - Conference committee report 1 : adopted by the Senate,49,0,1
347553,169299,3/8/2012,House - Conference committee report 1 : adopted by the House,94,0,1
347574,147587,1/31/2012,House - Third reading: passed,92,1,5
347574,158043,2/21/2012,Senate - Third reading: passed,48,2,0
347580,147134,1/30/2012,House - Third reading: passed,92,3,1
347580,164671,2/29/2012,Senate - Third reading: passed,47,2,1
347580,170230,3/9/2012,Senate - Conference committee report 1 : adopted by the Senate,46,3,1
347580,170231,3/9/2012,House - Conference committee report 1 : adopted by the House,73,14,3
347583,147064,1/30/2012,House - Third reading: passed,74,20,2
347583,158350,2/21/2012,Senate - Third reading: passed,48,2,0
347588,143096,1/17/2012,House - Third reading: passed,96,0,0
347588,158508,2/21/2012,Senate - Third reading: passed,50,0,0
347591,147588,1/31/2012,House - Third reading: passed,93,0,5
347591,158052,2/21/2012,Senate - Third reading: passed,43,7,0
347591,168760,3/5/2012,House - House concurred in Senate amendments,81,7,6
347597,146020,1/26/2012,House - Third reading: passed,78,19,0
347603,145865,1/25/2012,House - Amendment 1 (Porter) prevailed,92,3,2
347603,145866,1/26/2012,House - Third reading: passed,97,0,1
347603,159962,2/23/2012,Senate - Third reading: passed,48,1,1
347606,146511,1/27/2012,House - Third reading: passed,93,0,0
347606,160214,2/23/2012,Senate - Third reading: passed,49,0,1
347606,168197,3/5/2012,House - House concurred in Senate amendments,91,0,3
347609,146039,1/26/2012,House - Third reading: passed,96,0,2
347609,158208,2/21/2012,Senate - Third reading: passed,49,1,0
347621,145893,1/26/2012,House - Third reading: passed,96,0,2
347624,145880,1/26/2012,House - Third reading: passed,97,0,1
347624,153671,2/14/2012,Senate - Third reading: passed,50,0,0
347624,168471,3/6/2012,House - House concurred in Senate amendments,76,0,1
347645,147159,1/30/2012,House - Third reading: passed,90,5,1
347645,164033,2/29/2012,Senate - Third reading: passed,47,3,0
347645,170133,3/10/2012,Senate - Conference committee report 1 : adopted by the Senate,50,0,0
347645,170134,3/9/2012,House - Conference committee report 1 : adopted by the House,87,8,0
347668,146519,1/27/2012,House - Third reading: passed,92,0,1
347668,164776,2/29/2012,Senate - Third reading: passed,50,0,0
347668,169743,3/9/2012,Senate - Conference committee report 1 : adopted by the Senate,48,2,0
347668,169744,3/8/2012,House - Conference committee report 1 : adopted by the House,92,0,3
347689,147633,1/31/2012,House - Third reading: passed,81,14,3
347689,164853,2/29/2012,Senate - Third reading: passed,42,8,0
347698,146554,1/27/2012,House - Third reading: passed,92,0,2
347698,157702,2/21/2012,Senate - Third reading: passed,50,0,0
347698,167064,3/5/2012,House - House concurred in Senate amendments,92,0,2
347701,139998,1/13/2012,House - Motion to recommit to Committee on Judiciary (DeLaney): failed,32,53,7
347701,147516,1/31/2012,House - Third reading: recommitted to Committee of One amendment adopted,57,39,1
347701,164472,2/29/2012,Senate - Third reading: passed,36,14,0
347701,167246,3/5/2012,House - House concurred in Senate amendments,58,35,1
347704,147196,1/30/2012,House - Third reading: passed,92,0,4
347704,163001,2/27/2012,Senate - Third reading: passed,49,0,0
347704,169281,3/8/2012,Senate - Conference committee report 1 : adopted by the Senate,50,0,0
347704,169282,3/8/2012,House - Conference committee report 1 : adopted by the House,92,0,2
347707,146552,1/27/2012,House - Third reading: passed,90,4,0
347734,147093,1/30/2012,House - Third reading: passed,95,0,1
347749,147679,1/31/2012,House - Third reading: passed,95,0,2
347749,157907,2/21/2012,Senate - Third reading: passed,50,0,0
347761,147520,1/31/2012,House - Third reading: passed,96,0,1
347761,164495,2/29/2012,Senate - Third reading: passed,48,2,0
347764,145934,1/26/2012,House - Amendment 1 (Pierce) failed,25,66,7
347764,146440,1/27/2012,House - Third reading: passed,80,12,1
