bill_id,date,action
802038,2016-01-05,"Authored by Senator Charbonneau"
802038,2016-01-05,"First reading: referred to Committee on Judiciary"
802038,2016-01-07,"Senator Young, M. added as second author"
802039,2016-01-05,"Authored by Senator Steele"
802039,2016-01-05,"First reading: referred to Committee on Judiciary"
802039,2016-01-21,"Committee report: do pass, adopted"
802039,2016-01-25,"Second reading: amended, ordered engrossed"
802039,2016-01-25,"Amendment #1 (Steele) prevailed; voice vote"
802039,2016-01-25,"Senator Head added as second author"
802039,2016-01-25,"Senator Houchin added as coauthor"
802039,2016-01-25,"Senator Randolph added as coauthor"
802039,2016-01-26,"Third reading: passed; Roll Call 64: yeas 49, nays 0"
802039,2016-01-26,"House sponsor: Representative Steuerwald"
802039,2016-01-26,"Cosponsor: Representative Koch"
802039,2016-01-27,"Referred to the House"
802039,2016-02-08,"First reading: referred to Committee on Family, Children and Human Affairs"
802039,2016-02-11,"Committee report: amend do pass, adopted"
802039,2016-02-15,"Second reading: ordered engrossed"
802039,2016-02-16,"Third reading: passed; Roll Call 185: yeas 95, nays 0"
802039,2016-02-16,"Representative Summers added as cosponsor"
802039,2016-02-16,"Returned to the Senate with amendments"
802039,2016-02-18,"Representative Niezgodski added as cosponsor"
802039,2016-02-22,"Motion to concur filed"
802039,2016-02-23,"Senate concurred in House Amendments; Roll Call 214: yeas 48, nays 0"
802039,2016-02-29,"Signed by the President Pro Tempore"
802039,2016-03-02,"Signed by the Speaker"
802039,2016-03-14,"Signed by the President of the Senate"
802039,2016-03-21,"Signed by the Governor"
802039,2016-03-21,"Public Law 16"
802040,2016-01-05,"Authored by Senator Head"
802040,2016-01-05,"First reading: referred to Committee on Judiciary"
802040,2016-01-21,"Committee report: do pass, adopted"
802040,2016-01-21,"Senator Broden added as coauthor"
802040,2016-01-25,"Second reading: amended, ordered engrossed"
802040,2016-01-25,"Amendment #1 (Head) prevailed; voice vote"
802040,2016-01-25,"Senator Steele added as second author"
802040,2016-01-25,"Senator Randolph added as coauthor"
802040,2016-01-26,"Third reading: passed; Roll Call 52: yeas 49, nays 0"
802040,2016-01-26,"House sponsor: Representative McNamara"
802040,2016-01-27,"Referred to the House"
802040,2016-02-08,"First reading: referred to Committee on Courts and Criminal Code"
802040,2016-02-11,"Committee report: do pass, adopted"
802040,2016-02-15,"Second reading: ordered engrossed"
802040,2016-02-15,"Representative Olthoff added as cosponsor"
802040,2016-02-16,"Third reading: passed; Roll Call 184: yeas 95, nays 0"
802040,2016-02-16,"Returned to the Senate without amendments"
802040,2016-02-17,"Public Law 15"
802040,2016-02-22,"Signed by the Speaker"
802040,2016-02-22,"Signed by the President Pro Tempore"
802040,2016-03-14,"Signed by the President of the Senate"
802040,2016-03-21,"Signed by the Governor"
802041,2016-01-05,"Authored by Senator Broden"
802041,2016-01-05,"First reading: referred to Committee on Family & Children Services"
802043,2016-01-05,"Authored by Senator Raatz"
802043,2016-01-05,"First reading: referred to Committee on Education & Career Development"
802043,2016-01-07,"Senator Kruse added as coauthor"
802043,2016-01-11,"Senator Kruse removed as coauthor"
802043,2016-01-11,"Senator Kruse added as second author"
802043,2016-01-21,"Committee report: amend do pass, adopted"
802043,2016-01-28,"Second reading: amended, ordered engrossed"
802043,2016-01-28,"Amendment #1 (Kenley) prevailed; voice vote"
802043,2016-01-28,"Amendment #4 (Raatz) prevailed; voice vote"
802043,2016-01-28,"Senator Alting added as third author"
802043,2016-01-28,"Senator Randolph added as coauthor"
802043,2016-02-01,"Pursuant to Senate Rule 35 (c); technical correction committee report adopted"
802043,2016-02-01,"Third reading: passed; Roll Call 71: yeas 26, nays 24"
802043,2016-02-01,"House sponsor: Representative Cook"
802043,2016-02-01,"Senator Alting removed as third author"
802043,2016-02-02,"Referred to the House"
802043,2016-02-08,"First reading: referred to Committee on Education"
802043,2016-02-15,"Representative Thompson added as cosponsor"
802043,2016-02-29,"Committee report: do pass, adopted"
802043,2016-03-02,"Second reading: ordered engrossed"
802043,2016-03-02,"Amendment #7 (DeLaney) failed; Roll Call 321: yeas 28, nays 68"
802043,2016-03-02,"Amendment #1 (Kersey) failed; Roll Call 322: yeas 28, nays 68"
802043,2016-03-02,"Amendment #4 (Smith V) failed; Roll Call 323: yeas 32, nays 64"
802043,2016-03-02,"Amendment #6 (Smith V) failed; Roll Call 324: yeas 27, nays 68"
802045,2016-01-05,"Authored by Senator Long"
802045,2016-01-05,"First reading: referred to Committee on Rules & Legislative Procedure"
802046,2016-01-05,"Authored by Senator Long"
802046,2016-01-05,"First reading: referred to Committee on Rules & Legislative Procedure"
802046,2016-01-19,"Committee report: amend do pass adopted; reassigned to Committee on Elections"
