Row,id5506,id5482,id5492,id5508,id5499,id5563,id5549,id5528,id5500,id5569,id5533,id14436,id14440,id5543,id5556,id5566,id14442,id5518,id14191,id5493,id14189,id14765,id14192,id14438,id5546,id11394,id10569,id5539,id14761,id5571,id5515,id5560,id5544,id10578,id10575,id5559,id5561,id14439,id10577,id5509,id5502,id5524,id14443,id10818,id14445,id5512,id5510,id14447,id5527,id5537,id14767,id5573,id5536,id10584,id5541,id5483,id10572,id14764,id5514,id10568,id11298,id5557,id14762,id14444,id10576,id5521,id5497,id11395,id11396,id5567,id5565
id5506,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,NaN,1,1,0,NaN,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,NaN,NaN,1,0,1,0
id5482,1,1,1,1,1,1,1,0,1,1,0,NaN,NaN,1,1,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,0,NaN,1,NaN,1,1,NaN,1,1,NaN,1,1,1,1,1,1,NaN,1,1,1,1,NaN,NaN,1,1,NaN,1,0,1,1
id5492,1,1,1,1,1,1,NaN,0,1,1,1,1,1,1,1,1,1,NaN,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,NaN,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,NaN,1,1,1,1
id5508,0.5,0.5,0.75,1,0.75,1,0.5,0.5,0.5,0.5,0.5,1,1,0.5,0.666666666666667,0.25,1,0.5,0.666666666666667,1,0.5,1,1,0.5,0.666666666666667,0.75,1,1,1,0.75,1,0.5,1,1,1,0,NaN,0.75,1,0.5,0.666666666666667,0.75,0.5,0.5,1,1,1,1,0.75,1,1,0.75,0.75,0.75,1,1,0.75,0.75,1,1,1,1,0.75,0.75,0.666666666666667,NaN,NaN,1,0.5,1,0.75
id5499,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,1,0.25,0.5,0.5,0.666666666666667,0.833333333333333,0.333333333333333,0.75,0.666666666666667,0.5,0.333333333333333,0.333333333333333,0.75,0.4,0.75,1,1,1,1,1,1,0.833333333333333,0.5,1,1,1,0.666666666666667,1,1,1,0.833333333333333,1,0.666666666666667,1,1,1,1,0.666666666666667,1,0.833333333333333,0.75,0.5,1,0.75,1,0.666666666666667,1,0.833333333333333,0.833333333333333,0.666666666666667,1,0.833333333333333,0.8,1,1,0.833333333333333,0.5,1,0.75,0.25,0.666666666666667,1,1,1,0.833333333333333,0.833333333333333,0.833333333333333
id5563,1,0.5,1,1,0.75,1,0.5,1,0.666666666666667,1,1,1,1,0.666666666666667,1,0.666666666666667,1,0.75,1,1,1,1,1,0.666666666666667,1,1,1,0.75,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,0.75,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,0.75,0.75,1,1,0.5,1,1,1,1,1,1,1
id5549,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,1,1
id5528,0.666666666666667,1,1,1,0.666666666666667,NaN,0.666666666666667,1,0.666666666666667,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,1,0.666666666666667,NaN,1,0.666666666666667,1,0.666666666666667,NaN,1,0.666666666666667,1,1,1,1,1,1,NaN,NaN,1,1,1,1,1,1,1,0.666666666666667,NaN,1,0.666666666666667,1,1,1,0.666666666666667,0.666666666666667,0.333333333333333,NaN,0.333333333333333,0.666666666666667,0.666666666666667,1,1,1,1,0.666666666666667,0.333333333333333,0.666666666666667,NaN,NaN,1,0.666666666666667,0.666666666666667,0.666666666666667
id5500,1,0.666666666666667,1,1,0.666666666666667,1,0.5,0,1,1,0.666666666666667,1,0.666666666666667,0.666666666666667,1,0.666666666666667,1,0.5,1,1,0.333333333333333,1,1,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,1,1,0.666666666666667,1,0.333333333333333,1,1,1,0.666666666666667,1,1,1,0.666666666666667,1,0.333333333333333,0.333333333333333,0.5,1,1,0.666666666666667,1,1,0.666666666666667,1,1,0.666666666666667,1,1,1,1,0.333333333333333,1,1,1,1,1,1,0.666666666666667,1,NaN,1,0.5,1,0.666666666666667
id5569,0.5,0,0.5,1,1,1,0,1,1,1,1,1,1,0.5,0.5,0.5,1,0.5,1,1,1,NaN,1,1,0.5,0.5,1,1,1,1,0.5,1,1,1,1,1,1,1,0.5,1,1,0.5,1,0.5,1,1,1,1,0.5,1,1,1,1,0.5,0.5,0.5,1,1,1,1,0.5,1,1,1,1,NaN,NaN,1,1,1,1
id5533,0.5,0.5,0.5,1,1,0,1,0.5,1,0.5,1,0.5,0.5,1,0.5,1,1,1,0.5,1,0.5,1,1,0,0,0.5,1,1,0.5,0.5,1,0,1,1,1,1,0,0.5,0.5,1,0.5,1,0.5,0.5,1,1,1,1,1,0.5,1,1,1,0.5,1,0.5,1,0.5,1,1,0.5,1,0.5,0.5,0.5,1,1,1,0.5,1,0.5
id14436,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,1,1,1,1
id14440,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,NaN,1,1,0,NaN,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,NaN,NaN,1,0,1,0
id5543,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,NaN,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0
id5556,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,1,1,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,NaN,1,1,NaN,1,1,NaN,1,1,1,1,1,1,NaN,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1
id5566,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,NaN,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0
id14442,0,0,0,1,1,1,0,NaN,1,1,1,1,1,0,0,0,1,0,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,1,1,1,1
id5518,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,NaN,1,1,0,NaN,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,NaN,NaN,1,0,1,0
id14191,0.5,0.5,0.5,1,1,0.5,1,1,1,0.5,1,1,1,1,0.5,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0.5,0,1,0.5,0.5,0,0.5,0,0,1,1,1,1,1,1,1,1,0.5,0.5,1,0.5,1,0,1,1,0.5,1,0.5,0.5,0.5,1,1,1,0,1,0
id5493,0.285714285714286,0.285714285714286,0.142857142857143,0.571428571428571,0.285714285714286,0.25,0.285714285714286,0.5,0.285714285714286,0.428571428571429,0.285714285714286,0.2,0.2,0.142857142857143,0.142857142857143,0.142857142857143,0.2,0.166666666666667,0.2,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1
