Row,id12223,id5492,id5508,id5499,id5498,id5563,id5528,id5568,id5500,id5569,id5533,id5566,id14442,id5493,id14192,id5570,id5546,id5519,id11394,id10569,id5539,id5571,id5515,id5560,id5544,id10578,id10575,id5559,id5561,id5564,id14439,id10577,id5509,id5502,id5524,id14443,id10818,id10574,id14445,id5512,id5513,id5510,id14768,id14447,id5527,id5537,id14437,id5573,id5536,id10584,id10579,id5541,id5483,id10570,id10572,id14764,id10573,id5514,id10571,id10568,id11298,id5547,id5557,id14762,id14444,id10816,id10576,id5521,id5497,id11395,id11396,id5567,id5565
id12223,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,NaN,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,NaN,2,2,2,1,2,NaN,NaN,2,2,2,2
id5492,2,2,2,2,2,2,2,2,2,2,2,2,NaN,2,NaN,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,NaN,2,2,NaN,2,2,2,NaN,NaN,2,2,NaN,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2,2,NaN,NaN,2,2,NaN,1,2,2,1,2
id5508,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,NaN,1
id5499,2,2,2,2,2,NaN,2,1,2,2,2,2,2,2,2,1,1,2,2,NaN,2,2,2,2,2,2,2,NaN,NaN,NaN,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,1,2,1,1,2,2,1,NaN,2,2,1,2,2,2,2,2,2,NaN,2,2,2,NaN,2,NaN,1,1,2,2,2
id5498,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,NaN,NaN,1,1,1,1
id5563,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,NaN,1
id5528,3,3,3,3,3,2,3,2,3,3,3,3,1,3,1,3,2,3,2,2,3,3,3,3,3,3,3,2,2,2,1,2,3,3,3,1,3,3,1,2,3,3,1,1,2,3,1,2,3,3,2,2,3,3,2,1,3,3,2,3,3,2,3,1,1,2,3,1,2,3,3,2,3
id5568,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,1,2
id5500,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,NaN,1,1,1,NaN,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,NaN,1,1,NaN,1,1,1,NaN,1
id5569,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,NaN,2,2,2,2
