Row,id5506,id12223,id5494,id5489,id5492,id5508,id5499,id5549,id5528,id5568,id5500,id5569,id14436,id14440,id5543,id14442,id5493,id14189,id5570,id14438,id5546,id5519,id11394,id5571,id5515,id5560,id5544,id10578,id10575,id5559,id10577,id5509,id5502,id14443,id10574,id5513,id14768,id14447,id5527,id5573,id5536,id10584,id10579,id5541,id5483,id10570,id10572,id14764,id10573,id5514,id10571,id11398,id10568,id11298,id5557,id14444,id10576,id5497,id11396,id5567,id5565
id5506,4,4,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,1,4,3,4,3,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,3,4,4,NaN,3,4,4
id12223,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,NaN,3,3,3,3,3,3,3,3,2,3,3,3,2,NaN,3,3,2,3,2,3,3,3,3,3,3,3,3,1,3,2,3
id5494,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,NaN,1,1,NaN,1,1,1,1,1,1,1,1,1,1,NaN,1,NaN,1
id5489,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2,2,2,1,2,2,1,1,NaN,2,2,1,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2
id5492,3,3,2,3,3,3,3,3,3,3,3,3,NaN,NaN,3,NaN,3,NaN,3,NaN,3,3,3,3,3,3,3,3,3,3,3,3,3,NaN,3,3,NaN,NaN,3,3,3,3,3,3,3,3,3,NaN,3,3,3,NaN,3,3,3,NaN,3,2,3,3,3
id5552,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1,NaN,1,1,1,1,1
id5508,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1
id5624,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1
id5499,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1
id5498,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,1,NaN,NaN,1,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,NaN,1
id5563,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,NaN,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1,NaN,1,1,1,1,1
id5549,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,NaN,2,2,1
id5528,3,2,2,3,3,3,3,3,2,3,3,3,1,1,3,1,3,1,3,1,3,3,3,3,3,2,3,3,2,2,3,3,3,1,3,3,1,1,3,3,2,3,3,2,3,3,3,1,3,3,3,NaN,3,3,3,1,3,1,3,2,3
id5568,5,4,4,5,5,5,5,5,4,4,4,5,4,3,5,4,5,4,5,4,3,5,5,5,5,4,5,5,5,1,5,5,5,4,5,5,4,4,4,5,4,5,4,1,5,5,4,4,4,5,5,4,5,5,4,4,5,2,4,3,5
id5500,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,NaN,1,2,2,1,2,1,2,1,2,2,2,2,2,2,1,2,1,2
id5569,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2,2,2,NaN,2,2,2,2,2,2,2,2,1,2,2,2,1,NaN,2,2,1,2,2,2,2,2,2,2,2,2,2,NaN,2,2,2
id5533,1,1,1,1,1,1,1,1,1,1,1,1,NaN,NaN,1,NaN,1,NaN,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,NaN,1,1,1,NaN,1,1,1,1,1
