Row,id5493,id14189,id14192,id14438,id5519,id11394,id10569,id5539,id14761,id5571,id5515,id5560,id5544,id5559,id5561,id5564,id14439,id10577,id5509,id5502,id5524,id14443,id10818,id10574,id5512,id5513,id5510,id14768,id14447,id5527,id14437,id5573,id5536,id10584,id10579,id5541,id5483,id10572,id14764,id10573,id5514,id11398,id10568,id11298,id5557,id10816,id10576,id5521,id5497,id11395,id11396,id5567,id5565
id5493,1,NaN,NaN,NaN,0,1,1,1,NaN,1,0,NaN,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,NaN,NaN,1,NaN,1,NaN,1,0,1,1,1,NaN,1,1,NaN,0,NaN,1,1,1,1,1,1,1,NaN,1
id14189,1,1,1,1,0.6,1,1,1,1,1,0.6,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1,1,1,1,1,1,1,1,1,1,1,0.6,1,1,1,1,0.8,0.8,0.75,1,1,1,1,1,1,1,1,1
id14192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1
id14438,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1
id5519,1,NaN,NaN,NaN,1,1,1,1,NaN,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,NaN,NaN,1,NaN,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,1,1,1,NaN,NaN,1,1,NaN,1
id11394,1,1,0.666666666666667,0.333333333333333,0.25,1,1,1,0.333333333333333,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1,1,1,0.75,1,0.666666666666667,0.666666666666667,1,0.5,1,1,1,1,0.333333333333333,0.75,0.75,1,1,1,1,1,1,1,1,1
id10569,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id5539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1
id14761,1,1,1,0,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,0,1,1,1,1,1,NaN,1,NaN,1,1,1
id5571,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1
