Row,id10568,id10570,id10571,id10572,id10573,id10574,id10575,id10576,id10577,id10578,id10579,id10584,id10818,id11298,id11394,id11395,id11396,id12223,id14189,id14437,id14438,id14439,id14442,id14443,id14444,id14447,id14761,id14762,id14764,id16807,id5483,id5492,id5493,id5497,id5499,id5500,id5502,id5506,id5508,id5509,id5510,id5513,id5514,id5515,id5519,id5524,id5527,id5528,id5533,id5536,id5539,id5544,id5546,id5557,id5560,id5565,id5566,id5567,id5568,id5569,id5570,id5571,id5573,id5576
id10568,1,NaN,1,NaN,0,NaN,1,1,1,NaN,1,1,NaN,1,1,1,NaN,0,1,NaN,1,1,NaN,NaN,0,1,NaN,1,1,NaN,NaN,NaN,NaN,NaN,0.333333333333333,1,NaN,NaN,NaN,NaN,NaN,0,0.666666666666667,0,1,NaN,NaN,NaN,NaN,NaN,1,NaN,1,1,NaN,0.5,0,1,NaN,0.333333333333333,1,1,1,NaN
id10570,NaN,NaN,NaN,1,1,NaN,1,NaN,1,1,1,1,1,1,1,1,NaN,0,1,1,1,1,NaN,1,1,1,NaN,NaN,1,NaN,1,0,1,NaN,0,0.333333333333333,1,NaN,0,1,1,1,1,1,1,1,1,0,0,1,NaN,1,1,1,1,1,0,NaN,NaN,0,NaN,NaN,1,NaN
id10571,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,NaN,NaN,1,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,0,0,1,NaN,1,NaN,1,1,NaN
id10572,NaN,1,1,1,1,NaN,1,NaN,NaN,1,NaN,1,1,1,1,1,NaN,0,1,NaN,1,NaN,0.333333333333333,NaN,NaN,NaN,NaN,1,1,1,1,0.333333333333333,1,NaN,0,0,1,0.5,0.5,1,1,1,1,0,NaN,1,1,1,0.75,1,NaN,NaN,1,1,1,1,1,1,NaN,NaN,1,NaN,0,NaN
id10573,NaN,NaN,NaN,1,1,NaN,1,NaN,NaN,NaN,NaN,1,NaN,1,1,NaN,NaN,NaN,1,1,NaN,1,0,NaN,NaN,NaN,NaN,NaN,1,NaN,1,0,1,NaN,NaN,0,1,NaN,NaN,1,1,1,1,NaN,NaN,NaN,1,NaN,0,1,NaN,1,NaN,NaN,1,1,NaN,1,NaN,0,NaN,NaN,NaN,1
id10574,NaN,1,1,1,NaN,1,NaN,NaN,NaN,1,NaN,1,1,1,1,1,1,0,NaN,1,NaN,1,0.666666666666667,NaN,NaN,1,NaN,NaN,1,NaN,1,0,1,NaN,1,0.75,1,NaN,1,1,0.5,1,0.333333333333333,1,1,1,NaN,NaN,0,1,NaN,1,NaN,1,1,0,0,1,1,0.8,NaN,1,1,NaN
id10575,NaN,NaN,NaN,NaN,0.5,NaN,1,NaN,NaN,1,1,1,1,NaN,1,NaN,NaN,0,1,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,0.333333333333333,NaN,NaN,0,NaN,1,0.5,0,1,1,1,1,0,0,NaN,NaN,NaN,NaN,1,1,0.5,0,NaN,NaN,1,NaN,NaN,1,NaN
id10576,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,NaN,1,0.333333333333333,1,NaN,NaN,1,NaN,1,1,1,NaN,1,1,NaN,1,0.333333333333333,1,1,0.666666666666667,0,1,NaN,1,1,1,1,0.75,1,1,NaN,NaN,1,0,1,1,1,1,1,1,1,NaN,1,NaN,0.666666666666667,1,1,1,NaN
id10577,NaN,1,NaN,NaN,1,NaN,1,1,1,NaN,NaN,1,NaN,1,1,1,NaN,0,1,NaN,1,NaN,NaN,1,NaN,1,NaN,NaN,1,NaN,1,1,1,NaN,1,0.5,1,NaN,1,1,NaN,1,0,0,1,NaN,NaN,NaN,NaN,NaN,1,NaN,1,1,NaN,1,NaN,1,NaN,1,1,1,1,NaN
id10578,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,1,NaN,1,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,0,NaN,NaN,0,NaN,1,NaN,0,1,1,1,1,0,0.333333333333333,NaN,NaN,NaN,NaN,1,1,NaN,0,NaN,NaN,1,NaN,NaN,1,NaN
