Row,id10568,id10570,id10571,id10572,id10575,id10576,id10577,id10578,id10579,id10818,id11298,id11394,id11396,id12223,id5483,id5489,id5493,id5494,id5497,id5498,id5499,id5500,id5502,id5506,id5508,id5509,id5510,id5513,id5514,id5515,id5519,id5528,id5529,id5532,id5533,id5536,id5539,id5544,id5546,id5549,id5556,id5557,id5560,id5565,id5569,id5570,id5571,id5573,id5576
id10568,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
id10570,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
id10571,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
id10572,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
id10575,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
id10576,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
id10577,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id10578,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
id10579,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
id10818,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
id11298,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
id11394,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
id11396,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
id12223,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
id5483,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
id5489,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
