Row,id12223,id14191,id14436,id14440,id14442,id14446,id16701,id16703,id17692,id5489,id5492,id5494,id5498,id5499,id5500,id5506,id5508,id5518,id5528,id5532,id5533,id5543,id5549,id5553,id5556,id5566,id5568,id5569,id5624
id12223,1,0.666666666666667,0.5,NaN,0,0.9,NaN,NaN,NaN,NaN,NaN,1,0,0.833333333333333,NaN,NaN,1,0.818181818181818,1,1,0.666666666666667,0.666666666666667,0,NaN,1,1,1,0.9,NaN
id14191,0.666666666666667,1,0,0.5,NaN,1,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,0.333333333333333,NaN,NaN,0.6,1,0.75,0,NaN,1,NaN,1,NaN,NaN
id14436,0.5,0,1,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,0.5,1,0.666666666666667,NaN,0.5,NaN,NaN,NaN,NaN
id14440,NaN,0.5,0.5,1,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,NaN,0.75,NaN,NaN,NaN,NaN,1,NaN,NaN,1,1
id14442,0,NaN,NaN,NaN,1,0.5,0.333333333333333,0,NaN,NaN,0.6,NaN,NaN,1,0.8,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,0.666666666666667,0.833333333333333
id14446,0.9,1,NaN,1,0.5,1,1,NaN,NaN,NaN,NaN,0.833333333333333,NaN,NaN,0.5,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,0.5,NaN
id16701,NaN,1,NaN,1,0.333333333333333,1,1,NaN,0.5,NaN,0.333333333333333,0.5,NaN,0.428571428571429,NaN,NaN,NaN,NaN,NaN,NaN,0.5,NaN,NaN,0,NaN,NaN,NaN,NaN,0.285714285714286
id16703,NaN,NaN,NaN,NaN,0,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN
id17692,NaN,NaN,NaN,NaN,NaN,NaN,0.5,NaN,1,NaN,1,1,1,NaN,0.5,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,0.333333333333333
id5489,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,0,1,NaN,0.8125,1,0.777777777777778,NaN,0.894736842105263,1,0.6875,0.727272727272727,NaN,NaN,1,0.789473684210526,0.6,NaN,NaN
id5492,NaN,NaN,NaN,NaN,0.6,NaN,0.333333333333333,NaN,1,NaN,1,1,NaN,0.666666666666667,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,0.818181818181818
id5494,1,NaN,NaN,NaN,NaN,0.833333333333333,0.5,NaN,1,0,1,1,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,1,0.75,NaN,1,NaN,NaN,1
