Row,id10580,id10581,id10583,id15697,id5541,id5579,id5580,id5581,id5584,id5585,id5590,id5592,id5594,id5595,id5597,id5598,id5599,id5601,id5602,id5604,id5605,id5606,id5608,id5609,id5610,id5612,id5614,id5619,id5620,id5621,id5622
id10580,1,NaN,1,1,NaN,1,1,0,0.75,NaN,1,1,1,1,0,1,NaN,1,1,1,1,1,NaN,1,0,1,1,0.666666666666667,0,NaN,0.833333333333333
id10581,0.5,0.666666666666667,0.5,1,1,0,0.5,0,0.5,1,0.666666666666667,0.5,0,0.5,0.833333333333333,0.5,0.5,0.666666666666667,0,0.857142857142857,0.5,0.5,0.5,0,0.75,0.5,0.5,0,0.333333333333333,0.5,0
id10582,NaN,NaN,NaN,1,NaN,1,1,1,0,1,1,1,NaN,NaN,1,1,1,0,NaN,1,1,1,1,NaN,NaN,1,1,NaN,0,NaN,0
id10583,0.5,0.666666666666667,0.666666666666667,1,NaN,0.5,0.666666666666667,0.5,0.666666666666667,0.666666666666667,0.6,0.8,0,0.75,0.666666666666667,0.8,1,0.666666666666667,0.5,0.8,0.5,0.5,0.5,0.333333333333333,0.5,0.5,0.8,0,0.5,0,0.25
id10585,1,1,NaN,NaN,1,NaN,NaN,NaN,1,1,NaN,NaN,1,NaN,1,1,1,0,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1
id11402,0,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,1,1,NaN,0,NaN,0,1,0,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id12222,NaN,NaN,0,0.4,NaN,0.75,0.5,1,0.25,NaN,0.75,1,NaN,1,1,0.25,NaN,0.333333333333333,1,1,1,1,1,1,1,1,1,NaN,0.4,NaN,0.5
id14060,1,1,1,0.666666666666667,NaN,1,1,1,NaN,NaN,1,1,1,1,NaN,1,NaN,1,1,NaN,1,1,1,NaN,1,1,1,1,1,NaN,1
id14193,1,1,NaN,1,0,NaN,1,1,0.333333333333333,1,1,NaN,NaN,1,1,NaN,0.5,NaN,NaN,1,1,NaN,1,1,NaN,0,1,1,NaN,NaN,NaN
id14765,NaN,NaN,NaN,1,NaN,1,1,1,1,1,1,NaN,NaN,NaN,0.5,NaN,NaN,0.5,NaN,1,1,NaN,1,NaN,0,NaN,1,NaN,0,NaN,NaN
id15697,1,NaN,1,1,NaN,0.8,0.75,1,0.285714285714286,0.75,1,1,NaN,1,1,1,0.4,0,1,1,0.875,1,1,0.5,1,1,1,0,0.4,0.666666666666667,0.75
id16531,1,NaN,1,1,NaN,1,0,1,0,0.5,1,1,1,NaN,1,1,NaN,0,1,NaN,1,NaN,1,0,NaN,NaN,1,NaN,0,NaN,0.5
id16532,1,0.666666666666667,NaN,1,1,1,1,1,0.5,1,0.75,NaN,1,NaN,1,1,1,0.571428571428571,1,1,1,NaN,1,1,0.666666666666667,0.666666666666667,1,1,0.25,1,1
id16533,NaN,1,NaN,1,NaN,1,1,NaN,0.666666666666667,1,0.666666666666667,NaN,1,1,1,1,1,0,NaN,1,1,NaN,1,1,1,1,NaN,NaN,0,1,1
id16534,1,NaN,NaN,NaN,NaN,NaN,1,NaN,0,NaN,1,NaN,NaN,1,1,NaN,NaN,0,NaN,1,1,NaN,NaN,NaN,1,NaN,1,0,0.333333333333333,NaN,NaN
id16535,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,1,1,NaN,NaN,NaN,NaN,0,NaN,NaN,1,NaN,1,1,1,1,1,NaN,0,NaN,0
id16536,1,NaN,1,1,NaN,1,1,1,0.5,NaN,1,1,1,1,1,1,NaN,1,1,NaN,1,1,1,1,NaN,0.5,NaN,NaN,1,NaN,0.75
id16586,1,NaN,NaN,1,NaN,NaN,1,NaN,NaN,1,1,NaN,1,1,1,1,NaN,NaN,NaN,1,1,NaN,1,NaN,1,NaN,NaN,0,NaN,1,1
id5541,0.5,0.8,0,0,1,0.333333333333333,0.666666666666667,0,0.333333333333333,1,0.75,0.5,0.666666666666667,0.666666666666667,0.75,0,1,0.666666666666667,0.666666666666667,0.875,0.5,0.5,0.5,0.5,0.666666666666667,0.666666666666667,0.666666666666667,1,0.666666666666667,0.666666666666667,0.5
