Row,id10580,id10581,id10582,id10583,id10585,id11402,id12222,id14060,id14193,id14765,id15697,id16531,id16532,id16533,id16534,id16535,id16536,id16586,id5541,id5579,id5580,id5581,id5583,id5584,id5585,id5587,id5589,id5590,id5592,id5594,id5595,id5597,id5598,id5599,id5601,id5602,id5604,id5605,id5606,id5608,id5609,id5610,id5612,id5614,id5616,id5619,id5620,id5621,id5622,id5623,id5627
id10580,37,8,12,10,10,NaN,9,12,20,9,1,NaN,8,2,9,NaN,NaN,5,NaN,7,16,9,11,11,21,19,7,8,9,17,20,10,14,11,10,8,8,10,8,10,10,8,9,8,8,26,7,11,17,22,17
id10581,8,39,8,8,24,9,8,1,11,NaN,NaN,NaN,NaN,6,NaN,7,9,NaN,7,7,8,8,9,17,10,13,15,17,12,18,8,18,13,14,20,8,26,17,8,8,14,17,24,8,8,6,12,8,7,16,10
id10582,12,8,41,8,11,NaN,15,17,3,2,NaN,2,4,4,2,4,NaN,3,NaN,22,25,11,12,19,12,8,21,16,9,13,20,11,22,9,11,19,12,12,8,8,19,11,8,28,9,6,14,8,23,14,22
id10583,10,8,8,29,8,NaN,9,6,2,NaN,17,7,NaN,NaN,NaN,1,6,NaN,NaN,15,8,8,11,9,14,14,10,11,24,9,11,8,22,10,8,8,8,17,22,9,9,8,23,9,8,8,13,10,20,9,8
id10585,10,24,11,8,39,17,8,1,5,NaN,NaN,NaN,NaN,NaN,NaN,6,9,NaN,6,7,8,8,22,23,13,12,15,17,8,9,8,30,8,16,23,8,34,8,8,8,14,16,14,8,8,9,13,11,7,7,8
id11402,NaN,9,NaN,NaN,17,21,NaN,NaN,NaN,NaN,4,NaN,NaN,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,8,17,NaN,NaN,8,12,NaN,NaN,NaN,21,NaN,8,7,NaN,15,4,NaN,4,6,4,NaN,NaN,NaN,NaN,4,2,NaN,NaN,NaN
id12222,9,8,15,9,8,NaN,36,5,NaN,NaN,7,4,NaN,3,NaN,7,NaN,3,NaN,17,13,25,8,9,11,15,17,16,12,8,8,9,8,8,13,20,10,23,8,28,13,15,8,17,8,6,20,9,11,19,20
id14060,12,1,17,6,1,NaN,5,42,10,10,10,11,2,NaN,10,NaN,9,5,NaN,12,22,4,4,13,2,14,12,3,9,2,19,1,20,NaN,1,9,3,NaN,7,2,8,1,11,17,NaN,11,2,1,18,13,19
id14193,20,11,3,2,5,NaN,NaN,10,34,9,NaN,NaN,5,NaN,9,6,NaN,4,6,NaN,7,NaN,NaN,NaN,13,12,3,NaN,7,8,10,NaN,10,NaN,3,NaN,9,3,NaN,3,2,NaN,7,3,NaN,14,1,NaN,7,14,10
id14765,9,NaN,2,NaN,NaN,NaN,NaN,10,9,17,NaN,2,6,NaN,11,NaN,NaN,NaN,6,NaN,8,NaN,NaN,NaN,6,7,2,NaN,NaN,5,9,NaN,NaN,5,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN,14,2,6,NaN,7,8
id15697,1,NaN,NaN,17,NaN,4,7,10,NaN,NaN,47,8,NaN,NaN,NaN,NaN,8,3,NaN,20,9,9,12,13,12,17,4,15,20,NaN,6,10,19,12,7,6,NaN,29,18,20,NaN,NaN,22,NaN,NaN,2,17,9,15,7,9
id16531,NaN,NaN,2,7,NaN,NaN,4,11,NaN,2,8,16,NaN,NaN,2,5,9,7,NaN,NaN,2,NaN,NaN,NaN,4,5,7,NaN,14,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,7,5,5,NaN,9,7,NaN,NaN,2,NaN,12,NaN,NaN
id16532,8,NaN,4,NaN,NaN,NaN,NaN,2,5,6,NaN,NaN,15,2,NaN,NaN,NaN,5,7,NaN,NaN,1,NaN,NaN,12,NaN,NaN,NaN,1,12,1,NaN,6,6,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,8,NaN,7,7,1,NaN
id16533,2,6,4,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,2,13,NaN,5,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,11,1,6,1,NaN,NaN,NaN,6,NaN,NaN,11,NaN,NaN,NaN,6,6,NaN,NaN,2,8,NaN,2,9,NaN
id16534,9,NaN,2,NaN,NaN,NaN,NaN,10,9,11,NaN,2,NaN,NaN,11,NaN,NaN,NaN,NaN,NaN,8,NaN,NaN,NaN,NaN,7,2,NaN,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,9,2,NaN,NaN,7,8
id16535,NaN,7,4,1,6,NaN,7,NaN,6,NaN,NaN,5,NaN,5,NaN,17,NaN,4,7,NaN,NaN,NaN,NaN,1,6,5,5,5,5,NaN,NaN,NaN,NaN,NaN,2,NaN,7,5,NaN,5,5,NaN,7,5,NaN,NaN,4,NaN,5,2,NaN
id16536,NaN,9,NaN,6,9,9,NaN,9,NaN,NaN,8,9,NaN,NaN,NaN,NaN,18,3,NaN,NaN,NaN,NaN,NaN,8,NaN,5,8,NaN,9,NaN,NaN,9,8,6,NaN,NaN,7,NaN,7,NaN,6,NaN,9,NaN,NaN,NaN,NaN,NaN,7,NaN,NaN
id16586,5,NaN,3,NaN,NaN,NaN,3,5,4,NaN,3,7,5,NaN,NaN,4,3,12,NaN,NaN,NaN,NaN,NaN,NaN,8,2,4,NaN,7,5,NaN,NaN,8,NaN,NaN,NaN,NaN,NaN,2,4,4,NaN,3,4,NaN,NaN,NaN,NaN,10,NaN,NaN
id5541,NaN,7,NaN,NaN,6,NaN,NaN,NaN,6,6,NaN,NaN,7,NaN,NaN,7,NaN,NaN,14,NaN,NaN,NaN,NaN,NaN,9,5,NaN,NaN,NaN,6,NaN,NaN,NaN,6,8,NaN,7,NaN,NaN,NaN,NaN,NaN,7,6,NaN,6,NaN,7,NaN,NaN,NaN
id5579,7,7,22,15,7,NaN,17,12,NaN,NaN,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47,30,19,10,23,7,20,22,7,18,7,19,7,29,7,14,28,7,29,18,20,19,10,18,22,7,5,26,7,27,11,34
id5580,16,8,25,8,8,NaN,13,22,7,8,9,2,NaN,NaN,8,NaN,NaN,NaN,NaN,30,43,15,11,21,9,22,21,8,9,9,28,8,19,9,14,24,9,16,8,16,19,8,10,24,9,15,15,8,19,20,35
id5581,9,8,11,8,8,NaN,25,4,NaN,NaN,9,NaN,1,1,NaN,NaN,NaN,NaN,NaN,19,15,28,8,8,8,16,11,12,9,8,9,8,8,8,14,18,10,19,8,23,8,13,8,12,8,7,17,9,8,16,20
id5583,11,9,12,11,22,8,8,4,NaN,NaN,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,11,8,40,24,26,8,13,28,8,11,15,26,10,22,21,11,19,14,8,16,8,14,8,11,8,11,11,20,9,7,11
id5584,11,17,19,9,23,17,9,13,NaN,NaN,13,NaN,NaN,1,NaN,1,8,NaN,NaN,23,21,8,24,52,14,13,26,23,12,8,17,33,23,21,15,17,21,23,12,19,24,11,13,19,8,7,16,14,21,8,20
id5585,21,10,12,14,13,NaN,11,2,13,6,12,4,12,NaN,NaN,6,NaN,8,9,7,9,8,26,14,53,10,18,19,16,25,12,15,13,29,18,9,11,17,8,23,14,8,10,21,9,21,6,27,18,13,8
id5587,19,13,8,14,12,NaN,15,14,12,7,17,5,NaN,NaN,7,5,5,2,5,20,22,16,8,13,10,42,7,8,17,8,17,10,17,8,16,15,13,22,17,19,10,8,23,8,8,15,19,8,14,19,23
