Row,id10580,id10581,id10583,id15697,id5541,id5579,id5580,id5581,id5590,id5592,id5594,id5595,id5597,id5598,id5602,id5604,id5605,id5606,id5608,id5609,id5610,id5612,id5614,id5619,id5621
id10580,1,0.625,1,0.75,1,0.75,0.875,0.875,0.875,0.875,1,0.875,0.875,1,1,1,1,0.875,1,1,0.625,1,1,0.571428571428571,1
id10581,0.818181818181818,0.818181818181818,0.571428571428571,0.4,0.625,0.7,0.909090909090909,0.818181818181818,0.909090909090909,0.818181818181818,0.818181818181818,0.727272727272727,0.818181818181818,0.727272727272727,0.909090909090909,0.909090909090909,0.909090909090909,0.818181818181818,0.727272727272727,0.545454545454545,0.636363636363636,0.818181818181818,0.636363636363636,0.818181818181818,0.818181818181818
id10582,1,0.5,0.5,0.833333333333333,0.333333333333333,0.75,1,1,0.666666666666667,0.833333333333333,1,1,0.833333333333333,0.833333333333333,1,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.333333333333333,0.666666666666667,1,0.666666666666667,1,1
id10583,1,0.666666666666667,0.75,0.727272727272727,0.25,0.6,0.916666666666667,0.916666666666667,0.75,0.833333333333333,1,0.833333333333333,0.916666666666667,0.833333333333333,0.833333333333333,0.75,0.833333333333333,0.833333333333333,0.583333333333333,0.75,0.833333333333333,0.833333333333333,0.5,0.545454545454545,0.636363636363636
id10585,1,0.75,0,1,0.75,1,1,1,0.5,1,1,1,1,1,1,1,0.75,0.75,0.75,0.5,0.5,0.75,1,0.75,0.75
id11402,1,0.5,NaN,0.5,1,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.5,1,0.5,1,0.5,0.5,0.5,1,0.5,1,0.5
id12222,0.833333333333333,0.583333333333333,0.75,0.916666666666667,0.571428571428571,0.75,0.916666666666667,0.916666666666667,0.916666666666667,0.916666666666667,1,0.916666666666667,0.833333333333333,0.833333333333333,1,0.75,0.75,0.75,0.833333333333333,0.666666666666667,0.666666666666667,0.916666666666667,0.75,0.666666666666667,0.666666666666667
id14193,1,0.666666666666667,1,0.833333333333333,0.6,0.833333333333333,1,0.666666666666667,0.833333333333333,0.833333333333333,1,1,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.666666666666667,1,0.833333333333333,0.833333333333333,1
id14765,1,0.6,0,1,0.4,0.8,1,1,0.8,1,1,0.8,0.6,0.8,0.8,0.8,1,0.6,1,0.8,0.6,0.8,0.6,0.6,0.8
id15697,0.8125,0.625,0.777777777777778,0.75,0.833333333333333,0.785714285714286,1,0.875,0.8125,0.8125,0.9375,0.75,0.75,1,1,0.9375,0.875,0.6875,0.875,0.75,0.75,0.8125,0.6875,0.642857142857143,0.857142857142857
id16531,1,0.5,1,0.75,0.75,0.5,1,0.75,0.5,0.75,1,0.75,0.75,1,1,0.5,0.75,0.75,0.5,1,0.75,1,0.75,0.5,0.75
id16532,1,0.583333333333333,0.6,0.75,0.75,0.833333333333333,1,0.818181818181818,0.75,0.75,1,0.833333333333333,0.666666666666667,0.833333333333333,1,0.833333333333333,0.833333333333333,0.75,0.75,0.75,0.666666666666667,1,0.75,0.75,0.916666666666667
id16533,0.75,0,0,0.5,0.5,1,1,0.75,1,0.75,0.75,0.5,0.25,0.75,1,0.75,0.75,0.5,1,0.25,0.25,0.75,1,0.75,0.5
id16534,0.857142857142857,0.714285714285714,0.2,1,0.571428571428571,0.714285714285714,1,0.857142857142857,0.714285714285714,0.857142857142857,1,0.857142857142857,0.714285714285714,0.571428571428571,1,0.571428571428571,0.714285714285714,0.714285714285714,0.571428571428571,0.714285714285714,0.571428571428571,0.857142857142857,0.285714285714286,0.714285714285714,0.857142857142857
