master_unique_legislators,sponsor_names,coverage,results
5541,Mark Messmer,0.794117647058823,-0.360064891840234
5579,Howard Kenley,0.948529411764706,-1.5691182077848
5580,Ed Charbonneau,1,-2.358949508528
5581,Travis Holdman,0.963235294117647,-0.589793492868523
5583,Joseph Zakas,0.992647058823529,-2.1261046371708
5584,Greg Taylor,0.985294117647059,-1.13047545634735
5585,James Arnold,1,-1.22444133091795
5587,Frank Mrvan,0.970588235294118,-4.69228083511695
5589,Karen Tallian,0.955882352941177,0.0944411111883263
5590,Randall Head,1,-2.03175390407726
5592,Dennis Kruse,1,-1.26163086448641
5594,James Merritt,1,-2.66153602033052
5595,Patricia Miller,1,-3.27175772196909
5597,Michael Young,1,-1.88409064152268
5598,Carlin Yoder,1,-1.47576456710857
5599,Timothy Lanane,0.992647058823529,-1.48444668189351
5601,Lonnie Randolph,0.889705882352941,0.0263165626534702
5602,Brandt Hershman,0.992647058823529,-2.16226786941744
5604,Brent Steele,1,-2.02043917159187
5605,James Buck,1,-2.56013970323259
5606,Scott Schneider,0.992647058823529,-1.02606958181946
5608,Greg Walker,1,-1.17885492745968
5609,Brent Waltz,1,-7.59361508171973
5610,Michael Delph,0.985294117647059,-5.65907960385973
5612,Jean Leising,1,-6.61048389241483
5614,Philip Boots,1,-6.70354514629451
5616,David Long,0.985294117647059,-1.48819514197073
5619,Vaneta Becker,0.970588235294118,-1.38744657298174
5620,John Broden,0.970588235294118,0.546994714925701
5621,Ronnie Alting,0.977941176470588,-1.18801479599361
5622,Earline Rogers,0.941176470588235,-2.7365762016196
5623,Jean Breaux,1,-1.42464278226636
5627,Ryan Mishler,0.992647058823529,-9.00514799853394
10580,Ronald Grooms,1,-7.88289420149865
10581,James Tomes,1,-1.36630288462359
10582,Doug Eckerty,0.963235294117647,-1.60836485134053
10583,James Banks,0.463235294117647,-1.75477469938539
10585,Susan Glick,1,-0.811361751123289
11402,Rodric Bray,0.808823529411765,1
12222,James Smith,0.992647058823529,-1.64986090510458
14060,Mark Stoops,0.933823529411765,-2.92313818660737
14193,Michael Crider,0.941176470588235,0.0636190870920238
14765,Rick Niemeyer,0.808823529411765,-0.0231227224906386
15697,Pete Miller,0.941176470588235,0.881883756314812
16531,Eric Bassler,0.794117647058823,-2.87149767573081
16532,Jon Ford,0.808823529411765,-6.96442218088858
16533,Erin Houchin,0.808823529411765,-0.911925025573875
16534,Elizabeth Brown,0.808823529411765,-6.90504278570766
16535,Clyde Perfect,0.808823529411765,-7.05419710087318
16536,Jeff Raatz,0.808823529411765,0.735381826720965
