Row,consistency,opportunity,percentage
id11084,0,0,NaN
id11085,0,0,NaN
id11086,0,0,NaN
id11089,0,0,NaN
id1118,0,0,NaN
id1121,0,0,NaN
id1122,0,0,NaN
id1123,0,0,NaN
id1125,0,0,NaN
id1126,0,0,NaN
id1127,0,0,NaN
id1129,0,0,NaN
id1130,0,0,NaN
id1131,0,0,NaN
id1133,0,0,NaN
id1134,0,0,NaN
id1136,0,0,NaN
id1138,0,0,NaN
id1139,0,0,NaN
id1140,0,0,NaN
id1141,0,0,NaN
id1146,0,0,NaN
id1147,0,0,NaN
id1148,0,0,NaN
id1150,0,0,NaN
id1151,0,0,NaN
id1152,0,0,NaN
id1153,0,0,NaN
id1159,0,0,NaN
id1160,0,0,NaN
id1162,0,0,NaN
id1163,0,0,NaN
id1164,0,0,NaN
id1165,0,0,NaN
id1166,0,0,NaN
id1168,0,0,NaN
id1169,0,0,NaN
id1170,0,0,NaN
id1171,0,0,NaN
id1172,0,0,NaN
id1174,0,0,NaN
id1175,0,0,NaN
id1177,0,0,NaN
id1179,0,0,NaN
id1180,0,0,NaN
id1181,0,0,NaN
id1182,0,0,NaN
id1185,0,0,NaN
id1186,0,0,NaN
id1187,0,0,NaN
id1188,0,0,NaN
id1189,0,0,NaN
id1191,0,0,NaN
id1192,0,0,NaN
id1194,0,0,NaN
id1196,0,0,NaN
id1199,0,0,NaN
id1201,0,0,NaN
id1202,0,0,NaN
id12028,0,0,NaN
id1203,0,0,NaN
id1204,0,0,NaN
id1206,0,0,NaN
id1207,0,0,NaN
id1208,0,0,NaN
id1209,0,0,NaN
id1212,0,0,NaN
id1213,0,0,NaN
id1214,0,0,NaN
id1215,0,0,NaN
id13784,0,0,NaN
id13885,0,0,NaN
id14421,0,0,NaN
id14422,0,0,NaN
id14423,0,0,NaN
id14425,0,0,NaN
id14426,0,0,NaN
id14427,0,0,NaN
id14428,0,0,NaN
id14429,0,0,NaN
id14430,0,0,NaN
id14431,0,0,NaN
id14432,0,0,NaN
id16049,0,0,NaN
id16110,0,0,NaN
id16529,0,0,NaN
id16616,0,0,NaN
id16640,0,0,NaN
id16665,0,0,NaN
id16666,0,0,NaN
id16667,0,0,NaN
id16668,0,0,NaN
id16669,0,0,NaN
id16670,0,0,NaN
id16671,0,0,NaN
id17921,0,0,NaN
id17922,0,0,NaN
id17926,0,0,NaN
id17927,0,0,NaN
id2373,0,0,NaN
