Row,consistency,opportunity,percentage
id10318,0,0,NaN
id10321,0,0,NaN
id10325,0,0,NaN
id10326,0,0,NaN
id10332,0,0,NaN
id10334,0,0,NaN
id10335,0,0,NaN
id10338,0,0,NaN
id10339,0,0,NaN
id10341,0,0,NaN
id10343,0,0,NaN
id10347,0,0,NaN
id10349,0,0,NaN
id10350,0,0,NaN
id10351,0,0,NaN
id10352,0,0,NaN
id10353,0,0,NaN
id10356,0,0,NaN
id10363,0,0,NaN
id10366,0,0,NaN
id10367,0,0,NaN
id10370,0,0,NaN
id10371,0,0,NaN
id10372,0,0,NaN
id10379,0,0,NaN
id10381,0,0,NaN
id12720,0,0,NaN
id13221,0,0,NaN
id13876,0,0,NaN
id13884,0,0,NaN
id14714,0,0,NaN
id14716,0,0,NaN
id14717,0,0,NaN
id14718,0,0,NaN
id14719,0,0,NaN
id14720,0,0,NaN
id14722,0,0,NaN
id14725,0,0,NaN
id14726,0,0,NaN
id14729,0,0,NaN
id14730,0,0,NaN
id14731,0,0,NaN
id14732,0,0,NaN
id15041,0,0,NaN
id15045,0,0,NaN
id15046,0,0,NaN
id15047,0,0,NaN
id15270,0,0,NaN
id15272,0,0,NaN
id15273,0,0,NaN
id15275,0,0,NaN
id15278,0,0,NaN
id15391,0,0,NaN
id15392,0,0,NaN
id15402,0,0,NaN
id15403,0,0,NaN
id15404,0,0,NaN
id15406,0,0,NaN
id15473,0,0,NaN
id15702,0,0,NaN
id15703,0,0,NaN
id15729,0,0,NaN
id15744,0,0,NaN
id15747,0,0,NaN
id15748,0,0,NaN
id15773,0,0,NaN
id15775,0,0,NaN
id15889,0,0,NaN
id16615,0,0,NaN
id16631,0,0,NaN
id16632,0,0,NaN
id16633,0,0,NaN
id16634,0,0,NaN
id16635,0,0,NaN
id16636,0,0,NaN
id16637,0,0,NaN
id16688,0,0,NaN
id16690,0,0,NaN
id16697,0,0,NaN
id16779,0,0,NaN
id16780,0,0,NaN
id16781,0,0,NaN
id16782,0,0,NaN
id16783,0,0,NaN
id16784,0,0,NaN
id16785,0,0,NaN
id16786,0,0,NaN
id16853,0,0,NaN
id16877,0,0,NaN
id17105,0,0,NaN
id17106,0,0,NaN
id17107,0,0,NaN
id17108,0,0,NaN
id17214,0,0,NaN
id17215,0,0,NaN
id17216,0,0,NaN
id17217,0,0,NaN
id17269,0,0,NaN
id17270,0,0,NaN
id17271,0,0,NaN
id17272,0,0,NaN
id17273,0,0,NaN
id17274,0,0,NaN
id17275,0,0,NaN
id17330,0,0,NaN
id17331,0,0,NaN
id17332,0,0,NaN
id17333,0,0,NaN
id17334,0,0,NaN
id17335,0,0,NaN
id17336,0,0,NaN
id17337,0,0,NaN
id17338,0,0,NaN
id17339,0,0,NaN
id17340,0,0,NaN
id17341,0,0,NaN
id17441,0,0,NaN
id17452,0,0,NaN
id17506,0,0,NaN
id17531,0,0,NaN
id17532,0,0,NaN
id17533,0,0,NaN
id17564,0,0,NaN
id17583,0,0,NaN
id17584,0,0,NaN
id17585,0,0,NaN
id17667,0,0,NaN
id17788,0,0,NaN
id17789,0,0,NaN
id8744,0,0,NaN
id8762,0,0,NaN
id8773,0,0,NaN
id8780,0,0,NaN
id8784,0,0,NaN
id8786,0,0,NaN
id8793,0,0,NaN
id8797,0,0,NaN
id8819,0,0,NaN
id8823,0,0,NaN
id8832,0,0,NaN
id8834,0,0,NaN
id8844,0,0,NaN
id8854,0,0,NaN
id8855,0,0,NaN
id8864,0,0,NaN
id8870,0,0,NaN
id8871,0,0,NaN
id8874,0,0,NaN
id8880,0,0,NaN
id8894,0,0,NaN
id8895,0,0,NaN
id8896,0,0,NaN
id8900,0,0,NaN
id8906,0,0,NaN
id8922,0,0,NaN
id8926,0,0,NaN
