Row,id10388,id10390,id10391,id10393,id10396,id10397,id10399,id10402,id10406,id10411,id10412,id10422,id10876,id10878,id10880,id10881,id10883,id11479,id11953,id12051,id12099,id12172,id12245,id14073,id14074,id14075,id14172,id14173,id14174,id14175,id14251,id14252,id14256,id14257,id14258,id14325,id14329,id14330,id14331,id14333,id14334,id14335,id14336,id14337,id14340,id14343,id14344,id14345,id14346,id14347,id14349,id14350,id14351,id16313,id16314,id16315,id16318,id16319,id16340,id16341,id16342,id16343,id16344,id16345,id16353,id16354,id16355,id16356,id16361,id16362,id16366,id16367,id16375,id16445,id16561,id16562,id16563,id16654,id16655,id16656,id16657,id16658,id16659,id16660,id16661,id16662,id16663,id16664,id7860,id7901,id7915,id7918,id7921,id7935,id7938,id7940,id7945,id7946,id7952,id7981
id10388,1145,1083,1145,1113,1125,1144,1129,1145,1092,1145,1114,380,1143,1123,1144,1132,804,1124,1136,1139,1145,1144,1136,725,730,730,720,726,717,728,727,693,728,730,716,728,714,718,730,683,727,718,730,730,729,715,729,730,722,729,729,719,721,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,1144,1133,1141,1145,1145,1143,1110,1141,1104,1144,394,394
id10390,1083,1083,1083,1051,1063,1082,1067,1083,1037,1083,1052,380,1081,1062,1082,1070,743,1062,1074,1077,1083,1083,1074,724,729,729,719,725,716,727,726,692,727,729,716,727,713,717,729,682,726,717,729,729,728,714,728,729,721,728,728,718,720,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,1082,1074,1080,1083,1083,1082,1048,1079,1042,1082,394,394
id10391,1145,1083,1145,1113,1125,1144,1129,1145,1092,1145,1114,380,1143,1123,1144,1132,804,1124,1136,1139,1145,1144,1136,725,730,730,720,726,717,728,727,693,728,730,716,728,714,718,730,683,727,718,730,730,729,715,729,730,722,729,729,719,721,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,1144,1133,1141,1145,1145,1143,1110,1141,1104,1144,394,394
id10393,1113,1051,1113,1113,1093,1112,1097,1113,1060,1113,1082,369,1112,1091,1112,1100,790,1092,1104,1107,1113,1112,1104,696,701,701,691,697,688,699,698,664,699,701,687,699,685,690,701,654,698,689,701,701,700,686,700,701,693,700,700,690,692,383,380,374,382,379,383,383,383,383,377,383,380,379,383,378,377,377,383,382,383,380,383,383,383,349,376,377,383,383,382,346,381,383,382,383,1112,1101,1109,1113,1113,1111,1079,1109,1073,1112,383,383
id10396,1125,1063,1125,1093,1125,1124,1109,1125,1072,1125,1094,361,1123,1103,1124,1112,785,1104,1116,1119,1125,1124,1116,705,710,710,700,706,697,708,707,673,708,710,696,708,694,698,710,663,707,699,710,710,709,695,709,710,702,709,709,699,701,375,372,366,374,371,375,375,375,375,369,375,372,371,375,370,369,369,375,373,375,372,375,375,375,341,368,369,375,375,374,338,373,375,374,375,1124,1113,1121,1125,1125,1123,1090,1121,1084,1124,375,375
id10397,1144,1082,1144,1112,1124,1144,1128,1144,1091,1144,1113,380,1142,1122,1143,1131,804,1123,1135,1138,1144,1143,1135,724,729,729,719,725,716,727,726,692,727,729,715,727,713,717,729,682,726,717,729,729,728,714,728,729,721,728,728,718,720,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,1143,1132,1140,1144,1144,1142,1109,1140,1103,1143,394,394
id10399,1129,1067,1129,1097,1109,1128,1129,1129,1076,1129,1098,380,1127,1107,1128,1117,797,1108,1120,1123,1129,1128,1120,716,721,721,711,717,708,719,718,684,719,721,707,719,705,709,721,674,718,709,721,721,720,711,720,721,713,720,720,710,712,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,1128,1117,1125,1129,1129,1127,1094,1125,1088,1128,394,394
id10402,1145,1083,1145,1113,1125,1144,1129,1145,1092,1145,1114,380,1143,1123,1144,1132,804,1124,1136,1139,1145,1144,1136,725,730,730,720,726,717,728,727,693,728,730,716,728,714,718,730,683,727,718,730,730,729,715,729,730,722,729,729,719,721,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,1144,1133,1141,1145,1145,1143,1110,1141,1104,1144,394,394
id10406,1092,1037,1092,1060,1072,1091,1076,1092,1092,1092,1061,353,1090,1070,1091,1081,766,1071,1083,1086,1092,1091,1083,683,688,688,678,684,675,686,685,672,686,688,674,686,673,676,688,662,685,676,688,688,687,673,687,688,680,687,687,677,679,367,364,358,366,363,367,367,367,367,361,367,364,363,367,362,361,361,367,365,367,364,367,367,367,333,361,361,367,367,366,351,365,367,366,367,1091,1080,1088,1092,1092,1090,1057,1088,1053,1091,367,367
id10411,1145,1083,1145,1113,1125,1144,1129,1145,1092,1145,1114,380,1143,1123,1144,1132,804,1124,1136,1139,1145,1144,1136,725,730,730,720,726,717,728,727,693,728,730,716,728,714,718,730,683,727,718,730,730,729,715,729,730,722,729,729,719,721,394,391,385,393,390,394,394,394,394,388,394,391,390,394,389,388,388,394,392,394,391,394,394,394,360,387,388,394,394,393,357,392,394,393,394,1144,1133,1141,1145,1145,1143,1110,1141,1104,1144,394,394
