Row,id10398,id10403,id10409,id10417,id10421,id10877,id11626,id11962,id12208,id14077,id14262,id14348,id14354,id16272,id16273,id16672,id16673,id16674,id7853,id7854,id7855,id7872,id7873,id7878,id7884,id7885,id7887,id7893,id7896,id7912,id7913,id7917,id7923,id7927,id7933,id7942,id7943,id7944,id7949,id7968,id7979,id7984,id7987,id7990,id7991,id7992,id7994,id7997,id7998,id8000
id10398,286,286,285,286,286,286,280,266,286,283,286,281,269,277,281,286,286,278,286,286,284,286,278,281,278,272,277,286,286,285,284,279,272,286,281,276,286,286,286,286,282,286,281,286,283,274,274,286,286,286
id10403,286,286,285,286,286,286,280,266,286,283,286,281,269,277,281,286,286,278,286,286,284,286,278,281,278,272,277,286,286,285,284,279,272,286,281,276,286,286,286,286,282,286,281,286,283,274,274,286,286,286
id10409,285,285,285,285,285,285,279,266,285,282,285,280,268,276,280,285,285,277,285,285,283,285,277,280,277,271,276,285,285,285,283,278,271,285,280,275,285,285,285,285,281,285,280,285,282,273,273,285,285,285
id10417,286,286,285,942,942,286,931,921,286,575,570,281,561,277,281,286,286,278,578,286,931,286,923,573,278,272,569,578,286,575,576,560,928,576,281,276,576,286,286,942,926,928,937,942,932,930,924,942,939,941
id10421,286,286,285,942,943,286,932,922,286,575,570,281,561,277,281,286,286,278,578,286,932,286,924,573,278,272,569,578,286,575,576,560,929,576,281,276,576,286,286,943,927,929,938,943,933,931,925,943,940,942
id10877,286,286,285,286,286,286,280,266,286,283,286,281,269,277,281,286,286,278,286,286,284,286,278,281,278,272,277,286,286,285,284,279,272,286,281,276,286,286,286,286,282,286,281,286,283,274,274,286,286,286
id11626,280,280,279,931,932,280,932,911,280,568,563,275,554,271,275,280,280,272,571,280,921,280,913,566,272,266,562,571,280,569,569,553,918,569,275,276,569,280,280,932,916,918,927,932,922,920,914,932,929,931
id11962,266,266,266,921,922,266,911,922,266,555,550,261,541,257,261,266,266,258,558,266,911,266,904,558,258,252,549,558,266,556,556,540,908,556,261,256,556,266,266,922,906,908,917,922,912,910,904,922,919,921
id12208,286,286,285,286,286,286,280,266,286,283,286,281,269,277,281,286,286,278,286,286,284,286,278,281,278,272,277,286,286,285,284,279,272,286,281,276,286,286,286,286,282,286,281,286,283,274,274,286,286,286
id14077,283,283,282,575,575,283,568,555,283,575,567,278,558,274,278,283,283,278,575,283,572,283,558,570,275,272,566,575,283,572,573,560,564,573,278,273,573,283,283,575,565,561,570,575,566,563,557,575,575,575
id14262,286,286,285,570,570,286,563,550,286,567,570,281,553,277,281,286,286,278,570,286,567,286,553,565,278,272,561,570,286,567,568,552,556,568,281,276,568,286,286,570,562,556,565,570,561,558,552,570,570,570
id14348,281,281,280,281,281,281,275,261,281,278,281,281,264,272,276,281,281,273,281,281,279,281,273,276,273,267,272,281,281,280,279,274,267,281,280,271,281,281,281,281,277,281,276,281,278,273,269,281,281,281
id14354,269,269,268,561,561,269,554,541,269,558,553,264,561,260,264,269,269,261,561,269,558,269,544,556,261,255,552,561,269,558,559,543,547,559,264,263,559,269,269,561,551,547,560,561,552,549,543,561,561,561
id16272,277,277,276,277,277,277,271,257,277,274,277,272,260,277,272,277,277,269,277,277,275,277,269,272,269,263,268,277,277,276,275,270,263,277,272,267,277,277,277,277,273,277,272,277,274,265,266,277,277,277
id16273,281,281,280,281,281,281,275,261,281,278,281,276,264,272,281,281,281,277,281,281,279,281,273,276,273,267,272,281,281,280,279,274,267,281,276,271,281,281,281,281,277,281,276,281,278,273,273,281,281,281
id16672,286,286,285,286,286,286,280,266,286,283,286,281,269,277,281,286,286,278,286,286,284,286,278,281,278,272,277,286,286,285,284,279,272,286,281,276,286,286,286,286,282,286,281,286,283,274,274,286,286,286
id16673,286,286,285,286,286,286,280,266,286,283,286,281,269,277,281,286,286,278,286,286,284,286,278,281,278,272,277,286,286,285,284,279,272,286,281,276,286,286,286,286,282,286,281,286,283,274,274,286,286,286
id16674,278,278,277,278,278,278,272,258,278,278,278,273,261,269,277,278,278,278,278,278,276,278,270,273,270,267,269,278,278,277,276,275,267,278,273,268,278,278,278,278,274,278,274,278,275,270,270,278,278,278
id7853,286,286,285,578,578,286,571,558,286,575,570,281,561,277,281,286,286,278,578,286,575,286,561,573,278,272,569,578,286,575,576,560,564,576,281,276,576,286,286,578,568,564,573,578,569,566,560,578,578,578
id7854,286,286,285,286,286,286,280,266,286,283,286,281,269,277,281,286,286,278,286,286,284,286,278,281,278,272,277,286,286,285,284,279,272,286,281,276,286,286,286,286,282,286,281,286,283,274,274,286,286,286
id7855,284,284,283,931,932,284,921,911,284,572,567,279,558,275,279,284,284,276,575,284,932,284,914,570,276,270,566,575,284,572,573,557,919,573,279,274,574,284,284,932,917,918,927,932,922,920,914,932,929,931
