Row,id10421,id7853,id7872,id7893,id7917,id7927,id7968,id7984,id7990,id7994
id10421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id14348,NaN,NaN,NaN,1,NaN,1,1,NaN,NaN,NaN
id16272,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id7853,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN
id7872,NaN,NaN,1,1,NaN,1,1,NaN,NaN,NaN
id7885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id7887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id7893,NaN,NaN,1,1,NaN,1,1,NaN,NaN,NaN
id7917,NaN,NaN,1,1,NaN,1,1,NaN,NaN,NaN
id7927,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN
id7968,NaN,NaN,NaN,1,NaN,1,1,NaN,NaN,1
id7984,NaN,1,NaN,NaN,1,NaN,NaN,1,1,1
id7990,NaN,NaN,NaN,NaN,1,NaN,0,0,1,NaN
id7994,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
