Row,consistency,opportunity,percentage
id11109,0,0,NaN
id11114,0,0,NaN
id11115,0,0,NaN
id11116,0,0,NaN
id11237,0,0,NaN
id11331,0,0,NaN
id11604,0,0,NaN
id1257,0,0,NaN
id1269,0,0,NaN
id1298,0,0,NaN
id1306,0,0,NaN
id1331,0,0,NaN
id1354,0,0,NaN
id1360,0,0,NaN
id1402,0,0,NaN
id1405,0,0,NaN
id1406,0,0,NaN
id1407,0,0,NaN
id1408,0,0,NaN
id1409,0,0,NaN
id1412,0,0,NaN
id1413,0,0,NaN
id1416,0,0,NaN
id1417,0,0,NaN
id1418,0,0,NaN
id1419,0,0,NaN
id14220,0,0,NaN
id1423,0,0,NaN
id1424,0,0,NaN
id1426,0,0,NaN
id1427,0,0,NaN
id1428,0,0,NaN
id1430,0,0,NaN
id1431,0,0,NaN
id1432,0,0,NaN
id1436,0,0,NaN
id1438,0,0,NaN
id1442,0,0,NaN
id1443,0,0,NaN
id1444,0,0,NaN
id1445,0,0,NaN
id1447,0,0,NaN
id1448,0,0,NaN
id1450,0,0,NaN
id1451,0,0,NaN
id1452,0,0,NaN
id1454,0,0,NaN
id1456,0,0,NaN
id1457,0,0,NaN
id14579,0,0,NaN
id1459,0,0,NaN
id1462,0,0,NaN
id14666,0,0,NaN
id14669,0,0,NaN
id1482,0,0,NaN
id1484,0,0,NaN
id16566,0,0,NaN
id16618,0,0,NaN
id16653,0,0,NaN
id16675,0,0,NaN
id16691,0,0,NaN
id16692,0,0,NaN
id16693,0,0,NaN
id16694,0,0,NaN
id16695,0,0,NaN
id17007,0,0,NaN
id17552,0,0,NaN
id17725,0,0,NaN
