Row,id10994,id10995,id10996,id10997,id10998,id10999,id11003,id11006,id11547,id11552,id11942,id11945,id11949,id12119,id12655,id13161,id13186,id13312,id13313,id13528,id13948,id13950,id13952,id14651,id14653,id14654,id14656,id14657,id14658,id14660,id14661,id16311,id16966,id16967,id16974,id16975,id16976,id16978,id16982,id16984,id16985,id16986,id16987,id16989,id16990,id16991,id16992,id16993,id17718,id17944,id524,id589,id612,id634,id636,id849,id854,id857,id859,id861,id864,id866,id870
id10994,1,NaN,NaN,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN
id10995,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
id10996,NaN,NaN,1,1,NaN,NaN,1,NaN,1,1,NaN,NaN,1,1,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,1,NaN,1,NaN,NaN,1,1,NaN,NaN,NaN,0,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN
id10997,NaN,NaN,1,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,1,1,NaN,NaN,NaN,0,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN
id10998,1,NaN,NaN,NaN,1,1,1,NaN,NaN,1,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,1,1,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,1,1,NaN,1,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN
id10999,1,NaN,NaN,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,0.5,1,0.666666666666667,NaN,NaN,1,NaN,NaN,NaN,NaN,0.333333333333333,NaN,NaN,0.666666666666667,1,1,0.666666666666667,1,1,0,1,0.333333333333333,NaN,NaN,NaN,NaN,1,1,1,0.666666666666667,0.75,NaN,1,0.666666666666667,1,NaN,NaN,NaN,0.666666666666667,NaN
id11003,1,NaN,1,NaN,1,1,1,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,1,1,1,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN
id11006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,1,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,NaN,NaN
id11547,NaN,NaN,1,1,NaN,NaN,NaN,NaN,1,1,1,NaN,1,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,1,1,1,NaN,NaN,NaN,0,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN
id11552,NaN,NaN,1,NaN,1,NaN,1,NaN,1,1,1,NaN,1,NaN,1,1,1,NaN,1,1,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,1,1,1,1,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN
