Row,id11296,id11540,id11948,id12034,id12036,id12066,id13503,id13938,id516,id525,id531,id549,id560,id563,id565,id578,id581,id591,id599,id605,id616,id620,id633,id637,id847,id850,id855,id862,id863
id11296,80,73,60,79,80,80,59,51,80,79,71,36,80,78,80,76,77,74,36,78,77,80,80,79,80,63,63,78,78
id11540,73,76,57,75,73,76,56,48,75,75,67,33,76,74,76,75,73,71,33,74,73,76,76,75,76,60,60,74,74
id11948,60,57,63,63,60,63,62,54,62,63,63,39,63,61,63,59,60,60,39,61,61,63,63,63,63,63,63,61,61
id12034,79,75,63,82,79,82,62,54,81,81,74,39,82,80,82,78,79,77,39,80,79,82,82,81,82,66,66,80,80
id12036,80,73,60,79,80,80,59,51,80,79,71,36,80,78,80,76,77,74,36,78,77,80,80,79,80,63,63,78,78
id12066,80,76,63,82,80,83,62,54,82,82,74,39,83,81,83,79,80,77,39,81,80,83,83,82,83,66,66,81,81
id13503,59,56,62,62,59,62,62,53,61,62,62,39,62,60,62,58,60,59,39,60,60,62,62,62,62,62,62,60,60
id13938,51,48,54,54,51,54,53,54,53,54,54,37,54,52,54,51,51,51,37,52,52,54,54,54,54,54,54,54,52
id516,80,75,62,81,80,82,61,53,82,81,73,38,82,80,82,78,79,76,38,80,79,82,82,81,82,65,65,80,80
id525,79,75,63,81,79,82,62,54,81,82,74,39,82,80,82,78,79,76,39,80,79,82,82,81,82,66,66,80,80
id531,71,67,63,74,71,74,62,54,73,74,74,39,74,72,74,70,71,69,39,72,71,74,74,73,74,66,66,72,72
id549,36,33,39,39,36,39,39,37,38,39,39,39,39,38,39,36,38,37,39,37,37,39,39,39,39,39,39,37,37
id560,80,76,63,82,80,83,62,54,82,82,74,39,83,81,83,79,80,77,39,81,80,83,83,82,83,66,66,81,81
id563,78,74,61,80,78,81,60,52,80,80,72,38,81,105,102,77,102,75,38,102,98,105,105,104,104,64,64,79,79
id565,80,76,63,82,80,83,62,54,82,82,74,39,83,102,104,79,101,77,39,101,97,104,104,103,103,66,66,81,81
id578,76,75,59,78,76,79,58,51,78,78,70,36,79,77,79,79,76,73,36,77,76,79,79,78,79,62,62,77,77
id581,77,73,60,79,77,80,60,51,79,79,71,38,80,102,101,76,104,74,38,101,97,104,104,103,103,63,63,78,78
id591,74,71,60,77,74,77,59,51,76,76,69,37,77,75,77,73,74,77,37,75,74,77,77,76,77,62,62,75,75
id599,36,33,39,39,36,39,39,37,38,39,39,39,39,38,39,36,38,37,39,37,37,39,39,39,39,39,39,37,37
id605,78,74,61,80,78,81,60,52,80,80,72,37,81,102,101,77,101,75,37,104,97,104,104,103,103,64,64,79,80
id616,77,73,61,79,77,80,60,52,79,79,71,37,80,98,97,76,97,74,37,97,100,100,100,99,99,63,63,78,78
id620,80,76,63,82,80,83,62,54,82,82,74,39,83,105,104,79,104,77,39,104,100,107,107,106,106,66,66,81,81
id633,80,76,63,82,80,83,62,54,82,82,74,39,83,105,104,79,104,77,39,104,100,107,107,106,106,66,66,81,81
id637,79,75,63,81,79,82,62,54,81,81,73,39,82,104,103,78,103,76,39,103,99,106,106,106,105,65,65,80,80
id847,80,76,63,82,80,83,62,54,82,82,74,39,83,104,103,79,103,77,39,103,99,106,106,105,106,66,66,81,81
id850,63,60,63,66,63,66,62,54,65,66,66,39,66,64,66,62,63,62,39,64,63,66,66,65,66,66,66,64,64
id855,63,60,63,66,63,66,62,54,65,66,66,39,66,64,66,62,63,62,39,64,63,66,66,65,66,66,66,64,64
id862,78,74,61,80,78,81,60,54,80,80,72,37,81,79,81,77,78,75,37,79,78,81,81,80,81,64,64,81,79
id863,78,74,61,80,78,81,60,52,80,80,72,37,81,79,81,77,78,75,37,80,78,81,81,80,81,64,64,79,81
