Row,id10994,id10995,id10996,id10997,id10998,id10999,id11003,id11005,id11006,id11544,id11547,id11548,id11549,id11550,id11552,id11942,id11943,id11944,id11945,id11947,id11949,id11951,id12119,id12655,id13161,id13186,id13312,id13313,id13527,id13528,id13835,id13948,id13950,id13952,id13964,id16276,id2378,id551,id589,id592,id612,id621,id636,id849,id854,id857,id859,id861,id864,id866,id869,id870
id10994,55,51,55,55,55,55,53,55,55,50,51,55,54,49,54,50,55,54,53,55,55,55,54,53,40,32,32,30,28,28,25,20,16,20,14,55,55,55,55,48,55,52,55,55,50,55,52,55,54,55,54,55
id10995,51,56,56,56,56,56,54,56,56,51,52,56,55,52,55,51,56,55,54,56,56,56,55,54,45,37,37,35,33,33,29,25,21,25,19,56,56,56,56,49,56,54,56,56,51,56,55,56,55,56,55,55
id10996,55,56,60,60,60,60,58,60,60,55,56,60,59,54,59,55,60,59,58,60,60,60,59,58,45,37,37,35,33,33,29,25,21,25,19,60,60,60,60,53,60,57,60,60,55,60,57,60,59,60,59,59
id10997,55,56,60,60,60,60,58,60,60,55,56,60,59,54,59,55,60,59,58,60,60,60,59,58,45,37,37,35,33,33,29,25,21,25,19,60,60,60,60,53,60,57,60,60,55,60,57,60,59,60,59,59
id10998,55,56,60,60,60,60,58,60,60,55,56,60,59,54,59,55,60,59,58,60,60,60,59,58,45,37,37,35,33,33,29,25,21,25,19,60,60,60,60,53,60,57,60,60,55,60,57,60,59,60,59,59
id10999,55,56,60,60,60,60,58,60,60,55,56,60,59,54,59,55,60,59,58,60,60,60,59,58,45,37,37,35,33,33,29,25,21,25,19,60,60,60,60,53,60,57,60,60,55,60,57,60,59,60,59,59
id11003,53,54,58,58,58,58,58,58,58,53,54,58,57,52,57,53,58,57,56,58,58,58,57,56,43,35,35,33,31,31,27,23,21,23,19,58,58,58,58,53,58,57,58,58,53,58,55,58,57,58,57,57
id11005,55,56,60,60,60,60,58,60,60,55,56,60,59,54,59,55,60,59,58,60,60,60,59,58,45,37,37,35,33,33,29,25,21,25,19,60,60,60,60,53,60,57,60,60,55,60,57,60,59,60,59,59
id11006,55,56,60,60,60,60,58,60,60,55,56,60,59,54,59,55,60,59,58,60,60,60,59,58,45,37,37,35,33,33,29,25,21,25,19,60,60,60,60,53,60,57,60,60,55,60,57,60,59,60,59,59
id11544,50,51,55,55,55,55,53,55,55,55,51,55,54,49,54,50,55,54,53,55,55,55,54,53,40,33,33,31,29,29,25,21,17,21,15,55,55,55,55,48,55,52,55,55,54,55,52,55,54,55,54,54
id11547,51,52,56,56,56,56,54,56,56,51,56,56,55,50,55,51,56,55,56,56,56,56,55,54,43,35,35,35,31,31,27,25,21,25,19,56,56,56,56,49,56,53,56,56,51,56,53,56,55,56,55,55
id11548,55,56,60,60,60,60,58,60,60,55,56,60,59,54,59,55,60,59,58,60,60,60,59,58,45,37,37,35,33,33,29,25,21,25,19,60,60,60,60,53,60,57,60,60,55,60,57,60,59,60,59,59
id11549,54,55,59,59,59,59,57,59,59,54,55,59,59,53,58,54,59,58,57,59,59,59,58,57,45,37,37,35,33,33,29,25,21,25,19,59,59,59,59,53,59,56,59,59,54,59,56,59,58,59,58,58
id11550,49,52,54,54,54,54,52,54,54,49,50,54,53,54,53,49,54,53,52,54,54,54,53,52,41,33,33,31,30,30,29,25,21,25,19,54,54,54,54,47,54,51,54,54,49,54,51,54,53,54,53,53
id11552,54,55,59,59,59,59,57,59,59,54,55,59,58,53,59,54,59,58,57,59,59,59,58,57,44,36,36,34,32,32,28,25,21,25,19,59,59,59,59,52,59,56,59,59,54,59,56,59,58,59,58,58
id11942,50,51,55,55,55,55,53,55,55,50,51,55,54,49,54,55,55,54,53,55,55,55,54,53,40,32,32,30,28,28,24,20,17,20,14,55,55,55,55,49,55,52,55,55,50,55,52,55,54,55,54,54
