Row,id11296,id12034,id12036,id12066,id13503,id516,id531,id560,id561,id563,id565,id578,id581,id599,id605,id620,id637,id850,id855,id860,id862,id863
id11296,22,22,22,22,14,22,17,22,NaN,22,22,19,22,9,22,22,22,14,14,NaN,22,21
id11540,3,3,3,3,3,3,3,3,NaN,3,3,3,3,2,3,3,3,3,3,NaN,3,3
id11948,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,NaN,1,1
id12034,13,15,13,15,14,14,14,15,NaN,15,15,14,15,8,15,15,15,14,14,NaN,15,14
id12036,17,17,17,17,9,17,12,17,NaN,17,17,15,17,6,17,17,17,10,10,NaN,17,16
id12066,13,14,13,14,9,14,11,14,NaN,14,14,12,14,7,14,14,14,10,10,NaN,14,13
id13503,30,32,30,32,32,32,32,32,NaN,31,32,28,32,19,31,32,32,32,32,NaN,31,32
id13938,14,15,14,15,15,15,15,15,NaN,14,15,13,14,13,15,15,15,15,15,NaN,15,14
id516,24,25,24,25,16,25,21,25,NaN,27,26,23,26,7,26,27,27,17,17,NaN,25,25
id525,10,10,10,10,10,10,10,10,NaN,11,10,8,10,10,10,11,11,10,10,NaN,10,9
id531,44,46,44,46,35,45,43,46,NaN,46,46,42,47,21,46,47,46,37,37,NaN,45,45
id549,7,7,7,7,4,7,6,7,NaN,8,7,7,8,2,8,8,8,5,5,NaN,7,7
id560,35,36,35,37,23,37,31,37,NaN,39,38,35,37,14,38,39,39,24,24,NaN,36,36
id561,14,14,14,14,9,14,13,14,NaN,14,14,14,14,4,15,15,15,10,10,NaN,14,13
id563,12,13,12,13,12,13,12,13,NaN,23,21,10,23,8,22,23,23,12,12,NaN,13,12
id565,26,28,26,28,17,28,22,28,NaN,35,36,26,36,9,36,36,36,18,18,NaN,28,27
id578,15,15,15,15,10,15,13,15,NaN,16,15,14,16,8,15,16,16,11,11,NaN,15,14
id581,21,23,21,24,19,23,21,24,NaN,35,33,20,35,14,34,35,35,20,20,NaN,24,23
id591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,1,NaN,2,NaN,2,2,2,NaN,NaN,NaN,NaN,NaN
id599,27,28,27,28,18,28,25,28,NaN,29,28,26,29,12,29,29,28,20,20,NaN,27,27
id605,20,21,20,21,12,21,17,21,NaN,26,26,19,26,10,26,26,26,13,13,NaN,21,20
id607,1,1,1,1,1,1,1,1,NaN,1,1,1,1,NaN,1,1,1,1,1,NaN,1,1
id610,4,4,4,4,3,4,4,4,NaN,5,5,4,6,NaN,6,6,6,3,3,NaN,4,4
id616,5,5,5,5,2,5,3,5,NaN,9,8,5,9,2,9,9,9,2,2,NaN,5,5
id620,24,26,24,26,18,25,23,26,NaN,37,37,24,38,13,37,38,38,19,19,NaN,26,25
id633,2,2,2,2,2,2,2,2,NaN,4,4,2,4,1,4,4,4,2,2,NaN,2,2
id637,42,45,42,45,34,44,40,45,NaN,56,57,42,55,21,57,57,57,36,36,NaN,44,44
id847,1,2,1,2,1,1,2,2,NaN,3,3,2,3,1,3,3,3,1,1,NaN,2,2
id850,15,17,15,17,13,17,16,17,NaN,19,18,16,19,8,19,19,19,14,14,NaN,17,16
id855,21,24,21,24,20,23,23,24,NaN,23,24,21,24,17,23,24,24,21,21,NaN,24,23
id860,35,37,35,37,26,37,34,37,NaN,39,38,35,38,15,38,39,38,28,28,NaN,37,36
id862,30,31,30,32,20,31,27,32,NaN,32,32,31,32,12,33,33,33,21,21,NaN,32,31
id863,22,23,22,23,17,23,20,23,NaN,24,23,21,24,9,24,24,24,17,17,NaN,23,22
