Row,id11296,id12034,id12036,id12066,id13503,id13938,id516,id531,id549,id560,id561,id563,id565,id578,id581,id599,id605,id620,id637,id850,id855,id860,id862,id863
id11296,1,1,1,NaN,1,1,NaN,1,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,1,1,1,1,1
id12034,1,1,NaN,0.833333333333333,1,0.857142857142857,NaN,1,1,NaN,1,1,1,1,0.875,1,1,NaN,1,1,1,1,0.875,NaN
id12036,1,NaN,1,1,NaN,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,NaN,1,1
id12066,NaN,0.833333333333333,1,1,1,1,1,0.875,NaN,1,NaN,1,NaN,1,1,1,1,1,0.875,0.833333333333333,0.875,1,1,1
id13503,1,1,NaN,1,1,1,1,1,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,NaN,1,1,NaN,1,1,1
id13938,1,0.857142857142857,1,1,1,1,NaN,0.833333333333333,1,1,1,1,1,1,1,1,1,NaN,0.75,0.8,0.75,1,1,1
id516,NaN,NaN,NaN,1,1,NaN,1,1,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,NaN,1,NaN,NaN,1,NaN,1
id531,1,1,1,0.875,1,0.833333333333333,1,1,1,1,NaN,1,NaN,1,0.888888888888889,NaN,1,1,1,1,1,1,0.857142857142857,1
id549,1,1,1,NaN,NaN,1,NaN,1,1,1,1,1,1,1,1,NaN,1,NaN,NaN,1,1,NaN,1,1
id560,1,NaN,1,1,NaN,1,NaN,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,NaN,1,1
id561,1,1,1,NaN,NaN,1,NaN,NaN,1,1,1,1,1,1,NaN,1,NaN,NaN,1,NaN,NaN,NaN,1,1
id563,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1
id565,1,1,1,NaN,NaN,1,NaN,NaN,1,1,1,1,1,1,NaN,1,NaN,NaN,1,NaN,NaN,NaN,1,1
id578,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,NaN,1,1,NaN,1
id581,1,0.875,1,1,NaN,1,NaN,0.888888888888889,1,1,NaN,1,NaN,1,1,NaN,1,1,0.833333333333333,0.833333333333333,0.9,NaN,1,NaN
id599,NaN,1,NaN,1,1,1,1,NaN,NaN,NaN,1,1,1,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,1,1
id605,NaN,1,1,1,NaN,1,NaN,1,1,1,NaN,1,NaN,1,1,NaN,1,1,1,1,1,NaN,1,1
id620,NaN,NaN,1,1,NaN,NaN,NaN,1,NaN,1,NaN,1,NaN,1,1,NaN,1,1,NaN,NaN,1,NaN,NaN,NaN
id637,NaN,1,NaN,0.875,1,0.75,1,1,NaN,NaN,1,1,1,1,0.833333333333333,1,1,NaN,1,1,1,1,0.857142857142857,1
id850,1,1,1,0.833333333333333,1,0.8,NaN,1,1,1,NaN,NaN,NaN,NaN,0.833333333333333,NaN,1,NaN,1,1,1,1,0.875,1
id855,1,1,1,0.875,NaN,0.75,NaN,1,1,1,NaN,1,NaN,1,0.9,NaN,1,1,1,1,1,NaN,0.833333333333333,NaN
id860,1,1,NaN,1,1,1,1,1,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,NaN,1,1,NaN,1,1,NaN
id862,1,0.875,1,1,1,1,NaN,0.857142857142857,1,1,1,1,1,NaN,1,1,1,NaN,0.857142857142857,0.875,0.833333333333333,1,1,1
id863,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,NaN,NaN,1,1
