Row,score_variable_k,score_fixed_k,count,difference,name,sponsor_id,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,year
id6222,1504.0263731889,1510.84170045284,937,-6.81532726394494,Jim Thompson,6222,Jim,,Thompson,,,1,R,1,Rep,HD-023,2016
id15768,1499.88504020731,1505.22396135518,10973,-5.33892114787113,Chris Gorsek,15768,Chris,,Gorsek,,,0,D,1,Rep,HD-049,2016
id6207,1499.68896923604,1505.15067713399,11882,-5.46170789795633,Betty Komp,6207,Betty,,Komp,,,0,D,1,Rep,HD-022,2016
id16820,1499.63850787436,1501.42430933506,10658,-1.78580146069999,Mike Nearman,16820,Mike,,Nearman,,,1,R,1,Rep,HD-023,2016
id14777,1499.54475132052,1502.49308798446,11857,-2.94833666393765,Jennifer Williamson,14777,Jennifer,,Williamson,,,0,D,1,Rep,HD-036,2016
id12023,1499.36722111813,1502.10823788715,12349,-2.74101676901842,Julie Parrish,12023,Julie,N.,Parrish,,,1,R,1,Rep,HD-037,2016
id6225,1499.27429193797,1501.78072498521,12349,-2.5064330472344,Margaret Doherty,6225,Margaret,,Doherty,,,0,D,1,Rep,HD-035,2016
id15782,1499.23636335849,1502.17076034773,12349,-2.93439698923635,Gail Whitsett,15782,Gail,,Whitsett,,,1,R,1,Rep,HD-056,2016
id16822,1499.21977693241,1502.02003647634,10913,-2.8002595439325,Dan Rayfield,16822,Dan,,Rayfield,,,0,D,1,Rep,HD-016,2016
id6199,1499.18149735808,1501.86849311535,11414,-2.68699575726714,Sal Esquivel,6199,Sal,,Esquivel,,,1,R,1,Rep,HD-006,2016
id6212,1499.15764108238,1501.96452703159,12349,-2.80688594920775,Gene Whisnant,6212,Gene,,Whisnant,,,1,R,1,Rep,HD-053,2016
id6260,1499.03770000524,1501.95488863506,12238,-2.91718862981088,Tobias Read,6260,Tobias,,Read,,,0,D,1,Rep,HD-027,2016
id6217,1498.91387780268,1501.41925757129,12296,-2.5053797686096,Wayne Krieger,6217,Wayne,,Krieger,,,1,R,1,Rep,HD-001,2016
id16810,1498.90075260656,1501.96156407246,11132,-3.06081146590395,Susan McLain,16810,Susan,,McLain,,,0,D,1,Rep,HD-029,2016
id16808,1498.89821715005,1501.83958533185,10692,-2.94136818180232,Paul Evans,16808,Paul,,Evans,,,0,D,1,Rep,HD-020,2016
id16815,1498.86394666669,1501.93115766919,10921,-3.06721100250275,Gregory Barreto,16815,Gregory,L.,Barreto,,Greg,1,R,1,Rep,HD-058,2016
id6201,1498.82223743446,1501.83710127167,11820,-3.01486383720589,Jeff Barker,6201,Jeff,,Barker,,,0,D,1,Rep,HD-028,2016
id14773,1498.81986806662,1500.75658569306,10978,-1.93671762644431,Caddy McKeown,14773,Caddy,,McKeown,,,0,D,1,Rep,HD-009,2016
id16812,1498.62127509239,1501.34181768599,11132,-2.72054259360084,Bill Post,16812,Bill,,Post,,,1,R,1,Rep,HD-025,2016
id6234,1498.60296782506,1501.41565708464,12099,-2.81268925958443,Bill Kennemer,6234,Bill,,Kennemer,,,1,R,1,Rep,HD-039,2016
id6240,1498.56333524937,1501.43867831626,11974,-2.87534306689327,Vic Gilliam,6240,Vic,,Gilliam,,,1,R,1,Rep,HD-018,2016
id6220,1498.4752046286,1501.00300789369,11700,-2.52780326508901,Sherrie Sprenger,6220,Sherrie,,Sprenger,,,1,R,1,Rep,HD-017,2016
id10752,1498.47459402556,1501.26068552353,11970,-2.78609149796284,Mike McLane,10752,Mike,,McLane,,,1,R,1,Rep,HD-055,2016
id16813,1498.44920041224,1501.02122658485,10804,-2.57202617261078,Duane Stark,16813,Duane,A.,Stark,,,1,R,1,Rep,HD-004,2016
id16814,1498.43974831441,1500.95609031587,10765,-2.51634200146327,Kathleen Taylor,16814,Kathleen,,Taylor,,,0,D,1,Rep,HD-041,2016
id14776,1498.43029835356,1501.17338882084,11444,-2.7430904672774,Jessica Pederson,14776,Jessica,Vega,Pederson,,,0,D,1,Rep,HD-047,2016
id16819,1498.40736865658,1501.16572509549,10658,-2.75835643891219,Dallas Heard,16819,Dallas,,Heard,,,1,R,1,Rep,HD-002,2016
id16817,1498.39050244474,1501.34225855189,10984,-2.95175610714932,Jodi Hack,16817,Jodi,L.,Hack,,,1,R,1,Rep,HD-019,2016
id6253,1498.38627744604,1500.7110065358,12195,-2.32472908975592,Bradley Witt,6253,Bradley,K.,Witt,,Brad,0,D,1,Rep,HD-031,2016
id6205,1498.37494768147,1500.9167288642,12349,-2.54178118273489,John Huffman,6205,John,E.,Huffman,,,1,R,1,Rep,HD-059,2016
id6230,1498.33383707898,1500.99087681379,12100,-2.65703973480458,Val Hoyle,6230,Val,,Hoyle,,,0,D,1,Rep,HD-014,2016
id6231,1498.24656506007,1500.61905217553,11182,-2.37248711546545,Tina Kotek,6231,Tina,,Kotek,,,0,D,1,Rep,HD-044,2016
id6202,1498.1881495685,1501.04862458959,11254,-2.86047502109477,Brian Clem,6202,Brian,L.,Clem,,,0,D,1,Rep,HD-021,2016
id6249,1498.18124275119,1501.85832616681,11781,-3.67708341562138,Mitch Greenlick,6249,Mitch,,Greenlick,,,0,D,1,Rep,HD-033,2016
id16818,1498.18035349055,1500.43584517155,10822,-2.25549168100429,Cedric Hayden,16818,Cedric,Ross,Hayden,,,1,R,1,Rep,HD-007,2016
id15781,1498.14394941061,1500.58225336234,12295,-2.43830395172063,Shemia Fagan,15781,Shemia,,Fagan,,,0,D,1,Rep,HD-051,2016
id6247,1498.13540749706,1501.763353851,12197,-3.62794635394766,Philip Barnhart,6247,Philip,N.,Barnhart,,,0,D,1,Rep,HD-011,2016
id6214,1498.13092134333,1500.73271502765,10919,-2.60179368431318,Jim Weidner,6214,Jim,,Weidner,,,1,R,1,Rep,HD-024,2016
id14774,1498.10886185131,1500.92381975932,12130,-2.81495790801546,Jeff Reardon,14774,Jeff,,Reardon,,,0,D,1,Rep,HD-048,2016
id16181,1498.08083602606,1500.51639961099,11973,-2.43556358492901,Barbara Warner,16181,Barbara,Smith,Warner,,,0,D,1,Rep,HD-045,2016
id16816,1498.06025383487,1500.36058145791,10590,-2.30032762304472,Knute Buehler,16816,Knute,C.,Buehler,,,1,R,1,Rep,HD-054,2016
