Row,score_variable_k,score_fixed_k,count,difference,name,sponsor_id,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,year
id16822,1528.16496814831,1515.79047769517,1255,12.3744904531472,Dan Rayfield,16822,Dan,,Rayfield,,,0,D,1,Rep,HD-016,2016
id16810,1527.94438345502,1516.90806712928,1255,11.0363163257418,Susan McLain,16810,Susan,,McLain,,,0,D,1,Rep,HD-029,2016
id16809,1527.8781094254,1517.89443329911,1255,9.98367612629363,Ken Helm,16809,Ken,,Helm,,,0,D,1,Rep,HD-034,2016
id6214,1527.7256905127,1516.60799148533,1089,11.1176990273632,Jim Weidner,6214,Jim,,Weidner,,,1,R,1,Rep,HD-024,2016
id16815,1527.59290933419,1516.63581133003,1204,10.9570980041597,Gregory Barreto,16815,Gregory,L.,Barreto,,Greg,1,R,1,Rep,HD-058,2016
id16208,1527.52746148013,1516.33517446914,1376,11.1922870109909,Ann Lininger,16208,Ann,,Lininger,,,0,D,1,Rep,HD-038,2016
id16818,1527.12832482009,1516.98290498274,1255,10.1454198373547,Cedric Hayden,16818,Cedric,Ross,Hayden,,,1,R,1,Rep,HD-007,2016
id15782,1527.06797512338,1514.5280336663,1376,12.5399414570838,Gail Whitsett,15782,Gail,,Whitsett,,,1,R,1,Rep,HD-056,2016
id16819,1526.95303217736,1515.56810143631,1204,11.3849307410478,Dallas Heard,16819,Dallas,,Heard,,,1,R,1,Rep,HD-002,2016
id6234,1526.94807023696,1515.91120330075,1376,11.0368669362142,Bill Kennemer,6234,Bill,,Kennemer,,,1,R,1,Rep,HD-039,2016
id6202,1526.93421760187,1516.7738510625,1266,10.1603665393691,Brian Clem,6202,Brian,L.,Clem,,,0,D,1,Rep,HD-021,2016
id16181,1526.82087838124,1515.48495600893,1322,11.3359223723107,Barbara Warner,16181,Barbara,Smith,Warner,,,0,D,1,Rep,HD-045,2016
id10752,1526.78055651919,1514.88994809766,1321,11.8906084215273,Mike McLane,10752,Mike,,McLane,,,1,R,1,Rep,HD-055,2016
id6251,1526.61878174608,1515.51483828968,1376,11.1039434563995,Paul Holvey,6251,Paul,R.,Holvey,,,0,D,1,Rep,HD-008,2016
id6242,1526.57694355016,1515.49615602017,1325,11.0807875299868,Andy Olson,6242,Andy,,Olson,,,1,R,1,Rep,HD-015,2016
id15781,1526.55348731692,1516.13676424657,1376,10.4167230703465,Shemia Fagan,15781,Shemia,,Fagan,,,0,D,1,Rep,HD-051,2016
id6244,1526.54704269736,1514.90077616122,1275,11.646266536146,Peter Buckley,6244,Peter,,Buckley,,,0,D,1,Rep,HD-005,2016
id16808,1526.40196239715,1516.93982000618,1199,9.46214239096457,Paul Evans,16808,Paul,,Evans,,,0,D,1,Rep,HD-020,2016
id16812,1526.32427483023,1514.32944093123,1255,11.9948338990064,Bill Post,16812,Bill,,Post,,,1,R,1,Rep,HD-025,2016
id6215,1525.97751737164,1512.03135016549,1228,13.9461672061493,Cliff Bentz,6215,Cliff,,Bentz,,,1,R,1,Rep,HD-060,2016
id15780,1525.8939773196,1513.09742664803,1228,12.7965506715677,John Davis,15780,John,,Davis,,,1,R,1,Rep,HD-026,2016
id6230,1525.87826157021,1515.12994190079,1325,10.7483196694216,Val Hoyle,6230,Val,,Hoyle,,,0,D,1,Rep,HD-014,2016
id6253,1525.60631286136,1512.02541244945,1329,13.5809004119087,Bradley Witt,6253,Bradley,K.,Witt,,Brad,0,D,1,Rep,HD-031,2016
id6236,1525.44456687575,1511.15200490066,1321,14.2925619750922,Deborah Boone,6236,Deborah,,Boone,,,0,D,1,Rep,HD-032,2016
id6231,1525.20763457835,1511.94139783567,1168,13.2662367426722,Tina Kotek,6231,Tina,,Kotek,,,0,D,1,Rep,HD-044,2016
id6260,1525.08298119053,1514.37497882049,1376,10.7080023700369,Tobias Read,6260,Tobias,,Read,,,0,D,1,Rep,HD-027,2016
id16817,1524.97212165839,1511.26487668409,1204,13.7072449742993,Jodi Hack,16817,Jodi,L.,Hack,,,1,R,1,Rep,HD-019,2016
id16814,1524.81964150281,1510.9442556911,1255,13.8753858117034,Kathleen Taylor,16814,Kathleen,,Taylor,,,0,D,1,Rep,HD-041,2016
id6220,1524.56659794771,1510.33607347564,1321,14.2305244720715,Sherrie Sprenger,6220,Sherrie,,Sprenger,,,1,R,1,Rep,HD-017,2016
