Row,score_variable_k,score_fixed_k,count,difference,name,sponsor_id,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,year
id16823,1522.03646375319,1505.75286653289,10050000,19.725191709043,Carl Wilson,16823,Carl,,Wilson,,,1,R,1,Rep,HD-003,2016
id16822,1487.10930302914,1499.96820018015,10050000,-8.87893921882073,Dan Rayfield,16822,Dan,,Rayfield,,,0,D,1,Rep,HD-016,2016
id16821,1427.76419399023,1474.71946256475,10050000,-43.2075332936608,Carla Piluso,16821,Carla,C.,Piluso,,,0,D,1,Rep,HD-050,2016
id16820,1522.04102108189,1505.77786048969,10050000,20.188757549306,Mike Nearman,16820,Mike,,Nearman,,,1,R,1,Rep,HD-023,2016
id16819,1499.29512822557,1503.91141737893,10050000,0.468750256920657,Dallas Heard,16819,Dallas,,Heard,,,1,R,1,Rep,HD-002,2016
id16818,1522.04149062261,1505.77755391135,10050000,19.7347382412065,Cedric Hayden,16818,Cedric,Ross,Hayden,,,1,R,1,Rep,HD-007,2016
id16817,1522.03868274957,1505.75322800978,10050000,21.7495734449808,Jodi Hack,16817,Jodi,L.,Hack,,,1,R,1,Rep,HD-019,2016
id16816,1522.03688757058,1505.75474663518,10050000,19.1319457297311,Knute Buehler,16816,Knute,C.,Buehler,,,1,R,1,Rep,HD-054,2016
id16815,1522.03752646126,1505.76303854283,10050000,22.1226955950597,Gregory Barreto,16815,Gregory,L.,Barreto,,Greg,1,R,1,Rep,HD-058,2016
id16814,1487.10832713294,1499.94298236824,10050000,-9.0256542776558,Kathleen Taylor,16814,Kathleen,,Taylor,,,0,D,1,Rep,HD-041,2016
id16813,1522.04023413495,1505.77059733334,10050000,19.9010470556002,Duane Stark,16813,Duane,A.,Stark,,,1,R,1,Rep,HD-004,2016
id16812,1522.04243577451,1505.78475256701,10050000,21.0730848491826,Bill Post,16812,Bill,,Post,,,1,R,1,Rep,HD-025,2016
id16811,1522.04136598853,1505.7690285419,10050000,21.3811736949581,Robert Nosse,16811,Robert,A.,Nosse,Jr.,Rob,0,D,1,Rep,HD-042,2016
id16810,1399.10633009095,1469.76221723618,10050000,-65.4400735035056,Susan McLain,16810,Susan,,McLain,,,0,D,1,Rep,HD-029,2016
id16809,1487.11650467808,1499.98165021138,10050000,-8.31150500110539,Ken Helm,16809,Ken,,Helm,,,0,D,1,Rep,HD-034,2016
id16808,1487.11582450621,1499.9649678448,10050000,-9.22904107153022,Paul Evans,16808,Paul,,Evans,,,0,D,1,Rep,HD-020,2016
id16208,1485.95961213136,1499.95765454277,11910000,-11.0766886994022,Ann Lininger,16208,Ann,,Lininger,,,0,D,1,Rep,HD-038,2016
id16181,1522.94479276582,1505.76471382268,11910000,23.6629617522608,Barbara Warner,16181,Barbara,Smith,Warner,,,0,D,1,Rep,HD-045,2016
id15782,1513.2626667678,1505.7805235825,13050000,9.14767457008338,Gail Whitsett,15782,Gail,,Whitsett,,,1,R,1,Rep,HD-056,2016
id15781,1513.26878796296,1505.79367843386,13050000,10.0336084387402,Shemia Fagan,15781,Shemia,,Fagan,,,0,D,1,Rep,HD-051,2016
id15780,1497.16511841243,1510.33386704571,12255000,-9.67663983196576,John Davis,15780,John,,Davis,,,1,R,1,Rep,HD-026,2016
id15769,1490.87051378015,1499.98243041801,13050000,-6.60005906756578,John Lively,15769,John,D.,Lively,,,0,D,1,Rep,HD-012,2016
id15768,1392.05787860109,1410.72229087634,11415000,-12.5285752386342,Chris Gorsek,15768,Chris,,Gorsek,,,0,D,1,Rep,HD-049,2016
