Row,score_variable_k,score_fixed_k,count,difference,name,sponsor_id,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,year
id6273,1560.31828953895,1572.86813825152,5336,-12.5498487125767,Jackie Winters,6273,Jackie,,Winters,,,1,R,2,Sen,SD-010,2016
id6258,1521.03675459283,1519.59298404325,5904,1.44377054958227,William Shields,6258,William,,Shields,,Chip,0,D,2,Sen,SD-022,2016
id6271,1513.63685847693,1516.23128297869,6429,-2.59442450175948,Peter Courtney,6271,Peter,,Courtney,,,0,D,2,Sen,SD-011,2016
id6283,1513.34031519845,1515.69557909725,6351,-2.35526389880329,Floyd Prozanski,6283,Floyd,F.,Prozanski,,,0,D,2,Sen,SD-004,2016
id6228,1513.12985250735,1515.44128153409,6435,-2.31142902674037,Michael Dembrow,6228,Michael,E.,Dembrow,,,0,D,2,Sen,SD-023,2016
id6245,1512.96415228894,1515.73567968401,6452,-2.77152739506073,Alan Bates,6245,Alan,C.,Bates,,,0,D,2,Sen,SD-003,2016
id6272,1512.86865546318,1514.99353874324,6549,-2.12488328006498,Laurie Monnes Anderson,6272,Laurie,Monnes,Monnes Anderson,,,0,D,2,Sen,SD-025,2016
id6264,1512.66540485633,1515.94879943834,6429,-3.28339458200708,Richard Devlin,6264,Richard,,Devlin,,,0,D,2,Sen,SD-019,2016
id14781,1512.66390526339,1514.58277928727,6480,-1.91887402387965,Tim Knopp,14781,Tim,,Knopp,,,1,R,2,Sen,SD-027,2016
id13858,1512.49599721185,1513.86313034678,6549,-1.3671331349226,Elizabeth Steiner Hayward,13858,Elizabeth,,Steiner Hayward,,,0,D,2,Sen,SD-017,2016
id6255,1512.14824335453,1514.66963120011,6525,-2.52138784558429,Diane Rosenbaum,6255,Diane,,Rosenbaum,,,0,D,2,Sen,SD-021,2016
id15770,1509.20107065339,1516.07699688297,6501,-6.87592622958277,Herman Baertschiger,15770,Herman,,Baertschiger,Jr.,,1,R,2,Sen,SD-002,2016
id6286,1509.12638827539,1515.32878300289,6525,-6.20239472749518,Douglas Whitsett,6286,Douglas,K.,Whitsett,,,1,R,2,Sen,SD-028,2016
id14780,1508.92543865833,1515.74945425569,6423,-6.82401559735854,Bill Hansell,14780,Bill,,Hansell,,,1,R,2,Sen,SD-029,2016
id6275,1508.58632183735,1514.62819857783,6277,-6.04187674047967,Fred Girod,6275,Fred,,Girod,,,1,R,2,Sen,SD-009,2016
id6221,1507.90360270663,1513.33790356829,5751,-5.4343008616579,Lona Thatcher,6221,Lona,Kim,Thatcher,,,1,R,2,Sen,SD-013,2016
id12166,1507.8666314834,1513.6254573384,5270,-5.75882585500517,Alan Olsen,12166,Alan,R.,Olsen,,,1,R,2,Sen,SD-020,2016
id6274,1506.32121327362,1502.17257429991,6401,4.14863897370788,Ted Ferrioli,6274,Ted,,Ferrioli,,,1,R,2,Sen,SD-030,2016
id12024,1505.67946668961,1512.62196854909,6312,-6.94250185948113,Chuck Thomsen,12024,Chuck,,Thomsen,,,1,R,2,Sen,SD-026,2016
id6257,1501.47503902143,1511.07645581269,6091,-9.60141679126605,Charles Riley,6257,Charles,D.,Riley,,Chuck,0,D,2,Sen,SD-015,2016
id6268,1501.33726252911,1510.30743336486,6549,-8.97017083574838,Mark Hass,6268,Mark,,Hass,,,0,D,2,Sen,SD-014,2016
id6208,1500.78018409726,1511.50251387487,6549,-10.7223297776084,Arnie Roblan,6208,Arnie,,Roblan,,,0,D,2,Sen,SD-005,2016
id6265,1500.36434383836,1511.5880342492,6549,-11.2236904108393,Rod Monroe,6265,Rod,,Monroe,,,0,D,2,Sen,SD-024,2016
id6256,1500.1039139786,1510.33569228025,6335,-10.2317783016431,Chris Edwards,6256,Chris,,Edwards,,,0,D,2,Sen,SD-007,2016
id6204,1496.55356815136,1509.55741459159,5909,-13.0038464402251,Sara Gelser,6204,Sara,,Gelser,,,0,D,2,Sen,SD-008,2016
id6279,1496.42750259847,1509.04030806555,5921,-12.6128054670853,Brian Boquist,6279,Brian,J.,Boquist,,,1,R,2,Sen,SD-012,2016
id6282,1435.45562807188,1424.44939375238,6549,11.0062343195048,Jeff Kruse,6282,Jeff,,Kruse,,,1,R,2,Sen,SD-001,2016
id10753,1416.20767432327,1420.30238825352,5874,-4.09471393025046,Leslee Beyer,10753,Leslee,,Beyer,,Lee,0,D,2,Sen,SD-006,2016
id6280,1308.36448049393,1248.67620467548,6123,59.6882758184515,Ginny Burdick,6280,Ginny,,Burdick,,,0,D,2,Sen,SD-018,2016
