Row,id10752,id12023,id13859,id14771,id14772,id14773,id14774,id14776,id14777,id15768,id15769,id15780,id15781,id15782,id16181,id16208,id16808,id16809,id16810,id16811,id16812,id16813,id16814,id16815,id16816,id16817,id16818,id16819,id16820,id16821,id16822,id16823,id6199,id6201,id6202,id6205,id6207,id6212,id6214,id6215,id6217,id6220,id6222,id6225,id6229,id6230,id6231,id6234,id6236,id6240,id6242,id6244,id6247,id6249,id6251,id6253,id6260,id6266,id6267
id10752,253,253,246,237,253,225,247,230,244,223,252,229,251,253,245,247,212,220,221,220,221,214,214,217,211,218,215,211,212,216,217,221,233,241,238,253,244,253,223,229,251,240,25,253,253,248,230,245,242,245,237,235,250,242,248,250,251,228,247
id12023,253,264,257,248,264,236,258,241,253,233,263,240,262,264,256,258,223,231,232,231,232,225,225,228,222,229,226,222,223,223,228,232,244,252,239,264,255,264,234,240,262,251,25,264,264,259,240,256,253,256,248,246,261,252,259,261,262,239,258
id13859,246,257,257,241,257,232,251,236,246,228,256,235,255,257,249,251,219,226,227,226,227,220,220,224,217,224,221,217,218,218,223,227,238,245,232,257,248,257,227,235,255,244,25,257,257,252,235,249,246,249,241,243,254,245,252,254,255,232,251
id14771,237,248,241,248,248,222,242,226,237,218,247,225,246,248,240,242,207,215,216,215,216,211,209,212,209,213,210,211,208,212,213,216,228,236,225,248,239,248,224,225,246,235,25,248,248,243,225,240,238,240,232,230,245,236,243,246,246,229,242
id14772,253,264,257,248,264,236,258,241,253,233,263,240,262,264,256,258,223,231,232,231,232,225,225,228,222,229,226,222,223,223,228,232,244,252,239,264,255,264,234,240,262,251,25,264,264,259,240,256,253,256,248,246,261,252,259,261,262,239,258
id14773,225,236,232,222,236,236,230,229,225,218,235,229,234,236,229,233,196,203,204,203,204,197,199,200,195,202,200,194,203,195,201,204,222,228,211,236,231,236,207,230,234,225,25,236,236,231,219,230,228,230,221,229,236,228,231,234,234,215,232
id14774,247,258,251,242,258,230,258,236,248,228,257,234,256,258,250,252,217,226,226,225,226,224,219,222,216,223,220,216,217,217,222,226,238,247,233,258,249,258,228,235,256,245,25,258,258,253,235,251,248,250,242,240,255,247,254,255,256,233,253
id14776,230,241,236,226,241,229,236,241,230,221,240,233,241,241,233,236,201,209,209,208,209,202,204,205,199,206,205,199,201,200,205,209,227,233,216,241,236,241,211,235,240,228,25,241,241,237,223,234,231,234,229,234,238,232,237,239,239,221,236
id14777,244,253,246,237,253,225,248,230,253,222,252,229,251,253,245,247,212,220,221,220,221,215,214,217,211,218,216,211,212,214,217,221,233,241,230,253,244,253,223,229,251,240,25,253,253,248,229,245,244,245,238,237,250,241,248,250,252,228,247
id15768,223,233,228,218,233,218,228,221,222,233,232,222,231,233,230,230,194,202,202,202,202,195,198,198,193,200,199,192,195,193,199,202,217,222,209,233,230,233,204,221,231,221,25,233,233,228,219,230,225,226,219,221,231,228,229,231,231,212,232
id15769,252,263,256,247,263,235,257,240,252,232,263,239,261,263,255,257,223,231,232,231,232,225,225,228,222,229,226,222,223,223,228,232,243,251,238,263,254,263,233,239,261,250,24,263,263,258,239,255,252,255,247,245,260,251,258,260,261,238,257
id15780,229,240,235,225,240,229,234,233,229,222,239,240,238,240,233,235,200,208,209,208,209,202,205,205,200,207,206,200,202,200,205,209,228,232,215,240,237,240,210,234,238,228,24,240,240,235,223,232,230,232,229,233,238,230,235,239,238,219,234
id15781,251,262,255,246,262,234,256,241,251,231,261,238,262,262,254,256,221,229,230,229,230,223,223,226,220,227,224,220,221,221,226,230,242,250,237,262,253,262,232,238,260,249,25,262,262,257,238,254,251,254,248,244,259,250,257,259,260,237,256
id15782,253,264,257,248,264,236,258,241,253,233,263,240,262,264,256,258,223,231,232,231,232,225,225,228,222,229,226,222,223,223,228,232,244,252,239,264,255,264,234,240,262,251,25,264,264,259,240,256,253,256,248,246,261,252,259,261,262,239,258
id16181,245,256,249,240,256,229,250,233,245,230,255,233,254,256,256,253,218,226,227,226,227,220,220,223,218,225,221,217,219,218,223,227,236,245,235,256,248,256,226,233,254,244,22,256,256,251,233,248,245,248,240,238,254,245,254,253,254,231,250
id16208,247,258,251,242,258,233,252,236,247,230,257,235,256,258,253,258,220,228,229,228,229,222,222,225,219,226,223,219,220,220,225,229,238,246,236,258,250,258,228,235,256,245,22,258,258,253,235,252,249,250,242,241,255,249,256,255,256,233,254
id16808,212,223,219,207,223,196,217,201,212,194,223,200,221,223,218,220,223,222,223,222,223,216,216,219,213,220,217,213,214,214,219,223,204,211,202,223,214,223,205,200,222,213,NaN,223,223,219,200,216,212,215,208,208,220,212,221,220,221,198,217
id16809,220,231,226,215,231,203,226,209,220,202,231,208,229,231,226,228,222,231,231,230,231,224,224,227,221,228,225,221,222,222,227,231,212,219,209,231,222,231,213,208,229,218,NaN,231,231,227,208,225,221,223,215,216,228,221,230,228,229,206,226
id16810,221,232,227,216,232,204,226,209,221,202,232,209,230,232,227,229,223,231,232,231,232,225,225,228,222,229,226,222,223,223,228,232,213,220,210,232,223,232,214,208,230,219,NaN,232,232,228,208,225,221,224,216,217,229,221,230,229,230,207,226
id16811,220,231,226,215,231,203,225,208,220,202,231,208,229,231,226,228,222,230,231,231,231,224,224,227,221,228,225,221,222,222,228,231,212,219,209,231,222,231,213,207,229,218,NaN,231,231,227,207,224,220,223,215,216,228,220,229,228,229,206,225
id16812,221,232,227,216,232,204,226,209,221,202,232,209,230,232,227,229,223,231,232,231,232,225,225,228,222,229,226,222,223,223,228,232,213,220,210,232,223,232,214,208,230,219,NaN,232,232,228,208,225,221,224,216,217,229,221,230,229,230,207,226
id16813,214,225,220,211,225,197,224,202,215,195,225,202,223,225,220,222,216,224,225,224,225,225,218,221,215,222,219,215,216,216,221,225,206,214,203,225,216,225,208,201,223,212,NaN,225,225,221,201,218,214,217,209,210,222,214,223,222,223,200,219
id16814,214,225,220,209,225,199,219,204,214,198,225,205,223,225,220,222,216,224,225,224,225,218,225,221,215,222,222,215,216,216,221,225,211,213,203,225,216,225,207,204,223,212,NaN,225,225,221,203,218,214,217,209,212,222,214,223,222,223,200,219
id16815,217,228,224,212,228,200,222,205,217,198,228,205,226,228,223,225,219,227,228,227,228,221,221,228,218,227,222,220,219,219,224,228,211,216,206,228,219,228,210,204,226,215,NaN,228,228,226,204,221,217,222,214,213,225,217,226,225,226,203,222
id16816,211,222,217,209,222,195,216,199,211,193,222,200,220,222,218,219,213,221,222,221,222,215,215,218,222,220,216,212,214,213,218,222,203,210,202,222,213,222,204,199,221,210,NaN,222,222,218,199,215,211,214,207,208,220,211,220,219,220,197,216
id16817,218,229,224,213,229,202,223,206,218,200,229,207,227,229,225,226,220,228,229,228,229,222,222,227,220,229,223,221,221,220,225,229,210,217,207,229,220,229,211,206,227,217,NaN,229,229,227,206,222,218,223,215,214,227,218,227,226,227,204,223
id16818,215,226,221,210,226,200,220,205,216,199,226,206,224,226,221,223,217,225,226,225,226,219,222,222,216,223,226,216,217,217,222,226,210,214,204,226,217,226,208,205,224,213,NaN,226,226,222,204,219,215,218,211,213,223,215,225,223,224,201,220
id16819,211,222,217,211,222,194,216,199,211,192,222,200,220,222,217,219,213,221,222,221,222,215,215,220,212,221,216,222,213,218,218,222,203,210,200,222,213,222,205,198,220,209,NaN,222,222,221,198,216,214,216,208,207,219,211,220,221,220,202,216
id16820,212,223,218,208,223,203,217,201,212,195,223,202,221,223,219,220,214,222,223,222,223,216,216,219,214,221,217,213,223,214,219,223,204,211,202,223,214,223,205,201,221,211,NaN,223,223,219,201,216,212,217,207,208,223,212,221,221,221,199,217
id16821,216,223,218,212,223,195,217,200,214,193,223,200,221,223,218,220,214,222,223,222,223,216,216,219,213,220,217,218,214,223,219,223,204,211,205,223,214,223,206,199,221,210,NaN,223,223,219,199,216,212,215,207,208,220,212,221,220,221,203,217
id16822,217,228,223,213,228,201,222,205,217,199,228,205,226,228,223,225,219,227,228,228,228,221,221,224,218,225,222,218,219,219,228,228,209,216,206,228,219,228,210,204,226,215,NaN,228,228,224,204,221,218,220,212,213,225,217,226,225,226,203,222
id16823,221,232,227,216,232,204,226,209,221,202,232,209,230,232,227,229,223,231,232,231,232,225,225,228,222,229,226,222,223,223,228,232,213,220,210,232,223,232,214,208,230,219,NaN,232,232,228,208,225,221,224,216,217,229,221,230,229,230,207,226
id6199,233,244,238,228,244,222,238,227,233,217,243,228,242,244,236,238,204,212,213,212,213,206,211,211,203,210,210,203,204,204,209,213,244,241,219,244,235,244,214,227,242,231,24,244,244,239,222,236,233,236,233,230,241,232,239,241,242,222,238
