Row,id10753,id13858,id6204,id6208,id6228,id6245,id6255,id6256,id6257,id6258,id6264,id6265,id6268,id6271,id6272,id6274,id6280,id6283
id10753,13,13,11,13,13,13,13,13,11,12,13,13,13,13,13,12,13,13
id12024,6,7,6,7,7,6,7,5,6,7,7,7,7,7,7,7,7,7
id12166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id13858,23,24,21,24,24,23,24,21,21,23,24,24,24,24,24,23,24,24
id14780,6,7,6,7,7,7,7,5,6,7,7,7,7,7,7,7,7,7
id14781,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
id15770,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id6204,22,22,21,22,22,22,22,20,21,20,22,22,22,22,22,22,22,22
id6208,20,21,17,21,21,20,21,18,17,18,21,21,21,21,21,21,21,21
id6228,23,24,22,24,24,23,24,21,22,22,24,24,24,24,24,24,24,24
id6245,15,16,15,16,16,15,16,12,15,16,16,16,16,16,16,16,16,16
id6255,20,20,17,20,20,20,20,19,17,17,20,20,20,20,20,20,20,20
id6256,12,13,12,13,13,12,13,12,12,12,13,13,13,13,13,13,13,13
id6257,11,11,11,11,11,11,11,10,11,10,11,11,11,11,11,11,11,11
id6258,13,14,12,14,14,14,14,11,12,14,14,14,14,14,14,14,14,14
id6264,13,15,12,15,15,14,15,13,12,13,15,15,15,15,15,15,15,15
id6265,15,15,14,15,15,15,15,13,14,14,15,15,15,15,15,15,15,15
id6268,11,11,7,11,11,11,11,11,7,10,11,11,11,11,11,11,11,11
id6271,6,8,6,8,8,7,8,7,6,7,8,8,8,8,8,8,8,8
id6272,25,27,24,27,27,26,27,24,24,26,27,27,27,27,27,27,27,27
id6273,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
id6274,8,9,6,9,8,8,9,8,6,9,9,9,9,9,9,7,9,9
id6275,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1
id6279,6,7,7,7,7,6,7,5,7,6,7,7,7,7,7,7,7,7
id6280,16,17,17,17,17,16,17,16,17,15,17,17,17,17,17,15,17,17
id6282,6,7,6,7,7,6,7,5,6,7,7,7,7,7,7,6,7,7
id6283,12,13,11,13,13,12,13,11,11,12,13,13,13,13,13,13,13,13
id6286,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2
