Row,id10753,id13858,id6204,id6208,id6228,id6245,id6255,id6256,id6257,id6258,id6264,id6265,id6268,id6271,id6272,id6280,id6283
id10753,1,NaN,1,1,NaN,NaN,0.9375,1,0.857142857142857,NaN,NaN,0.875,1,NaN,NaN,1,1
id13858,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,0.962962962962963,1,1,NaN,1,0.833333333333333,1,NaN
id6204,1,NaN,1,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1
id6208,1,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1,1,NaN,1,1
id6228,NaN,NaN,1,1,1,NaN,1,0.9,NaN,NaN,NaN,NaN,NaN,1,1,NaN,1
id6245,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,1,1,1,NaN,NaN,1,NaN,NaN
id6255,0.9375,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,0.95,1
id6256,1,NaN,NaN,NaN,0.9,NaN,NaN,1,1,NaN,NaN,1,1,NaN,NaN,NaN,0.9
id6257,0.857142857142857,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,1,1,NaN,NaN,NaN,NaN
id6258,NaN,0.962962962962963,NaN,1,NaN,1,NaN,NaN,NaN,1,1,1,NaN,1,1,1,1
id6264,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,1,1,1,NaN,1,NaN,1,NaN
id6265,0.875,1,NaN,1,NaN,1,NaN,1,1,1,1,1,NaN,1,NaN,1,NaN
id6268,1,NaN,1,1,NaN,NaN,1,1,1,NaN,NaN,NaN,1,NaN,NaN,1,NaN
id6271,NaN,1,1,1,1,NaN,NaN,NaN,NaN,1,1,1,NaN,1,1,1,NaN
id6272,NaN,0.833333333333333,1,NaN,1,1,NaN,NaN,NaN,1,NaN,NaN,NaN,1,1,NaN,1
id6280,1,1,1,1,NaN,NaN,0.95,NaN,NaN,1,1,1,1,1,NaN,1,1
id6283,1,NaN,1,1,1,NaN,1,0.9,NaN,1,NaN,NaN,NaN,NaN,1,1,1
