Row,id11052,id11061,id11074,id11199,id11893,id11905,id11907,id11909,id11910,id11966,id11967,id11969,id11971,id14081,id14887,id14889,id15313,id15315,id15318,id15348,id15350,id15418,id16055,id16519,id16520,id16521,id16522,id16523,id16524,id8981,id8986,id9004,id9047,id9057,id9061,id9107,id9185,id9210,id9212,id9244,id9255,id9265,id9305,id9357,id9367,id9398,id9401,id9402,id9403,id9405,id9408,id9412,id9413,id9414,id9415,id9416,id9417,id9422,id9423,id9424,id9425,id9427,id9428,id9429,id9431,id9432,id9434,id9441,id9443,id9444,id9445,id9448,id9450,id9452,id9455,id9456,id9459,id9460,id9463,id9469,id9471,id9472,id9473,id9476,id9478,id9482,id9483,id9484,id9486,id9487,id9488,id9489,id9491,id9492,id9493,id9496,id9497,id9500,id9624,id9625
id11052,13,13,12,13,12,13,13,12,11,13,13,13,13,13,13,13,11,13,13,13,13,11,13,13,13,13,13,11,13,13,13,13,13,13,13,13,13,13,13,13,11,13,13,13,13,12,11,13,13,13,13,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,9,13,13,13,13,13,13,12,13,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,9,13,13,13,13,13,13,13,13,13
id11061,13,14,13,14,12,14,14,13,11,14,14,14,14,14,14,14,11,14,14,14,14,12,14,14,14,14,14,12,14,14,14,14,14,14,14,14,13,14,14,14,12,14,14,14,14,13,12,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,14,14,13,14,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,9,14,14,14,14,14,14,14,14,14
id11074,12,13,29,29,25,29,29,28,26,29,29,29,29,29,13,13,26,29,28,28,29,27,20,13,13,13,13,11,13,22,29,29,29,29,29,13,27,29,13,29,11,29,27,29,28,28,25,28,28,29,29,26,29,29,29,29,29,29,29,29,29,29,29,29,27,29,24,29,29,28,29,28,29,28,27,27,29,29,29,29,29,29,28,29,27,29,28,29,29,28,25,29,28,29,29,29,29,29,29,28
id11199,13,14,29,51,46,51,51,49,48,51,51,51,51,32,14,14,27,30,29,29,30,28,21,14,14,14,14,12,14,23,30,30,51,30,30,14,46,50,14,51,12,30,49,30,41,50,45,50,50,51,51,47,51,51,51,51,51,50,51,51,51,51,51,49,49,51,44,51,51,50,50,48,51,49,49,49,51,51,51,51,51,50,49,51,49,51,49,51,51,50,46,50,50,51,51,50,51,51,50,50
id11893,12,12,25,46,47,47,47,45,46,47,47,47,47,28,12,12,25,26,25,25,26,24,18,12,12,12,12,10,12,20,26,26,47,26,26,12,44,46,12,47,10,26,46,26,36,46,42,46,46,47,47,44,47,47,47,47,47,46,47,47,47,47,47,45,45,47,40,47,47,46,46,45,47,44,45,47,47,47,47,47,47,46,46,47,46,47,45,47,47,46,44,46,47,47,47,46,47,47,46,47
id11905,13,14,29,51,47,52,52,50,49,52,52,52,52,32,14,14,27,30,29,29,30,28,21,14,14,14,14,12,14,23,30,30,52,30,30,14,47,51,14,52,12,30,50,30,41,51,46,51,51,52,52,48,52,52,52,52,52,51,52,52,52,52,52,50,50,52,45,52,52,51,51,49,52,49,50,50,52,52,52,52,52,51,50,52,50,52,50,52,52,51,47,51,51,52,52,51,52,52,51,51
id11907,13,14,29,51,47,52,52,50,49,52,52,52,52,32,14,14,27,30,29,29,30,28,21,14,14,14,14,12,14,23,30,30,52,30,30,14,47,51,14,52,12,30,50,30,41,51,46,51,51,52,52,48,52,52,52,52,52,51,52,52,52,52,52,50,50,52,45,52,52,51,51,49,52,49,50,50,52,52,52,52,52,51,50,52,50,52,50,52,52,51,47,51,51,52,52,51,52,52,51,51
id11909,12,13,28,49,45,50,50,50,47,50,50,50,50,30,13,13,25,28,27,27,28,26,19,13,13,13,13,11,13,21,28,28,50,28,28,13,45,49,13,50,11,28,48,28,40,49,45,49,49,50,50,47,50,50,50,50,50,49,50,50,50,50,50,48,48,50,44,50,50,49,49,47,50,47,49,48,50,50,50,50,50,49,48,50,48,50,48,50,50,50,46,49,49,50,50,49,50,50,49,49
id11910,11,11,26,48,46,49,49,47,49,49,49,49,49,29,11,11,26,27,26,26,27,25,18,11,11,11,11,9,11,20,27,27,49,27,27,11,45,48,11,49,9,27,47,27,38,49,43,48,48,49,49,45,49,49,49,49,49,48,49,49,49,49,49,47,47,49,42,49,49,48,48,46,49,46,47,49,49,49,49,49,49,48,47,49,47,49,47,49,49,48,46,48,48,49,49,48,49,49,48,48
id11966,13,14,29,51,47,52,52,50,49,52,52,52,52,32,14,14,27,30,29,29,30,28,21,14,14,14,14,12,14,23,30,30,52,30,30,14,47,51,14,52,12,30,50,30,41,51,46,51,51,52,52,48,52,52,52,52,52,51,52,52,52,52,52,50,50,52,45,52,52,51,51,49,52,49,50,50,52,52,52,52,52,51,50,52,50,52,50,52,52,51,47,51,51,52,52,51,52,52,51,51
