Row,id11260,id11261,id11264,id2603,id2739,id2740,id2741,id2750,id2754,id2756,id2757,id2758,id2759,id2761,id2762,id2765,id2768,id2769
id11243,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id11260,4,3,3,4,4,4,2,4,4,4,4,4,3,3,4,3,4,4
id11261,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3
id11264,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2
id11265,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id17113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id2603,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2
id2678,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id2711,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id2739,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id2740,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
id2741,2,1,2,2,2,2,NaN,2,2,2,2,2,2,1,2,2,2,2
id2744,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id2747,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id2750,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
id2754,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
id2756,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
id2757,3,2,3,3,3,3,2,3,3,3,3,3,2,2,3,2,2,3
id2758,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
id2759,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
id2761,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,3,4,4
id2762,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2
id2765,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id2767,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id2768,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
id2769,5,4,5,5,5,5,3,5,5,5,5,5,5,4,5,5,5,5
