Row,score_variable_k,score_fixed_k,count,difference,name,sponsor_id,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,year
id16411,1638.57523847557,1617.21912243226,3129,21.3561160433167,Dave Considine,16411,Dave,,Considine,,,0,D,1,Rep,HD-081,2015
id15726,1637.50752977713,1615.37026582238,5251,22.1372639547446,Dana Wachs,15726,Dana,,Wachs,,,0,D,1,Rep,HD-091,2015
id12294,1627.48235801371,1607.45879190026,5211,20.0235661134429,Dean Knudson,12294,Dean,,Knudson,,,1,R,1,Rep,HD-030,2015
id16407,1567.41956169844,1530.02666606373,3592,37.3928956347104,Scott Allen,16407,Scott,E.,Allen,,,1,R,1,Rep,HD-097,2015
id16427,1567.26896282779,1529.57232813832,3777,37.6966346894658,Amanda Stuck,16427,Amanda,,Stuck,,,0,D,1,Rep,HD-057,2015
id15723,1567.16152225151,1532.42239523263,3603,34.7391270188841,Daniel Riemer,15723,Daniel,,Riemer,,,0,D,1,Rep,HD-007,2015
id3819,1563.81186861139,1523.21159987881,5529,40.600268732577,Christine Sinicki,3819,Christine,,Sinicki,,,0,D,1,Rep,HD-020,2015
id15719,1562.31099996934,1519.87381230214,5588,42.4371876672078,Dianne Hesselbein,15719,Dianne,Helen,Hesselbein,,,0,D,1,Rep,HD-079,2015
id15362,1561.60039374423,1518.5116518431,5807,43.0887419011301,LaTonya Johnson,15362,LaTonya,,Johnson,,,0,D,1,Rep,HD-017,2015
id16408,1561.53516356207,1518.19791523012,3777,43.3372483319515,David Bowen,16408,David,,Bowen,,,0,D,1,Rep,HD-010,2015
id13125,1561.44490315931,1518.4435118657,5807,43.0013912936065,David Craig,13125,David,J.,Craig,,Dave,1,R,1,Rep,HD-083,2015
id14585,1561.40949770977,1518.61909208842,5807,42.7904056213581,Rob Swearingen,14585,Rob,,Swearingen,,,1,R,1,Rep,HD-034,2015
id3956,1561.3129707412,1518.57943907271,5807,42.7335316684967,Jeff Fitzgerald,3956,Jeff,,Fitzgerald,,,1,R,1,Rep,HD-039,2015
id3870,1561.19926991508,1518.49842617953,5807,42.7008437355444,Samantha Kerkman,3870,Samantha,,Kerkman,,,1,R,1,Rep,HD-061,2015
id13308,1560.7434845576,1517.80819033274,5723,42.9352942248618,Chris Taylor,13308,Chris,,Taylor,,,0,D,1,Rep,HD-076,2015
id15101,1560.66679689229,1516.85263023042,5385,43.8141666618751,Thomas Weatherston,15101,Thomas,Roger,Weatherston,,,1,R,1,Rep,HD-062,2015
id15718,1560.61538144345,1515.41559358161,5807,45.1997878618433,Eric Genrich,15718,Eric,,Genrich,,,0,D,1,Rep,HD-090,2015
id3851,1560.0210866325,1518.47678034326,5667,41.5443062892375,Gordon Hintz,3851,Gordon,,Hintz,,,0,D,1,Rep,HD-054,2015
