Row,score_variable_k,score_fixed_k,count,difference,name,sponsor_id,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,year
id14585,1645.79443901116,1675.39393914253,419,-29.5995001313661,Rob Swearingen,14585,Rob,,Swearingen,,,1,R,1,Rep,HD-034,2015
id3896,1645.56566749598,1668.26571215869,419,-22.7000446627058,Lee Nerison,3896,Lee,,Nerison,,,1,R,1,Rep,HD-096,2015
id3934,1645.04424149843,1672.21198371668,419,-27.1677422182458,Jim Ott,3934,Jim,,Ott,,,1,R,1,Rep,HD-023,2015
id3845,1644.66698378159,1673.91110713815,419,-29.2441233565535,Gary Hebl,3845,Gary,,Hebl,,,0,D,1,Rep,HD-046,2015
id12268,1644.63411990664,1672.95087895023,419,-28.3167590435894,Jim Steineke,12268,Jim,,Steineke,,,1,R,1,Rep,HD-005,2015
id17720,1644.23564012696,1639.82427202957,95,4.41136809738646,Cindi Duchow,17720,Cindi,,Duchow,,,1,R,1,Rep,HD-099,2015
id3834,1643.87227408913,1670.07092924837,419,-26.1986551592422,Leon Young,3834,Leon,D.,Young,,,0,D,1,Rep,HD-016,2015
id15724,1643.33964453411,1671.87497169506,419,-28.535327160947,Melissa Sargent,15724,Melissa,Agard,Sargent,,,0,D,1,Rep,HD-048,2015
id3914,1643.10243070078,1675.14275179812,419,-32.0403210973429,Josh Zepnick,3914,Josh,,Zepnick,,,0,D,1,Rep,HD-009,2015
id16023,1642.97419487972,1670.64657015952,419,-27.6723752798,Adam Neylon,16023,Adam,,Neylon,,,1,R,1,Rep,HD-098,2015
id3926,1642.4213381634,1672.08916147559,419,-29.6678233121879,Frederick Kessler,3926,Frederick,P.,Kessler,,,0,D,1,Rep,HD-012,2015
id16422,1642.10676051344,1678.12000555267,284,-36.0132450392266,Todd Novak,16422,Todd,,Novak,,,1,R,1,Rep,HD-051,2015
id3922,1641.68828198093,1670.80347900212,419,-29.115197021197,John Nygren,3922,John,,Nygren,,,1,R,1,Rep,HD-089,2015
id16429,1641.03365906368,1672.89358224303,284,-31.8599231793542,Nancy Vander Meer,16429,Nancy,Lynn,Vander Meer,,,1,R,1,Rep,HD-070,2015
id3844,1640.97616609552,1667.88334907118,419,-26.9071829756588,Gary Tauchen,3844,Gary,,Tauchen,,,1,R,1,Rep,HD-006,2015
id3846,1640.84618418598,1668.54413027036,419,-27.6979460843811,Jeffrey Mursau,3846,Jeffrey,L.,Mursau,,,1,R,1,Rep,HD-036,2015
id12300,1640.51971995871,1664.98569565453,419,-24.4659756958208,Warren Petryk,12300,Warren,,Petryk,,,1,R,1,Rep,HD-093,2015
id15094,1640.17259595557,1660.17926834384,419,-20.0066723882694,John Jagler,15094,John,,Jagler,,,1,R,1,Rep,HD-037,2015
id3956,1640.13515189892,1670.46008139507,419,-30.3249294961452,Jeff Fitzgerald,3956,Jeff,,Fitzgerald,,,1,R,1,Rep,HD-039,2015
id16411,1639.86112619651,1669.17509640388,284,-29.3139702073681,Dave Considine,16411,Dave,,Considine,,,0,D,1,Rep,HD-081,2015
id16410,1638.536538071,1671.00200341324,284,-32.4654653422424,Jonathan Brostoff,16410,Jonathan,,Brostoff,,,0,D,1,Rep,HD-019,2015
id3812,1638.19535608387,1662.46159759045,419,-24.2662415065824,Sondy Pope-Roberts,3812,Sondy,,Pope-Roberts,,,0,D,1,Rep,HD-080,2015
id16062,1638.16861084901,1657.96570222233,352,-19.7970913733152,Jessie Rodriguez,16062,Jessie,,Rodriguez,,,1,R,1,Rep,HD-021,2015
id16408,1637.59024793032,1667.96767837949,284,-30.3774304491751,David Bowen,16408,David,,Bowen,,,0,D,1,Rep,HD-010,2015
id15723,1637.3419646978,1668.93505395983,351,-31.5930892620252,Daniel Riemer,15723,Daniel,,Riemer,,,0,D,1,Rep,HD-007,2015
id15362,1637.09203134718,1657.3882058752,419,-20.2961745280163,LaTonya Johnson,15362,LaTonya,,Johnson,,,0,D,1,Rep,HD-017,2015
id12286,1636.90113146366,1658.16401266682,419,-21.2628812031674,Jocasta Zamarripa,12286,Jocasta,,Zamarripa,,,0,D,1,Rep,HD-008,2015
id16417,1636.80496445737,1667.46851608335,284,-30.6635516259717,Terry Katsma,16417,Terry,,Katsma,,,1,R,1,Rep,HD-026,2015
id3895,1636.563585493,1656.39052878762,419,-19.8269432946179,John Murtha,3895,John,,Murtha,,,1,R,1,Rep,HD-029,2015
id12275,1635.54088247601,1676.08185500923,419,-40.5409725332154,Mike Kuglitsch,12275,Mike,,Kuglitsch,,,1,R,1,Rep,HD-084,2015
id12291,1635.11378282213,1674.74278298671,419,-39.6290001645827,Tyler August,12291,Tyler,,August,,,1,R,1,Rep,HD-032,2015
id16418,1634.97935407361,1658.71210517307,284,-23.7327510994576,Joel Kitchens,16418,Joel,Coulombe,Kitchens,,,1,R,1,Rep,HD-001,2015
id16427,1634.77581749347,1657.37747175653,284,-22.6016542630557,Amanda Stuck,16427,Amanda,,Stuck,,,0,D,1,Rep,HD-057,2015
id16428,1634.77092965529,1659.0068975547,284,-24.2359678994103,Lisa Subeck,16428,Lisa,,Subeck,,,0,D,1,Rep,HD-078,2015
id15719,1634.4424559682,1658.164481621,351,-23.7220256527921,Dianne Hesselbein,15719,Dianne,Helen,Hesselbein,,,0,D,1,Rep,HD-079,2015
id15101,1633.88860903394,1666.98148956133,351,-33.0928805273959,Thomas Weatherston,15101,Thomas,Roger,Weatherston,,,1,R,1,Rep,HD-062,2015
id16421,1632.85387857376,1657.34538788865,284,-24.4915093148879,Beth Meyers,16421,Beth,,Meyers,,,0,D,1,Rep,HD-074,2015
id3897,1632.84658207954,1672.83632293275,352,-39.9897408532095,Keith Ripp,3897,Keith,,Ripp,,,1,R,1,Rep,HD-042,2015
id16425,1632.72515957245,1657.31827986592,284,-24.5931202934648,Mark Spreitzer,16425,Mark,,Spreitzer,,,0,D,1,Rep,HD-045,2015
id3891,1631.71394113431,1674.39094920211,419,-42.6770080678011,Ed Brooks,3891,Ed,,Brooks,,,1,R,1,Rep,HD-050,2015
id3824,1631.24113227842,1672.19907876219,419,-40.9579464837666,Andrew Jorgensen,3824,Andrew,Earl,Jorgensen,,,0,D,1,Rep,HD-043,2015
id12269,1630.57714257712,1667.32061282246,352,-36.7434702453409,Travis Tranel,12269,Travis,,Tranel,,,1,R,1,Rep,HD-049,2015
id15099,1630.11320077461,1667.30216386835,419,-37.1889630937364,John Spiros,15099,John,,Spiros,,,1,R,1,Rep,HD-086,2015
id13657,1629.90924080205,1674.31848700798,419,-44.4092462059243,Jill Billings,13657,Jill,E.,Billings,,,0,D,1,Rep,HD-095,2015
id3804,1628.4756912592,1668.17458614234,419,-39.6988948831324,Terese Berceau,3804,Terese,,Berceau,,,0,D,1,Rep,HD-077,2015
id12298,1627.53149538351,1667.24627365942,419,-39.7147782759043,Amy Loudenbeck,12298,Amy,,Loudenbeck,,,1,R,1,Rep,HD-031,2015
id3870,1625.17040867631,1659.96922400036,419,-34.7988153240483,Samantha Kerkman,3870,Samantha,,Kerkman,,,1,R,1,Rep,HD-061,2015
id13126,1624.80825688629,1666.15291482865,324,-41.3446579423576,Steve Doyle,13126,Steve,,Doyle,,,0,D,1,Rep,HD-094,2015
id15718,1623.87243506726,1666.88558278733,419,-43.0131477200705,Eric Genrich,15718,Eric,,Genrich,,,0,D,1,Rep,HD-090,2015
id3851,1622.53549774072,1670.02221706076,419,-47.4867193200389,Gordon Hintz,3851,Gordon,,Hintz,,,0,D,1,Rep,HD-054,2015
id13308,1621.43997498277,1667.95959828025,419,-46.5196232974818,Chris Taylor,13308,Chris,,Taylor,,,0,D,1,Rep,HD-076,2015
id15360,1621.15300546704,1662.5674246201,419,-41.4144191530654,Mandela Barnes,15360,Mandela,,Barnes,,,0,D,1,Rep,HD-011,2015
id15725,1620.77798029368,1665.68372258315,419,-44.9057422894721,Katrina Shankland,15725,Katrina,,Shankland,,,0,D,1,Rep,HD-071,2015
id3808,1619.94021688055,1672.27279436503,419,-52.3325774844757,Cory Mason,3808,Cory,,Mason,,,0,D,1,Rep,HD-066,2015
id15726,1619.33073205459,1668.8247778877,419,-49.494045833115,Dana Wachs,15726,Dana,,Wachs,,,0,D,1,Rep,HD-091,2015
id3806,1618.26616180751,1658.17770623448,419,-39.9115444269785,Christopher Danou,3806,Christopher,,Danou,,,0,D,1,Rep,HD-092,2015
id15721,1616.85865021296,1673.22186276785,419,-56.3632125548902,Tod Ohnstad,15721,Tod,O.,Ohnstad,,,0,D,1,Rep,HD-065,2015
id15361,1616.03541869683,1665.91951638568,419,-49.8840976888453,Evan Goyke,15361,Evan,,Goyke,,,0,D,1,Rep,HD-018,2015
id3819,1615.68552810632,1657.61730008009,419,-41.931771973773,Christine Sinicki,3819,Christine,,Sinicki,,,0,D,1,Rep,HD-020,2015
id3825,1615.1995225711,1670.00974223782,419,-54.8102196667144,Peter Barca,3825,Peter,W.,Barca,,,0,D,1,Rep,HD-064,2015
id15720,1612.53386415953,1666.45660064562,419,-53.9227364860876,Debra Kolste,15720,Debra,,Kolste,,,0,D,1,Rep,HD-044,2015
id3869,1579.36063810314,1645.14168956626,325,-65.7810514631135,Nick Milroy,3869,Nick,,Milroy,,,0,D,1,Rep,HD-073,2015
id15095,1563.13328954435,1604.67872293216,324,-41.5454333878083,Robb Kahl,15095,Robb,,Kahl,,,0,D,1,Rep,HD-047,2015
id3933,1500,1500,0,0,Robin Vos,3933,Robin,,Vos,,,1,R,1,Rep,HD-063,2015
id16063,1410.30449788951,1291.81894323765,352,118.485554651858,Robert Kulp,16063,Robert,Allen,Kulp,,Bob,1,R,1,Rep,HD-069,2015
id3855,1403.74633867899,1280.93240426311,419,122.813934415879,Joan Ballweg,3855,Joan,A.,Ballweg,,,1,R,1,Rep,HD-041,2015
