Row,score_variable_k,score_fixed_k,count,difference,name,sponsor_id,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,year
id17720,1650.58931055289,1646.55508258303,1425000,4.41136809738646,Cindi Duchow,17720,Cindi,,Duchow,,,1,R,1,Rep,HD-099,2015
id16430,1272.84950970958,1198.1534748061,4260000,87.1949466544536,Tyler Vorpagel,16430,Tyler,,Vorpagel,,,1,R,1,Rep,HD-027,2015
id16429,1623.03818340398,1666.99860218508,4260000,-31.8599231793542,Nancy Vander Meer,16429,Nancy,Lynn,Vander Meer,,,1,R,1,Rep,HD-070,2015
id16428,1623.04885168337,1667.04064286852,4260000,-24.2359678994103,Lisa Subeck,16428,Lisa,,Subeck,,,0,D,1,Rep,HD-078,2015
id16427,1623.07459150285,1667.1220561014,4260000,-22.6016542630557,Amanda Stuck,16427,Amanda,,Stuck,,,0,D,1,Rep,HD-057,2015
id16426,1272.87302600637,1198.17137123227,4260000,85.7328640382193,David Steffen,16426,David,,Steffen,,,1,R,1,Rep,HD-004,2015
id16425,1623.02577895556,1666.97169177266,4260000,-24.5931202934648,Mark Spreitzer,16425,Mark,,Spreitzer,,,0,D,1,Rep,HD-045,2015
id16424,1272.90546455768,1198.25370309472,4260000,87.5445859935646,Michael Rohrkaste,16424,Michael,Karl,Rohrkaste,,Mike,1,R,1,Rep,HD-055,2015
id16423,1272.88098638713,1198.21242076258,4260000,85.0331199418006,Romaine Quinn,16423,Romaine,Robert,Quinn,,,1,R,1,Rep,HD-075,2015
id16422,1623.07889185756,1667.15348185193,4260000,-36.0132450392266,Todd Novak,16422,Todd,,Novak,,,1,R,1,Rep,HD-051,2015
id16421,1623.03941511708,1667.04279819595,4260000,-24.4915093148879,Beth Meyers,16421,Beth,,Meyers,,,0,D,1,Rep,HD-074,2015
id16420,1272.87934383696,1198.15321591765,4260000,91.1299464197145,John Macco,16420,John,,Macco,,,1,R,1,Rep,HD-088,2015
id16419,1272.88947837266,1198.19545617929,4260000,89.4641947776668,Jesse Kremer,16419,Jesse,,Kremer,,,1,R,1,Rep,HD-059,2015
id16418,1623.04091045986,1667.02348424956,4260000,-23.7327510994576,Joel Kitchens,16418,Joel,Coulombe,Kitchens,,,1,R,1,Rep,HD-001,2015
id16417,1623.06393454077,1667.13570608757,4260000,-30.6635516259717,Terry Katsma,16417,Terry,,Katsma,,,1,R,1,Rep,HD-026,2015
id16416,1272.9101049141,1198.28656644786,4260000,94.617349776883,Adam Jarchow,16416,Adam,,Jarchow,,,1,R,1,Rep,HD-028,2015
id16415,1272.91726464297,1198.25308546247,4260000,98.9009770208352,Cody Horlacher,16415,Cody,,Horlacher,,,1,R,1,Rep,HD-033,2015
