Row,score_variable_k,score_fixed_k,count,difference,name,sponsor_id,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,year
id15363,1554.048265894,1532.01102120969,62000,22.6746444261737,Nikiya Harris Dodd,15363,Nikiya,Q.,Harris Dodd,,,0,D,2,Sen,SD-006,2015
id15103,1318.47181763997,1375.40507128881,93000,-77.1810049347848,Richard Gudex,15103,Richard,,Gudex,,Rick,1,R,2,Sen,SD-018,2015
id13127,1176.75503871701,1273.38879534298,93000,-122.619474872856,Duey Stroebel,13127,Duey,,Stroebel,,,1,R,2,Sen,HD-060,2015
id12308,1586.28611172777,1563.10076990348,93000,-4.70512670693893,Janis Ringhand,12308,Janis,,Ringhand,,,0,D,2,Sen,SD-015,2015
id12306,1586.21977799445,1563.14998644521,93000,1.01884586855135,Janet Bewley,12306,Janet,T.,Bewley,,,0,D,2,Sen,SD-025,2015
id12304,1586.20473562377,1563.18203232101,93000,-2.73570322931914,Christopher Larson,12304,Christopher,,Larson,,,0,D,2,Sen,SD-007,2015
id12301,1586.48777829131,1563.25444125539,93000,-3.30816076126757,Thomas Tiffany,12301,Thomas,,Tiffany,,,1,R,2,Sen,SD-012,2015
id12299,1473.05712027772,1468.56134789584,93000,-27.4273507986561,Howard Marklein,12299,Howard,,Marklein,,,1,R,2,Sen,SD-017,2015
id12278,1500,1500,0,0,Paul Farrow,12278,Paul,F.,Farrow,,,1,R,2,Sen,SD-033,2015
id12277,1318.46679586543,1375.40290298627,93000,-77.0693124206248,Chris Kapenga,12277,Chris,,Kapenga,,,1,R,2,Sen,HD-099,2015
id12272,1586.28289794005,1563.11582580885,93000,-4.09827154693016,Terry Moulton,12272,Terry,,Moulton,,,1,R,2,Sen,SD-023,2015
id12271,1318.42567493824,1375.51626143204,93000,-76.8897024709911,Frank Lasee,12271,Frank,,Lasee,,,1,R,2,Sen,SD-001,2015
id12262,1116.9646700468,1213.10422656279,93000,-124.519457335778,Van Wanggaard,12262,Van,H.,Wanggaard,,,1,R,2,Sen,SD-021,2015
id3946,1318.600099611,1375.35491547046,93000,-86.3527113958378,Steve Nass,3946,Steve,,Nass,,,1,R,2,Sen,SD-011,2015
id3943,1586.17927436224,1563.11978511591,93000,-2.89836744486684,Leah Vukmir,3943,Leah,,Vukmir,,,1,R,2,Sen,SD-005,2015
id3920,1586.29542084613,1563.1304467366,93000,-4.59275509890062,Scott Fitzgerald,3920,Scott,L.,Fitzgerald,,,1,R,2,Sen,SD-013,2015
id3916,1586.44975661188,1563.23322259554,93000,0.843617460392352,Timothy Carpenter,3916,Timothy,W.,Carpenter,,,0,D,2,Sen,SD-003,2015
id3908,1472.72914592182,1468.38204362446,93000,-15.8083310697489,Sheila Harsdorf,3908,Sheila,,Harsdorf,,,1,R,2,Sen,SD-010,2015
id3906,1593.411504276,1561.68308788696,63000,19.2055652777651,Roger Roth,3906,Roger,J.,Roth,Jr.,,1,R,2,Sen,SD-019,2015
id3905,1593.59585524726,1561.76208455992,63000,19.2695980514166,Jerry Petrowski,3905,Jerry,,Petrowski,,,1,R,2,Sen,SD-029,2015
id3903,1318.28252839903,1375.20016804865,93000,-76.4927902139027,Mary Lazich,3903,Mary,,Lazich,,,1,R,2,Sen,SD-028,2015
id3902,1586.51425566481,1563.22350361007,93000,1.15530247625043,Alberta Darling,3902,Alberta,H.,Darling,,,1,R,2,Sen,SD-008,2015
id3894,1318.15171041831,1375.37018586449,93000,-77.136679136057,Daniel LeMahieu,3894,Daniel,,LeMahieu,,,1,R,2,Sen,HD-059,2015
id3887,1586.80181521889,1563.34912554919,93000,-3.4146084246529,Lena Taylor,3887,Lena,C.,Taylor,,,0,D,2,Sen,SD-004,2015
id3877,1586.38550790968,1563.16551135026,93000,1.69649090849703,Kathleen Vinehout,3877,Kathleen,,Vinehout,,,0,D,2,Sen,SD-031,2015
id3867,1586.41891116244,1563.2055872594,93000,-2.60399128303038,Jon Erpenbach,3867,Jon,,Erpenbach,,,0,D,2,Sen,SD-027,2015
id3866,1473.08027611209,1468.52405535868,93000,-18.9942909518588,Luther Olsen,3866,Luther,S.,Olsen,,,1,R,2,Sen,SD-014,2015
id3864,1586.40776896531,1563.22528582538,93000,-2.1030534293775,Fred Risser,3864,Fred,,Risser,,,0,D,2,Sen,SD-026,2015
id3858,1586.39335768915,1563.2425383299,93000,2.37411523456899,Robert Cowles,3858,Robert,L.,Cowles,,,1,R,2,Sen,SD-002,2015
id3840,1586.3443311768,1563.21777753609,93000,-2.92693715978044,Mark Miller,3840,Mark,,Miller,,,0,D,2,Sen,SD-016,2015
id3838,1586.31388336995,1563.14625821136,93000,0.857030827067092,Julie Lassa,3838,Julie,,Lassa,,,0,D,2,Sen,SD-024,2015
id3837,1586.12103734223,1563.1247690994,93000,-3.02287505600339,David Hansen,3837,David,N.,Hansen,,Dave,0,D,2,Sen,SD-030,2015
id3835,1586.16028594331,1563.01741438018,93000,-4.6281052091656,Robert Wirch,3835,Robert,W.,Wirch,,,0,D,2,Sen,SD-022,2015
id3818,1586.29238753406,1563.12955113474,93000,-3.27941958782458,Jennifer Shilling,3818,Jennifer,K.,Shilling,,,0,D,2,Sen,SD-032,2015
