Row,score_variable_k,score_fixed_k,count,difference,name,sponsor_id,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,year
id12278,1566.6826908317,1517.38893778994,95,49.2937530417548,Paul Farrow,12278,Paul,F.,Farrow,,,1,R,2,Sen,SD-033,2015
id15363,1564.675082586,1534.84051987447,126,29.8345627115241,Nikiya Harris Dodd,15363,Nikiya,Q.,Harris Dodd,,,0,D,2,Sen,SD-006,2015
id3943,1550.48482756425,1536.01699325197,238,14.4678343122871,Leah Vukmir,3943,Leah,,Vukmir,,,1,R,2,Sen,SD-005,2015
id3867,1549.72395867535,1535.11074132249,238,14.6132173528586,Jon Erpenbach,3867,Jon,,Erpenbach,,,0,D,2,Sen,SD-027,2015
id3838,1549.07004649645,1537.99167766444,238,11.0783688320146,Julie Lassa,3838,Julie,,Lassa,,,0,D,2,Sen,SD-024,2015
id3864,1548.53900384364,1537.18267499251,238,11.3563288511377,Fred Risser,3864,Fred,,Risser,,,0,D,2,Sen,SD-026,2015
id3877,1548.48377543862,1536.32738645566,238,12.1563889829642,Kathleen Vinehout,3877,Kathleen,,Vinehout,,,0,D,2,Sen,SD-031,2015
id3902,1547.76641044989,1536.55547897657,238,11.2109314733129,Alberta Darling,3902,Alberta,H.,Darling,,,1,R,2,Sen,SD-008,2015
id12304,1547.74077321767,1537.71318122541,238,10.0275919922587,Christopher Larson,12304,Christopher,,Larson,,,0,D,2,Sen,SD-007,2015
id3887,1547.6822054043,1537.6559062921,238,10.0262991121988,Lena Taylor,3887,Lena,C.,Taylor,,,0,D,2,Sen,SD-004,2015
id3840,1547.18927059457,1535.81809658885,238,11.371174005719,Mark Miller,3840,Mark,,Miller,,,0,D,2,Sen,SD-016,2015
id3837,1545.79064162215,1527.41925762325,238,18.3713839988984,David Hansen,3837,David,N.,Hansen,,Dave,0,D,2,Sen,SD-030,2015
id3905,1545.6454625326,1530.7098615559,219,14.9356009767084,Jerry Petrowski,3905,Jerry,,Petrowski,,,1,R,2,Sen,SD-029,2015
id13127,1537.62573291599,1537.30830848949,124,0.317424426500793,Duey Stroebel,13127,Duey,,Stroebel,,,1,R,2,Sen,HD-060,2015
id12262,1536.35196831712,1537.22576891857,143,-0.873800601455059,Van Wanggaard,12262,Van,H.,Wanggaard,,,1,R,2,Sen,SD-021,2015
id12306,1535.61613100345,1536.05938364599,124,-0.443252642540301,Janet Bewley,12306,Janet,T.,Bewley,,,0,D,2,Sen,SD-025,2015
id12277,1534.76017209286,1532.67042937236,124,2.08974272050887,Chris Kapenga,12277,Chris,,Kapenga,,,1,R,2,Sen,HD-099,2015
id12308,1533.98104391951,1528.89965475049,124,5.08138916901544,Janis Ringhand,12308,Janis,,Ringhand,,,0,D,2,Sen,SD-015,2015
id3835,1524.82833600723,1534.53392582551,238,-9.70558981827708,Robert Wirch,3835,Robert,W.,Wirch,,,0,D,2,Sen,SD-022,2015
id3903,1524.42363812053,1518.87454748154,238,5.54909063898685,Mary Lazich,3903,Mary,,Lazich,,,1,R,2,Sen,SD-028,2015
id3916,1523.42852455376,1530.40963507885,238,-6.98111052509103,Timothy Carpenter,3916,Timothy,W.,Carpenter,,,0,D,2,Sen,SD-003,2015
id12301,1509.4121671357,1536.03085275523,219,-26.6186856195322,Thomas Tiffany,12301,Thomas,,Tiffany,,,1,R,2,Sen,SD-012,2015
id3818,1495.05573743809,1533.50276361395,219,-38.4470261758629,Jennifer Shilling,3818,Jennifer,K.,Shilling,,,0,D,2,Sen,SD-032,2015
id3858,1491.18240999,1494.57741152269,238,-3.39500153268364,Robert Cowles,3858,Robert,L.,Cowles,,,1,R,2,Sen,SD-002,2015
id12272,1479.10959840569,1532.33226369719,238,-53.2226652915015,Terry Moulton,12272,Terry,,Moulton,,,1,R,2,Sen,SD-023,2015
id3920,1476.46499844588,1486.10981034423,238,-9.64481189834805,Scott Fitzgerald,3920,Scott,L.,Fitzgerald,,,1,R,2,Sen,SD-013,2015
id3908,1476.27621939286,1523.51244445711,238,-47.2362250642509,Sheila Harsdorf,3908,Sheila,,Harsdorf,,,1,R,2,Sen,SD-010,2015
id15103,1433.71468423607,1343.95709163826,219,89.7575925978128,Richard Gudex,15103,Richard,,Gudex,,Rick,1,R,2,Sen,SD-018,2015
id3866,1432.88532239277,1342.60520377562,215,90.2801186171534,Luther Olsen,3866,Luther,S.,Olsen,,,1,R,2,Sen,SD-014,2015
id12299,1426.14707391774,1348.31169064224,124,77.8353832755042,Howard Marklein,12299,Howard,,Marklein,,,1,R,2,Sen,SD-017,2015
id12271,1417.64455182027,1437.88116575867,238,-20.2366139383992,Frank Lasee,12271,Frank,,Lasee,,,1,R,2,Sen,SD-001,2015
id3894,1349.37439625472,1439.43082424579,124,-90.0564279910657,Daniel LeMahieu,3894,Daniel,,LeMahieu,,,1,R,2,Sen,HD-059,2015
id3946,1349.34543856723,1440.06606722358,124,-90.7206286563492,Steve Nass,3946,Steve,,Nass,,,1,R,2,Sen,SD-011,2015
id3906,1301.48901953518,1344.9700431491,93,-43.4810236139165,Roger Roth,3906,Roger,J.,Roth,Jr.,,1,R,2,Sen,SD-019,2015
