Row,id12258,id12264,id12267,id12276,id12286,id12294,id12295,id12296,id12300,id13125,id13126,id13308,id13657,id15092,id15095,id15096,id15097,id15100,id15360,id15361,id15362,id15718,id15719,id15720,id15721,id15723,id15724,id15726,id16408,id16410,id16419,id3804,id3806,id3808,id3812,id3819,id3825,id3834,id3845,id3846,id3847,id3851,id3855,id3869,id3870,id3886,id3891,id3897,id3914,id3922,id3938,id3942
id12258,68,68,67,68,68,64,60,64,68,63,63,58,49,33,33,35,35,37,37,37,37,37,35,35,37,29,37,36,15,15,12,64,68,66,68,66,68,68,60,68,68,66,68,62,68,67,68,64,67,65,67,68
id12264,57,57,53,56,57,52,43,54,57,53,53,52,43,35,34,36,36,37,37,37,37,37,35,34,37,23,37,36,16,16,14,56,57,57,57,56,57,57,49,57,57,53,56,56,56,57,56,55,55,54,56,57
id12267,41,41,39,41,41,39,35,40,41,38,38,36,29,17,19,20,19,21,21,20,21,21,21,20,21,14,21,21,12,12,12,39,41,40,41,37,41,41,36,41,41,39,41,39,41,41,40,41,40,40,40,41
id12268,30,30,30,30,30,25,30,29,30,27,27,25,19,6,6,6,6,7,7,7,7,7,7,5,7,7,7,7,1,1,1,27,30,30,30,27,30,30,25,30,30,30,30,27,29,30,30,30,30,29,29,30
id12269,20,20,20,20,20,20,14,19,20,15,15,15,12,10,11,11,11,11,11,11,11,11,10,11,11,4,11,11,7,7,6,20,20,20,20,20,20,20,18,20,20,20,20,20,20,20,19,20,19,18,19,20
id12275,32,32,32,32,32,29,27,31,32,29,29,28,27,20,22,21,20,22,22,22,22,22,22,21,22,19,22,21,12,12,11,31,31,32,32,29,32,32,30,32,32,32,32,30,32,31,31,27,32,31,31,32
id12276,71,71,70,71,71,62,65,66,71,66,66,61,51,35,35,35,37,38,38,38,38,38,37,37,38,33,38,36,13,13,8,65,71,68,71,65,71,71,62,71,71,69,71,66,71,69,71,68,71,67,70,71
id12286,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3
id12291,24,24,24,24,24,23,23,23,24,20,20,19,17,14,16,15,14,16,16,16,16,16,16,16,16,16,16,16,7,7,6,22,24,24,24,22,24,24,21,24,24,24,24,23,24,23,24,22,24,24,23,24
id12294,40,40,38,39,40,38,32,38,40,38,38,36,34,25,26,26,25,27,27,26,27,27,27,26,27,21,27,26,20,20,16,37,40,38,40,38,40,40,37,40,40,38,40,36,40,40,40,37,38,40,39,40
id12295,40,40,40,40,40,37,33,37,40,36,36,33,31,22,24,23,23,25,25,24,25,25,25,24,25,17,25,24,16,16,15,39,40,38,40,37,40,40,37,40,40,40,40,36,40,39,40,37,39,39,39,40
id12296,50,50,48,50,50,48,41,47,50,48,48,46,43,33,31,35,34,36,36,36,34,34,35,35,36,27,36,35,21,21,17,47,50,48,50,48,50,50,48,50,50,47,50,47,50,50,50,48,49,47,49,50
id12298,14,14,14,14,14,12,11,14,14,14,14,14,13,11,10,12,11,12,12,12,12,12,11,10,12,10,12,12,4,4,4,13,14,13,14,13,14,14,13,14,14,14,14,12,14,13,14,13,14,14,14,14
id12300,27,27,27,27,27,26,21,27,27,24,24,22,16,12,11,12,12,12,12,12,12,12,12,12,12,5,12,11,7,7,7,25,27,26,27,25,27,27,24,27,27,27,26,26,27,27,27,27,26,27,26,27
id13125,59,59,58,59,59,54,48,55,59,59,59,59,55,44,43,46,45,48,48,48,48,48,48,46,48,38,48,45,25,25,20,56,58,57,59,54,59,59,55,59,59,58,59,55,59,58,59,56,59,56,59,59
id13126,4,4,4,4,4,4,4,4,4,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4
id13308,2,2,2,2,2,1,2,2,2,2,2,2,1,NaN,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
id13347,24,23,24,24,24,21,13,24,24,24,24,24,24,22,21,23,22,24,24,24,21,21,24,24,24,16,24,21,23,24,19,24,24,22,24,23,24,24,23,24,24,24,24,21,24,24,24,21,24,24,24,24
id13657,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,NaN,NaN,NaN,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4
id14585,12,12,12,11,12,12,9,11,12,12,12,12,12,11,11,12,12,12,12,12,12,12,12,12,12,7,12,12,7,7,7,12,12,10,12,11,12,12,11,12,12,12,12,12,12,12,12,12,11,12,12,12
id15091,26,26,26,26,26,25,19,23,26,26,26,26,26,22,23,25,23,26,26,26,26,26,26,25,26,22,26,26,14,14,13,26,26,25,26,25,26,26,26,26,26,25,26,25,26,26,26,24,26,23,26,26
id15092,37,37,37,36,37,34,26,35,37,37,37,37,37,34,32,36,35,37,37,36,36,36,37,35,37,25,37,34,27,27,24,36,37,34,37,35,37,37,36,37,37,37,37,35,37,37,37,33,35,37,37,37
id15093,29,29,29,29,29,26,21,27,29,29,29,29,29,27,25,27,27,29,29,29,29,29,29,28,29,24,29,28,21,21,18,29,28,27,29,25,29,29,28,29,29,29,29,27,29,29,29,26,29,28,29,29
id15094,23,23,23,23,23,20,17,21,23,23,23,23,23,20,20,23,21,23,23,22,21,21,23,22,23,19,23,21,17,17,14,22,23,23,23,22,23,23,23,23,23,22,23,22,23,23,23,20,22,22,23,23
id15095,7,7,6,6,7,7,4,5,7,7,7,7,7,5,7,7,6,7,7,6,7,7,6,7,7,2,7,7,3,3,3,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,5,7,7,7
id15096,44,44,43,44,44,41,31,41,44,44,44,44,44,41,41,41,42,44,44,43,42,42,44,44,44,29,44,42,30,30,24,42,43,43,44,42,44,44,44,44,44,43,44,42,44,43,44,40,43,43,44,44
id15097,45,45,42,45,45,41,31,42,45,45,45,45,45,42,41,43,42,45,45,45,45,45,45,43,45,35,45,44,24,24,20,43,44,43,45,41,45,45,44,45,45,42,45,44,45,44,45,42,45,43,45,45
id15098,27,27,26,27,27,25,22,23,27,27,27,27,27,26,25,25,26,27,27,26,27,27,26,26,27,23,27,27,9,9,8,25,27,27,27,26,27,27,26,27,27,26,27,26,27,26,26,23,26,24,27,27
id15099,20,20,19,20,20,16,15,18,20,20,20,20,20,18,18,19,19,20,20,20,20,20,20,19,20,15,20,18,6,6,4,20,20,20,20,20,20,20,20,20,20,19,20,20,20,20,20,18,20,19,20,20
id15100,43,42,43,42,43,36,32,38,43,43,43,43,43,39,38,41,40,43,43,43,43,43,42,41,43,33,43,39,20,20,18,41,42,41,43,40,43,43,42,43,43,43,43,41,43,42,42,43,42,39,43,43
id15101,17,17,17,17,17,16,14,16,17,17,17,17,17,14,16,15,14,17,17,17,17,17,17,17,17,14,17,17,9,9,9,15,17,17,17,15,17,17,16,17,17,17,17,15,17,16,17,17,17,17,17,17
id15360,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id15361,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id15362,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id15718,3,3,3,3,3,3,2,3,3,3,3,3,3,1,3,3,2,3,3,3,3,3,3,3,3,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
id15719,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,NaN,1,1,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id15720,2,2,2,1,2,2,NaN,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,NaN,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
id15721,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,NaN,2,2,NaN,NaN,NaN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
id15723,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
id15724,1,1,1,NaN,1,1,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NaN,1,1,1
id15726,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id16023,9,9,9,9,9,9,5,9,9,9,9,9,9,7,9,9,7,9,9,9,9,9,9,9,9,7,9,8,8,8,5,9,9,9,9,7,9,9,8,9,9,9,9,9,9,9,9,7,9,9,9,9
id16062,11,11,11,11,11,10,4,11,11,11,11,11,11,10,11,11,10,11,11,11,11,11,11,11,11,1,11,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
id16063,23,23,23,23,23,19,13,23,23,23,23,23,23,20,22,23,21,23,23,23,23,23,23,22,23,14,23,20,19,20,16,23,22,22,23,20,23,23,22,23,23,22,23,23,23,23,23,21,23,23,23,23
id16124,18,18,17,18,18,17,10,17,18,18,18,18,18,15,16,17,16,18,18,17,18,18,18,18,18,12,18,17,15,16,15,18,17,18,18,15,18,18,17,18,18,17,18,16,18,18,18,15,17,18,18,18
id16407,19,18,19,19,19,17,12,18,19,19,19,19,19,17,15,18,17,19,19,18,18,18,19,19,19,13,19,16,19,19,16,19,18,17,19,17,19,19,18,19,19,19,19,17,19,19,19,18,18,19,19,19
id16408,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id16409,18,18,18,18,18,18,11,18,18,18,18,18,18,17,17,17,17,18,18,18,17,17,18,18,18,11,18,17,18,18,14,18,18,16,18,17,18,18,18,18,18,18,18,16,18,18,18,16,18,18,18,18
id16410,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
id16412,21,21,21,21,21,20,12,21,21,21,21,21,21,18,19,20,18,21,21,21,19,19,21,21,21,14,21,19,21,21,16,21,20,21,21,18,21,21,21,21,21,21,21,20,21,21,21,21,21,21,21,21
id16413,24,24,24,24,24,23,14,24,24,24,24,24,24,21,23,23,21,24,24,24,21,21,24,24,24,16,24,23,24,24,19,24,23,23,24,22,24,24,24,24,24,24,24,22,24,24,24,22,24,24,24,24
id16414,8,8,8,8,8,8,5,8,8,8,8,8,8,7,7,7,7,8,8,8,8,8,8,8,8,6,8,8,8,8,5,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8
id16415,23,23,23,23,23,22,15,23,23,23,23,23,23,20,22,22,20,23,23,23,22,22,23,23,23,16,23,22,23,23,17,23,22,22,23,21,23,23,22,23,23,23,23,21,23,23,23,21,23,23,23,23
id16416,20,20,20,20,20,17,13,20,20,20,20,20,20,19,15,19,19,20,20,20,20,20,20,20,20,11,20,15,20,20,16,20,20,18,20,19,20,20,20,20,20,20,20,18,20,20,20,20,20,20,20,20
id16417,10,10,10,10,10,8,5,10,10,10,10,10,10,9,10,10,9,10,10,10,10,10,10,10,10,4,10,8,10,10,9,10,9,9,10,8,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10
id16418,7,7,7,7,7,6,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,7,6,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
id16419,34,34,34,34,34,32,21,33,34,34,34,34,34,31,31,33,31,34,34,33,31,31,34,34,34,20,34,32,34,34,28,34,33,32,34,32,34,34,34,34,34,34,34,33,34,34,34,31,33,34,34,34
id16420,17,17,17,17,17,14,9,17,17,17,17,17,17,16,16,16,16,17,17,17,15,15,17,17,17,7,17,14,17,17,15,17,17,17,17,17,17,17,17,17,17,17,17,16,17,17,17,17,17,17,17,17
