Row,id12262,id12271,id12272,id12277,id12278,id12299,id12301,id12304,id12306,id12308,id13127,id15103,id15363,id3818,id3835,id3837,id3838,id3840,id3858,id3864,id3866,id3867,id3877,id3887,id3894,id3902,id3903,id3905,id3906,id3908,id3916,id3920,id3943,id3946
id12262,107,105,107,44,NaN,44,44,107,29,44,44,44,25,67,102,107,97,107,106,107,107,104,107,107,44,107,107,43,40,107,105,107,107,44
id12271,105,151,151,44,46,44,90,151,29,44,44,90,71,110,146,151,141,151,150,151,149,150,149,151,44,150,151,89,40,151,149,151,151,44
id12272,107,151,153,44,46,44,90,153,29,44,44,90,71,112,148,153,143,153,152,153,151,150,151,153,44,152,153,89,40,153,151,153,153,44
id12277,44,44,44,44,NaN,44,44,44,29,44,44,44,25,44,44,44,44,44,43,44,44,44,44,44,44,44,44,43,40,44,44,44,44,44
id12278,NaN,46,46,NaN,46,NaN,46,46,NaN,NaN,NaN,46,46,45,46,46,46,46,46,46,44,46,44,46,NaN,45,46,46,NaN,46,46,46,46,NaN
id12299,44,44,44,44,NaN,44,44,44,29,44,44,44,25,44,44,44,44,44,43,44,44,44,44,44,44,44,44,43,40,44,44,44,44,44
id12301,44,90,90,44,46,44,90,90,29,44,44,90,71,89,90,90,90,90,89,90,88,90,88,90,44,89,90,89,40,90,90,90,90,44
id12304,107,151,153,44,46,44,90,153,29,44,44,90,71,112,148,153,143,153,152,153,151,150,151,153,44,152,153,89,40,153,151,153,153,44
id12306,29,29,29,29,NaN,29,29,29,29,29,29,29,10,29,29,29,29,29,28,29,29,29,29,29,29,29,29,28,25,29,29,29,29,29
id12308,44,44,44,44,NaN,44,44,44,29,44,44,44,25,44,44,44,44,44,43,44,44,44,44,44,44,44,44,43,40,44,44,44,44,44
id13127,44,44,44,44,NaN,44,44,44,29,44,44,44,25,44,44,44,44,44,43,44,44,44,44,44,44,44,44,43,40,44,44,44,44,44
id15103,44,90,90,44,46,44,90,90,29,44,44,90,71,89,90,90,90,90,89,90,88,90,88,90,44,89,90,89,40,90,90,90,90,44
id15363,25,71,71,25,46,25,71,71,10,25,25,71,71,70,71,71,71,71,71,71,69,71,69,71,25,70,71,70,21,71,71,71,71,25
id3818,67,110,112,44,45,44,89,112,29,44,44,89,70,112,109,112,112,112,111,112,110,109,110,112,44,112,112,88,40,112,112,112,112,44
id3835,102,146,148,44,46,44,90,148,29,44,44,90,71,109,148,148,138,148,147,148,146,145,146,148,44,147,148,89,40,148,148,148,148,44
id3837,107,151,153,44,46,44,90,153,29,44,44,90,71,112,148,153,143,153,152,153,151,150,151,153,44,152,153,89,40,153,151,153,153,44
id3838,97,141,143,44,46,44,90,143,29,44,44,90,71,112,138,143,143,143,142,143,141,140,141,143,44,142,143,89,40,143,141,143,143,44
id3840,107,151,153,44,46,44,90,153,29,44,44,90,71,112,148,153,143,153,152,153,151,150,151,153,44,152,153,89,40,153,151,153,153,44
id3858,106,150,152,43,46,43,89,152,28,43,43,89,71,111,147,152,142,152,152,152,150,149,150,152,43,151,152,88,39,152,150,152,152,43
id3864,107,151,153,44,46,44,90,153,29,44,44,90,71,112,148,153,143,153,152,153,151,150,151,153,44,152,153,89,40,153,151,153,153,44
id3866,107,149,151,44,44,44,88,151,29,44,44,88,69,110,146,151,141,151,150,151,151,148,149,151,44,150,151,87,40,151,149,151,151,44
id3867,104,150,150,44,46,44,90,150,29,44,44,90,71,109,145,150,140,150,149,150,148,150,148,150,44,149,150,89,40,150,148,150,150,44
id3877,107,149,151,44,44,44,88,151,29,44,44,88,69,110,146,151,141,151,150,151,149,148,151,151,44,150,151,87,40,151,149,151,151,44
id3887,107,151,153,44,46,44,90,153,29,44,44,90,71,112,148,153,143,153,152,153,151,150,151,153,44,152,153,89,40,153,151,153,153,44
id3894,44,44,44,44,NaN,44,44,44,29,44,44,44,25,44,44,44,44,44,43,44,44,44,44,44,44,44,44,43,40,44,44,44,44,44
id3902,107,150,152,44,45,44,89,152,29,44,44,89,70,112,147,152,142,152,151,152,150,149,150,152,44,152,152,88,40,152,150,152,152,44
id3903,107,151,153,44,46,44,90,153,29,44,44,90,71,112,148,153,143,153,152,153,151,150,151,153,44,152,153,89,40,153,151,153,153,44
id3905,43,89,89,43,46,43,89,89,28,43,43,89,70,88,89,89,89,89,88,89,87,89,87,89,43,88,89,89,40,89,89,89,89,43
id3906,40,40,40,40,NaN,40,40,40,25,40,40,40,21,40,40,40,40,40,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
id3908,107,151,153,44,46,44,90,153,29,44,44,90,71,112,148,153,143,153,152,153,151,150,151,153,44,152,153,89,40,153,151,153,153,44
id3916,105,149,151,44,46,44,90,151,29,44,44,90,71,112,148,151,141,151,150,151,149,148,149,151,44,150,151,89,40,151,151,151,151,44
id3920,107,151,153,44,46,44,90,153,29,44,44,90,71,112,148,153,143,153,152,153,151,150,151,153,44,152,153,89,40,153,151,153,153,44
id3943,107,151,153,44,46,44,90,153,29,44,44,90,71,112,148,153,143,153,152,153,151,150,151,153,44,152,153,89,40,153,151,153,153,44
id3946,44,44,44,44,NaN,44,44,44,29,44,44,44,25,44,44,44,44,44,43,44,44,44,44,44,44,44,44,43,40,44,44,44,44,44
