chamb,thirdparty,republican,democratic,election_year,candidate,cumulative
0,0,0,1,2000,"ADAMS, ROLLA TINY",4
0,0,0,1,2002,"ADAMS, ROLLA TINY",5
0,0,0,1,2004,"ADAMS, ROLLA TINY",6
0,0,0,1,2000,"AGUILERA, JOHN CORNELIOUS",1
0,0,0,1,2002,"AGUILERA, JOHN CORNELIOUS",2
0,0,0,1,2004,"AGUILERA, JOHN CORNELIOUS",3
0,0,1,0,2000,"ALDERMAN, ROBERT K",13
0,0,1,0,2002,"ALDERMAN, ROBERT K",14
0,0,1,0,2004,"ALDERMAN, ROBERT K",15
0,0,1,0,2012,"ARNOLD, LLOYD",1
0,0,1,0,2014,"ARNOLD, LLOYD",2
0,0,1,0,2000,"ATTERHOLT, JAMES DOUGLAS (JIM)",2
0,0,0,1,2002,"AUSTIN, TERRI JO",1
0,0,0,1,2004,"AUSTIN, TERRI JO",2
0,0,0,1,2006,"AUSTIN, TERRI JO",3
0,0,0,1,2008,"AUSTIN, TERRI JO",4
0,0,0,1,2010,"AUSTIN, TERRI JO",5
0,0,0,1,2012,"AUSTIN, TERRI JO",6
0,0,0,1,2014,"AUSTIN, TERRI JO",7
0,0,0,1,2000,"AVERY, DENNIS T",14
0,0,0,1,2002,"AVERY, DENNIS T",15
0,0,0,1,2004,"AVERY, DENNIS T",16
0,0,0,1,2006,"AVERY, DENNIS T",17
0,0,0,1,2008,"AVERY, DENNIS T",18
0,0,1,0,2014,"AYLESWORTH, MICHEAL (MIKE)",1
0,0,1,0,2000,"AYRES, RALPH DONALD",11
0,0,1,0,2002,"AYRES, RALPH DONALD",12
0,0,1,0,2004,"AYRES, RALPH DONALD",13
0,0,1,0,2010,"BACON, RONALD",1
0,0,1,0,2012,"BACON, RONALD",2
0,0,1,0,2014,"BACON, RONALD",3
0,0,1,0,2010,"BAIRD, JAMES (JIM)",1
0,0,1,0,2012,"BAIRD, JAMES (JIM)",2
0,0,1,0,2014,"BAIRD, JAMES (JIM)",3
0,0,0,1,2000,"BARDON, JEB",2
0,0,0,1,2002,"BARDON, JEB",3
0,0,0,1,2004,"BARDON, JEB",4
0,0,0,1,2006,"BARDON, JEB",5
0,0,0,1,2008,"BARDON, JEB",6
0,0,0,1,2010,"BARDON, JEB",7
0,0,0,1,2008,"BARNES, JOHN",1
0,0,0,1,2008,"BARTLETT, JOHN L",1
0,0,0,1,2010,"BARTLETT, JOHN L",2
0,0,0,1,2012,"BARTLETT, JOHN L",3
0,0,0,1,2014,"BARTLETT, JOHN L",4
0,0,0,1,2006,"BATTLES, KREG",1
0,0,0,1,2008,"BATTLES, KREG",2
0,0,0,1,2010,"BATTLES, KREG",3
0,0,0,1,2012,"BATTLES, KREG",4
0,0,0,1,2000,"BAUER, B PATRICK",16
0,0,0,1,2002,"BAUER, B PATRICK",17
0,0,0,1,2004,"BAUER, B PATRICK",18
0,0,0,1,2006,"BAUER, B PATRICK",19
0,0,0,1,2008,"BAUER, B PATRICK",20
0,0,0,1,2010,"BAUER, B PATRICK",21
0,0,0,1,2012,"BAUER, B PATRICK",22
0,0,0,1,2014,"BAUER, B PATRICK",23
0,0,1,0,2000,"BECKER, VANETA G",11
0,0,1,0,2002,"BECKER, VANETA G",12
0,0,1,0,2004,"BECKER, VANETA G",13
0,0,1,0,2000,"BEHNING, ROBERT W (BOB)",5
0,0,1,0,2002,"BEHNING, ROBERT W (BOB)",6
0,0,1,0,2004,"BEHNING, ROBERT W (BOB)",7
0,0,1,0,2006,"BEHNING, ROBERT W (BOB)",8
0,0,1,0,2008,"BEHNING, ROBERT W (BOB)",9
0,0,1,0,2010,"BEHNING, ROBERT W (BOB)",10
0,0,1,0,2012,"BEHNING, ROBERT W (BOB)",11
0,0,1,0,2014,"BEHNING, ROBERT W (BOB)",12
0,0,1,0,2006,"BELL, MATTHEW (MATT)",2
0,0,1,0,2008,"BELL, MATTHEW (MATT)",3
0,0,1,0,2014,"BEUMER, GREG",2
0,0,0,1,2000,"BISCHOFF, ROBERT J",11
0,0,0,1,2002,"BISCHOFF, ROBERT J",12
0,0,0,1,2004,"BISCHOFF, ROBERT J",13
0,0,0,1,2006,"BISCHOFF, ROBERT J",14
0,0,0,1,2008,"BISCHOFF, ROBERT J",15
0,0,0,1,2008,"BLANTON, SANDRA",2
0,0,0,1,2000,"BODIKER, RICHARD WILLIAM SR (DICK)",11
0,0,1,0,2004,"BORDERS, BRUCE ALAN",1
0,0,1,0,2006,"BORDERS, BRUCE ALAN",2
0,0,1,0,2008,"BORDERS, BRUCE ALAN",3
0,0,1,0,2010,"BORDERS, BRUCE ALAN",4
0,0,1,0,2014,"BORDERS, BRUCE ALAN",1
0,0,1,0,2002,"BORROR, RANDY L",1
0,0,1,0,2004,"BORROR, RANDY L",2
0,0,1,0,2006,"BORROR, RANDY L",3
0,0,1,0,2008,"BORROR, RANDY L",4
0,0,1,0,2000,"BOSMA, BRIAN C",8
0,0,1,0,2002,"BOSMA, BRIAN C",9
0,0,1,0,2004,"BOSMA, BRIAN C",10
0,0,1,0,2006,"BOSMA, BRIAN C",11
0,0,1,0,2008,"BOSMA, BRIAN C",12
0,0,1,0,2010,"BOSMA, BRIAN C",13
0,0,1,0,2012,"BOSMA, BRIAN C",14
0,0,1,0,2014,"BOSMA, BRIAN C",15
0,0,0,1,2000,"BOTTORFF, JAMES L",6
0,0,0,1,2002,"BOTTORFF, JAMES L",7
0,0,0,1,2004,"BOTTORFF, JAMES L",8
