bill_number,bill_id,title
HB1,230084,"Policy For Securing Health Care Services"
HB2,230085,"Divest Investments In Iran"
HB3,230086,"Requirements For Driver's License"
HB4,230087,"Personnel Board Membership"
HB5,230088,"Constitutional History Curriculum"
HB6,230089,"Removing A Regent"
HB7,230090,"Synthetic Cannabinoids"
HB8,230091,"Federal Regulations & Executive Orders"
HB9,230092,"In-state Gasline Development Corp"
HB10,230093,"Noncommercial Trailer Registration Fee"
HB11,230094,"Colonoscopy: Pub. Employee Retirees"
HB12,230095,"Workers' Compensation Advisory Council"
HB13,230096,"Workers' Compensation: Medical Fees"
HB14,230097,"Exec Ethics: Legal Fees/family Travel"
HB15,230098,"Student Athlete Concussions"
HB16,230099,"Extend Senior Benefits/income Allowances"
HB17,230100,"Oil And Gas Production Tax"
HB18,230101,"Alaska Public Gardens Day"
HB19,230102,"Special Request License Plates"
HB20,230103,"Personal Use Fishing Priority"
HB21,230104,"Suicide Prevention Council Members"
HB22,230105,"No Cell Phone Use When Driving"
HB23,230106,"Computer Privacy"
HB24,230107,"Extend Regulatory Comm. Of Alaska Sunset"
HB25,230108,"Price Gouging Involving Energy Resources"
HB26,230109,"Construction Of Legislative Hall"
HB27,230110,"Disposition Of Service Members' Remains"
HB28,230111,"Occ. Licenses: Temporary/fees/pawnbrokers"
HB29,230112,"Public Retiree Medical Benefits Coverage"
HB30,230113,"Dedicated Transport Fund/pub Transport"
HB31,230114,"Transport. Infrastructure Fund Approp."
HB32,230115,"Oil And Gas And Gas Only Leasing"
HB33,230116,"Foster Care Licensing/state Custody"
HB34,230117,"Candidates Ineligible For Bds/commissions"
HB35,230118,"Ban Cell Phone Use When Driving"
HB36,230119,"Small Business Energy Efficiency Grants"
HB37,230120,"Net Energy Metering"
HB38,230121,"University Institutes Of Law And Medicine"
HB39,230122,"Rca Utility Rates; Refund Procedures"
HB40,230123,"Municipal Property Tax Exemption"
HB41,230124,"Municipal Residential Property Taxes"
HB42,230125,"Prescription Drug Discounts"
HB43,230126,"Prescriptions & Generic Drugs"
HB44,230127,"Prescription Drug Program"
HB45,230128,"Drug Marketing Costs"
HB46,230129,"Alaska Prescription Drug Task Force"
HB47,230130,"Clinical Trials Of Drugs/biol. Products"
HB48,230131,"Extend Senior Benefits Payment Program"
HB49,230132,"Early Childhood Ed: Parents As Teachers"
HB50,230133,"Access To Licensed Premises"
HB51,230134,"Child Care Ctrs: State Employees & Others"
HB52,230135,"Notice Municipal Selection Of State Land"
HB53,230136,"Grants To Children Of Inmates"
HB54,230137,"Approp: Grants To Children Of Inmates"
HB55,230138,"Knives, Gravity Knife & Switchblade"
HB56,230139,"Include Arson In Crimes Of Conspiracy"
HB57,230140,"Bicycle Program"
HB58,230141,"Mining Prod. & License Taxes/royalties"
HB59,230142,"Commercial Fishing Loan Act"
HB60,230143,"Geoduck Aquatic Farming/seed Transfer"
HB61,230144,"Advance Health Care Directives Registry"
HB62,230145,"Passenger Vehicle Rental Tax"
HB63,230146,"Flame Retardants And Toxic Chemicals"
HB64,230147,"Perm. Mot. Veh. Registration/trailers"
HB65,230148,"Senior Citizen Housing Dev. Fund Grants"
HB66,230149,"Tax On Gas For In State Manufacturing"
HB67,230150,"Film Production Tax Credit"
HB68,230151,"Ban Cell Phone Use When Driving"
HB69,230152,"Waive Park Fee For Veterans & Seniors"
HB70,230153,"Counting Of Write-in Votes"
HB71,230154,"Legislative Session Limit/procedures"
HB72,230155,"Antitrust Actions & Penalties"
HB73,230156,"Legislative Council & Lb&a Membership"
HB74,230157,"Info On Matters In Election Pamphlet"
HB75,230158,"Gift Cards And Certificates"
HB76,230159,"Stalking/sexual Assault Protective Orders"
HB77,230160,"Nonpartisan Blanket Primary Election"
HB78,230161,"Medical Provider Incentives/loan Repaym't"
HB79,230162,"Ins. Coverage: Autism Spectrum Disorder"
HB80,230163,"Self Defense"
HB81,230164,"Motor Vehicle Transactions"
HB82,230165,"Oil & Gas Tax Rebate For Res Workers"
HB83,230166,"Apprentice Hunting Program"
HB84,230167,"Police & Firefighter Death Benefits"
HB85,230168,"Mixing Zones/sewage Systems"
HB86,230169,"Ban Mixing Zones In Spawning Areas"
HB87,230170,"Antitrust Violation Penalties"
HB88,230171,"Use Of Foreign Law"
