bill_id,date,action
445178,2013-01-16,"PREFILE RELEASED 1/7/13"
445178,2013-01-16,"READ THE FIRST TIME - REFERRALS"
445178,2013-01-16,"STA, JUD"
445178,2013-01-22,"COSPONSOR(S): P.WILSON"
445178,2013-01-28,"COSPONSOR(S): KELLER, ISAACSON"
445178,2013-01-30,"STA RPT CS(STA) 7DP"
445178,2013-01-30,"DP: HUGHES, MILLETT, ISAACSON, KELLER, GATTIS, KREISS-TOMKINS, LYNN"
445178,2013-01-30,"FN1: ZERO(ADM)"
445178,2013-03-28,"JUD RPT CS(STA) 5DP 2NR"
445178,2013-03-28,"DP: MILLETT, PRUITT, LYNN, FOSTER, KELLER"
445178,2013-03-28,"NR: GRUENBERG, LEDOUX"
445178,2013-03-28,"FN1: ZERO(ADM)"
445178,2013-03-29,"RULES TO CALENDAR 3/29/2013"
445178,2013-03-29,"READ THE SECOND TIME"
445178,2013-03-29,"STA CS ADOPTED UNAN CONSENT"
445178,2013-03-29,"ADVANCED TO THIRD READING 4/1 CALENDAR"
445178,2013-03-29,"COSPONSOR(S): SADDLER"
445178,2013-04-01,"READ THE THIRD TIME CSHB 1(STA)"
445178,2013-04-01,"RETURN TO SECOND FOR AM 1 UNAN CONSENT"
445178,2013-04-01,"AM NO 1 ADOPTED UNAN CONSENT"
445178,2013-04-01,"AUTOMATICALLY IN THIRD READING"
445178,2013-04-01,"PASSED Y29 N7 E4"
445178,2013-04-01,"TRANSMITTED TO (S)"
445178,2013-04-01,"VERSION: CSHB 1(STA) AM"
445178,2013-04-02,"READ THE FIRST TIME - REFERRALS"
445178,2013-04-02,STA
445178,2013-04-04,"STA RPT 3DP 1AM"
445178,2013-04-04,"DP: DYSON, COGHILL, GIESSEL"
445178,2013-04-04,"AM: WIELECHOWSKI"
445178,2013-04-04,"FN1: ZERO(ADM)"
445178,2014-02-26,"RULES TO CALENDAR 2/26/2014"
445178,2014-02-26,"READ THE SECOND TIME"
445178,2014-02-26,"FN2: ZERO(ADM) (UPDATED FOR 2014)"
445178,2014-02-26,"ADVANCED TO THIRD READING 2/28 CALENDAR"
445178,2014-02-28,"READ THE THIRD TIME CSHB 1(STA) AM"
445178,2014-02-28,"PASSED Y13 N4 E3"
445178,2014-02-28,"RETURN TO (H), TRANSMIT TO GOV NEXT"
445178,2014-02-28,"VERSION: CSHB 1(STA) AM"
445178,2014-03-20,"12:48 PM 3/20 TRANSMITTED TO GOVERNOR"
445178,2014-03-26,"SIGNED INTO LAW 3/25 CHAPTER 1 SLA 14"
445178,2014-03-26,"EFFECTIVE DATE(S) OF LAW 6/23/14"
445184,2013-01-16,"PREFILE RELEASED 1/7/13"
445184,2013-01-16,"READ THE FIRST TIME - REFERRALS"
445184,2013-01-16,"STA, JUD"
445184,2013-01-16,"REFERRED TO STATE AFFAIRS"
445192,2013-01-16,"PREFILE RELEASED 1/7/13"
445192,2013-01-16,"READ THE FIRST TIME - REFERRALS"
445192,2013-01-16,"STA, JUD"
445192,2013-03-14,"STA RPT 2DP 1DNP 1NR 2AM"
445192,2013-03-14,"DP: KELLER, LYNN"
445192,2013-03-14,"DNP: KREISS-TOMKINS"
445192,2013-03-14,"NR: GATTIS"
445192,2013-03-14,"AM: HUGHES, ISAACSON"
445192,2013-03-14,"FN1: ZERO(GOV)"
445192,2013-04-06,"COSPONSOR REMOVED: MILLETT"
445192,2013-04-10,"JUD RPT 2DP 1DNP 2NR 1AM"
445192,2013-04-10,"DP: LYNN, KELLER"
445192,2013-04-10,"DNP: GRUENBERG"
445192,2013-04-10,"NR: PRUITT, LEDOUX"
445192,2013-04-10,"AM: FOSTER"
445192,2013-04-10,"FN1: ZERO(GOV)"
445192,2013-04-10,"REFERRED TO RULES"
445199,2013-01-16,"PREFILE RELEASED 1/7/13"
445199,2013-01-16,"READ THE FIRST TIME - REFERRALS"
445199,2013-01-16,"RES, FIN"
445199,2013-01-28,"COSPONSOR(S): OLSON"
445199,2013-01-30,"SPONSOR SUBSTITUTE INTRODUCED"
445199,2013-01-30,"READ THE FIRST TIME - REFERRALS"
445199,2013-01-30,"RES, FIN"
445199,2013-03-04,"RES RPT CS(RES) 6DP 1NR 2AM (CS FORTHCOMING)"
445199,2013-03-04,"DP: JOHNSON, HAWKER, P.WILSON, SEATON, OLSON, SADDLER"
445199,2013-03-04,"NR: TUCK"
445199,2013-03-04,"AM: TARR, FEIGE"
445199,2013-03-04,"FN1: (REV)"
445199,2013-03-04,"COSPONSOR(S): REINBOLD"
445199,2013-03-05,"CS(RES) NT RECEIVED"
445199,2013-03-28,"RLS TO CALENDAR PENDING REPORT"
445199,2013-03-28,"IN FINANCE"
445199,2013-03-28,"COSPONSOR(S): HOLMES, T.WILSON"
445199,2013-03-29,"RLS TO CALENDAR PENDING REPORT"
445199,2013-03-29,"IN FINANCE"
445199,2013-03-29,"COSPONSOR(S): THOMPSON"
445199,2013-04-01,"RLS TO CALENDAR PENDING REPORT"
445199,2013-04-01,"IN FINANCE"
445199,2013-04-01,"FIN RPT CS(FIN) NT 7DP 2NR 2AM"
445199,2013-04-01,"DP: HOLMES, MUNOZ, NEUMAN, THOMPSON, T.WILSON, COSTELLO, AUSTERMAN"
445199,2013-04-01,"NR: EDGMON, STOLTZE"
445199,2013-04-01,"AM: GARA, KAWASAKI"
445199,2013-04-01,"FN2: (H.FIN/VARIOUS DEPTS)"
445199,2013-04-01,"FN3: (H.FIN/FUND CAP)"
445199,2013-04-01,"RULES TO CALENDAR 4/1/2013"
445199,2013-04-01,"READ THE SECOND TIME"
445199,2013-04-01,"FIN CS ADOPTED UNAN CONSENT"
445199,2013-04-01,"AM NO 1 FAILED Y9 N30 E1"
445199,2013-04-01,"AM NO 2 FAILED Y9 N30 E1"
445199,2013-04-01,"AM NO 3 FAILED Y9 N30 E1"
445199,2013-04-01,"AM NO 4 FAILED Y11 N28 E1"
445199,2013-04-01,"AM NO 5 FAILED Y9 N30 E1"
445199,2013-04-01,"AM NO 6 FAILED Y9 N30 E1"
445199,2013-04-01,"AM NO 8 FAILED Y11 N28 E1"
445199,2013-04-01,"AM NO 7 FAILED Y9 N30 E1"
445199,2013-04-01,"ADVANCED TO THIRD READING UNAN CONSENT"
445199,2013-04-01,"READ THE THIRD TIME CSSSHB 4(FIN)"
445199,2013-04-01,"PASSED Y30 N9 E1"
445199,2013-04-01,"EFFECTIVE DATE(S) SAME AS PASSAGE"
445199,2013-04-01,"COSPONSOR(S): COSTELLO, NAGEAK, HIGGINS, ISAACSON, LEDOUX, LYNN"
445199,2013-04-01,"TRANSMITTED TO (S)"
445199,2013-04-01,"VERSION: CSSSHB 4(FIN)"
445199,2013-04-02,"READ THE FIRST TIME - REFERRALS"
445199,2013-04-02,"RES, FIN"
445199,2013-04-02,"CROSS SPONSOR(S): MICCICHE, MCGUIRE, GIESSEL, KELLY, DYSON, HUGGINS"
445199,2013-04-05,"RES RPT 3DP 1DNP 2NR"
445199,2013-04-05,"DP: GIESSEL, MCGUIRE, DYSON"
445199,2013-04-05,"DNP: FRENCH"
445199,2013-04-05,"NR: MICCICHE, FAIRCLOUGH"
445199,2013-04-05,"FN2: (H.FIN/VARIOUS DEPTS)"
445199,2013-04-05,"FN3: (H.FIN/FUND CAP)"
445199,2013-04-11,"FIN RPT SCS 4DP 2NR 1AM SAME TITLE"
445199,2013-04-11,"DP: KELLY, MEYER, HOFFMAN, FAIRCLOUGH"
445199,2013-04-11,"NR: BISHOP, OLSON"
445199,2013-04-11,"AM: DUNLEAVY"
445199,2013-04-11,"FN4: (S.FIN/CED)"
445199,2013-04-11,"FN5: (S.FIN/DOT)"
445199,2013-04-11,"FN6: (S.FIN/DEC)"
445199,2013-04-11,"FN7: (S.FIN/DEC)"
445199,2013-04-11,"FN8: (S.FIN/LAW)"
445199,2013-04-11,"FN9: (S.FIN/FUND CAP)"
445199,2013-04-11,"RULES TO CALENDAR 4/11/2013"
445199,2013-04-11,"READ THE SECOND TIME"
445199,2013-04-11,"ADVANCED TO THIRD READING 4/12 CALENDAR"
445199,2013-04-12,"READ THE THIRD TIME CSSSHB 4(FIN)"
445199,2013-04-12,"RETURN TO SECOND FOR ADOPTION OF SCS UNAN CONSENT"
445199,2013-04-12,"FIN SCS ADOPTED UNAN CONSENT"
445199,2013-04-12,"RETURN TO SECOND FOR AM 1 UNAN CONSENT"
445199,2013-04-12,"AM NO 1 FAILED Y7 N13"
445199,2013-04-12,"RETURN TO SECOND FOR AM 2 UNAN CONSENT"
445199,2013-04-12,"AM NO 2 FAILED Y4 N16"
445199,2013-04-12,"RETURN TO SECOND FOR AM 3 UNAN CONSENT"
445199,2013-04-12,"AM NO 3 FAILED Y4 N16"
445199,2013-04-12,"RETURN TO SECOND FOR AM 4 UNAN CONSENT"
445199,2013-04-12,"AM NO 4 FAILED Y5 N15"
445199,2013-04-12,"RETURN TO SECOND FOR AM 5 UNAN CONSENT"
445199,2013-04-12,"AM NO 5 FAILED Y8 N12"
445199,2013-04-12,"RETURN TO SECOND FOR AM 6 UNAN CONSENT"
445199,2013-04-12,"AM NO 6 FAILED Y4 N16"
445199,2013-04-12,"RETURN TO SECOND FOR AM 7 UNAN CONSENT"
445199,2013-04-12,"AM NO 7 FAILED Y5 N15"
445199,2013-04-12,"RETURN TO SECOND FOR AM 8 UNAN CONSENT"
445199,2013-04-12,"AM NO 8 FAILED Y5 N15"
445199,2013-04-12,"AUTOMATICALLY IN THIRD READING"
445199,2013-04-12,"PASSED Y15 N5"
445199,2013-04-12,"EFFECTIVE DATE(S) SAME AS PASSAGE"
445199,2013-04-12,"TRANSMITTED TO (H) AS AMENDED"
445199,2013-04-12,"VERSION: SCS CSSSHB 4(FIN)"
445199,2013-04-13,"CONCUR MESSAGE"
445199,2013-04-13,"CONCUR AM OF (S) Y34 N4 E2"
445199,2013-04-13,"EFFECTIVE DATE(S) SAME AS PASSAGE"
445199,2013-06-24,"LEG FINANCE APPROPRIATION MESSAGE 5/7/13"
445199,2013-06-24,"FN(S) ATTACHED TO APPROP. BILL HB 65"
445199,2013-06-24,"FN4: (S.FIN/CED)"
445199,2013-06-24,"FN5: (S.FIN/DOT)"
445199,2013-06-24,"FN6: (S.FIN/DEC)"
445199,2013-06-24,"FN7: (S.FIN/DEC)"
445199,2013-06-24,"FN8: (S.FIN/LAW)"
445199,2013-06-24,"FN9: (S.FIN/FUND CAP)"
445199,2013-06-24,"12:15 PM 5/10/13 TRANSMITTED TO GOVERNOR"
445199,2013-06-24,"MANIFEST ERROR(S)"
445199,2013-06-24,"SIGNED INTO LAW 5/21 CHAPTER 11 SLA 13"
445199,2013-06-24,"EFFECTIVE DATE(S) OF LAW 5/22/13"
445199,2014-01-21,"ALASKA GASLINE DEVELOPMENT CORP. REPORT RECD"
445199,2014-02-05,"ALASKA GASLINE DEVELOPMENT CORP. REPORT RECD"
445205,2013-01-16,"PREFILE RELEASED 1/7/13"
445205,2013-01-16,"READ THE FIRST TIME - REFERRALS"
445205,2013-01-16,"L&C, FIN"
445205,2013-01-22,"COSPONSOR(S): P.WILSON"
445205,2013-01-30,"COSPONSOR(S): KERTTULA"
445205,2013-02-13,"L&C RPT 6DP"
445205,2013-02-13,"DP: HERRON, REINBOLD, SADDLER, MILLETT, JOSEPHSON, OLSON"
445205,2013-02-13,"FN1: (CED)"
445205,2013-02-13,"REFERRED TO FINANCE"
445212,2013-01-16,"PREFILE RELEASED 1/7/13"
445212,2013-01-16,"READ THE FIRST TIME - REFERRALS"
445212,2013-01-16,"L&C, FIN"
445212,2013-01-16,"REFERRED TO LABOR & COMMERCE"
445212,2013-01-28,"COSPONSOR(S): KERTTULA"
445212,2013-03-01,"COSPONSOR(S): KREISS-TOMKINS"
445212,2014-02-07,"COSPONSOR(S): MUNOZ"
445218,2013-01-16,"PREFILE RELEASED 1/7/13"
445218,2013-01-16,"READ THE FIRST TIME - REFERRALS"
445218,2013-01-16,"L&C, HSS"
445218,2013-01-16,"REFERRED TO LABOR & COMMERCE"
445218,2013-01-28,"COSPONSOR(S): KERTTULA"
445226,2013-01-16,"PREFILE RELEASED 1/7/13"
445226,2013-01-16,"READ THE FIRST TIME - REFERRALS"
445226,2013-01-16,RES
445226,2013-02-18,"SPONSOR SUBSTITUTE INTRODUCED"
445226,2013-02-18,"READ THE FIRST TIME - REFERRALS"
445226,2013-02-18,"RES, FIN"
445226,2013-02-18,"REFERRED TO RESOURCES"
445234,2013-01-16,"PREFILE RELEASED 1/7/13"
445234,2013-01-16,"READ THE FIRST TIME - REFERRALS"
445234,2013-01-16,"L&C, JUD"
445234,2013-01-30,"COSPONSOR(S): KERTTULA"
445234,2013-02-22,"L&C RPT 3DP 3NR"
445234,2013-02-22,"DP: REINBOLD, JOSEPHSON, OLSON"
445234,2013-02-22,"NR: CHENAULT, SADDLER, MILLETT"
445234,2013-02-22,"FN1: ZERO(LAW)"
445234,2013-02-22,"FN2: ZERO(DNR)"
445234,2013-02-22,"COSPONSOR(S): OLSON"
445234,2013-03-14,"JUD RPT 4DP 2NR"
445234,2013-03-14,"DP: GRUENBERG, FOSTER, LEDOUX, LYNN"
445234,2013-03-14,"NR: PRUITT, KELLER"
445234,2013-03-14,"FN1: ZERO(LAW)"
445234,2013-03-14,"FN2: ZERO(DNR)"
445234,2013-03-14,"COSPONSOR(S): HOLMES"
445234,2013-03-25,"RULES TO CALENDAR 3/25/2013"
445234,2013-03-25,"READ THE SECOND TIME"
445234,2013-03-25,"ADVANCED TO THIRD READING UNAN CONSENT"
445234,2013-03-25,"READ THE THIRD TIME HB 9"
445234,2013-03-25,"PASSED Y37 E3"
445234,2013-03-25,"EFFECTIVE DATE(S) SAME AS PASSAGE"
445234,2013-03-25,"COSPONSOR(S): TUCK, PRUITT, KREISS-TOMKINS, TARR"
445234,2013-03-25,"TRANSMITTED TO (S)"
445234,2013-03-25,"VERSION: HB 9"
445234,2013-03-27,"READ THE FIRST TIME - REFERRALS"
445234,2013-03-27,JUD
445234,2013-04-06,"JUD RPT 3DP 1NR"
445234,2013-04-06,"DP: COGHILL, MCGUIRE, DYSON"
445234,2013-04-06,"NR: WIELECHOWSKI"
445234,2013-04-06,"FN1: ZERO(LAW)"
445234,2013-04-06,"FN2: ZERO(DNR)"
445234,2013-04-10,"RULES TO CALENDAR 4/10/2013"
445234,2013-04-10,"READ THE SECOND TIME"
445234,2013-04-10,"ADVANCED TO THIRD READING 4/11 CALENDAR"
445234,2013-04-11,"READ THE THIRD TIME HB 9"
445234,2013-04-11,"PASSED Y19 N- A1"
445234,2013-04-11,"EFFECTIVE DATE(S) SAME AS PASSAGE"
445234,2013-04-11,"RETURN TO (H), TRANSMIT TO GOV NEXT"
445234,2013-04-11,"VERSION: HB 9"
445234,2013-06-24,"10:47 AM 6/21/13 TRANSMITTED TO GOVERNOR"
445234,2013-09-10,"SIGNED INTO LAW 6/27 CHAPTER 64 SLA 13"
445234,2013-09-10,"EFFECTIVE DATE(S) OF LAW SEE CHAPTER"
445241,2013-01-16,"PREFILE RELEASED 1/7/13"
445241,2013-01-16,"READ THE FIRST TIME - REFERRALS"
445241,2013-01-16,"STA, JUD"
445241,2013-02-20,"STA RPT CS(STA) NT 3DP 4NR"
445241,2013-02-20,"DP: HUGHES, KREISS-TOMKINS, LYNN"
445241,2013-02-20,"NR: MILLETT, ISAACSON, GATTIS, KELLER"
445241,2013-02-20,"FN1: ZERO(LAW)"
445241,2013-02-20,"REFERRED TO JUDICIARY"
445247,2013-01-16,"PREFILE RELEASED 1/7/13"
445247,2013-01-16,"READ THE FIRST TIME - REFERRALS"
445247,2013-01-16,"STA, FIN"
445247,2013-01-16,"REFERRED TO STATE AFFAIRS"
445258,2013-01-16,"PREFILE RELEASED 1/7/13"
445258,2013-01-16,"READ THE FIRST TIME - REFERRALS"
445258,2013-01-16,"STA, JUD"
445258,2013-01-16,"REFERRED TO STATE AFFAIRS"
445263,2013-01-16,"PREFILE RELEASED 1/7/13"
445263,2013-01-16,"READ THE FIRST TIME - REFERRALS"
445263,2013-01-16,"STA, JUD"
445263,2013-01-16,"REFERRED TO STATE AFFAIRS"
445263,2014-03-10,"COSPONSOR(S): KITO III"
445269,2013-01-16,"PREFILE RELEASED 1/7/13"
445269,2013-01-16,"READ THE FIRST TIME - REFERRALS"
445269,2013-01-16,"L&C, JUD"
445269,2013-01-16,"REFERRED TO LABOR & COMMERCE"
445278,2013-01-16,"PREFILE RELEASED 1/7/13"
