sponsor_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district
6034,"Robert Lynn",Robert,S.,Lynn,,Bob,2,R,1,Rep,HD-026
6035,"Max Gruenberg",Max,F.,Gruenberg,Jr.,,1,D,1,Rep,HD-016
6037,"Wes Keller",Wes,,Keller,,,2,R,1,Rep,HD-010
6038,"Michael Hawker",Michael,,Hawker,,,2,R,1,Rep,HD-028
6039,"Charles Chenault",Charles,M,Chenault,,Mike,2,R,1,Rep,HD-029
6040,"Bill Stoltze",Bill,,Stoltze,,,2,R,2,Sen,SD-F
6042,"Craig Johnson",Craig,W.,Johnson,,,2,R,1,Rep,HD-024
6043,"Charisse Millett",Charisse,E.,Millett,,,2,R,1,Rep,HD-025
6044,"Alberta Gardner",Alberta,,Gardner,,Berta,1,D,2,Sen,SD-I
6045,"Leslie Gara",Leslie,S.,Gara,,,1,D,1,Rep,HD-020
6046,"Chris Tuck",Chris,S.,Tuck,,,1,D,1,Rep,HD-023
6047,"Cathy Munoz",Cathy,Engstrom,Munoz,,,2,R,1,Rep,HD-034
6052,"Scott Kawasaki",Scott,,Kawasaki,,,1,D,1,Rep,HD-001
6054,"Kurt Olson",Kurt,,Olson,,,2,R,1,Rep,HD-030
6056,"Paul Seaton",Paul,K.,Seaton,,,2,R,1,Rep,HD-031
6058,"David Guttenberg",David,,Guttenberg,,,1,D,1,Rep,HD-004
6061,"John Coghill",John,B.,Coghill,Jr.,,2,R,2,Sen,SD-A
6063,"Mark Neuman",Mark,A.,Neuman,,,2,R,1,Rep,HD-008
6065,"Bryce Edgmon",Bryce,,Edgmon,,,1,D,1,Rep,HD-037
6069,"Bob Herron",Bob,,Herron,,,1,D,1,Rep,HD-038
6071,"Tammie Wilson",Tammie,,Wilson,,,2,R,1,Rep,HD-003
6072,"Neal Foster",Neal,W.,Foster,,,1,D,1,Rep,HD-039
6075,"William Wielechowski",William,P.,Wielechowski,,Bill,1,D,2,Sen,SD-G
6076,"Johnny Ellis",Johnny,,Ellis,Jr.,,1,D,2,Sen,SD-I
6083,"Donald Olson",Donald,C.,Olson,,Donny,1,D,2,Sen,SD-T
6085,"Lyman Hoffman",Lyman,F.,Hoffman,,,1,D,2,Sen,SD-S
6087,"Lesil McGuire",Lesil,,McGuire,,,2,R,2,Sen,SD-K
6088,"Dennis Egan",Dennis,,Egan,,,1,D,2,Sen,SD-Q
6089,"Bert Stedman",Bert,K.,Stedman,,,2,R,2,Sen,SD-Q
6091,"Kevin Meyer",Kevin,G.,Meyer,,,2,R,2,Sen,SD-M
6093,"Gary Stevens",Gary,,Stevens,,,2,R,2,Sen,SD-P
6095,"Charlie Huggins",Charlie,R.,Huggins,,Charlie,2,R,2,Sen,SD-E
11277,"Dan Saddler",Dan,,Saddler,,,2,R,1,Rep,HD-013
11300,"Lance Pruitt",Lance,,Pruitt,,,2,R,1,Rep,HD-027
11301,"Mia Costello",Mia,C.,Costello,,,2,R,2,Sen,SD-K
11358,"Catherine Giessel",Catherine,A.,Giessel,,Cathy,2,R,2,Sen,SD-N
11587,"Steve Thompson",Steve,M.,Thompson,,,2,R,1,Rep,HD-002
14386,"Harriet Drummond",Harriet,,Drummond,,,1,D,1,Rep,HD-018
14387,"Lynn Gattis",Lynn,A.,Gattis,,,2,R,1,Rep,HD-007
14388,"Shelley Hughes",Shelley,,Hughes,,,2,R,1,Rep,HD-011
14389,"Andrew Josephson",Andrew,L.,Josephson,,Andy,1,D,1,Rep,HD-017
14390,"Gabrielle LeDoux",Gabrielle,,LeDoux,,,2,R,1,Rep,HD-015
14391,"Benjamin Nageak",Benjamin,P.,Nageak,,Bennie,1,D,1,Rep,HD-040
14392,"Lora Reinbold",Lora,H.,Reinbold,,,2,R,1,Rep,HD-014
14393,"Geran Tarr",Geran,,Tarr,,,1,D,1,Rep,HD-019
15011,"Jonathan Kreiss-Tomkins",Jonathan,S.,Kreiss-Tomkins,,,1,D,1,Rep,HD-035
15012,"Peter Kelly",Peter,,Kelly,,,2,R,2,Sen,SD-A
15281,"Peter Micciche",Peter,,Micciche,,,2,R,2,Sen,SD-O
15301,"Click Bishop",Click,,Bishop,,,2,R,2,Sen,SD-C
15302,"Mike Dunleavy",Mike,J.,Dunleavy,,,2,R,2,Sen,SD-E
16228,"Sam Kito",Sam,S.,Kito,III,,1,D,1,Rep,HD-033
16678,"Daniel Ortiz",Daniel,H.,Ortiz,,Dan,3,I,1,Rep,HD-036
16679,"Anna MacKinnon",Anna,,MacKinnon,,,2,R,2,Sen,
16680,"Cathy Tilton",Cathy,,Tilton,,,2,R,1,Rep,HD-012
17250,"Jim Colver",Jim,,Colver,,,2,R,1,Rep,HD-009
17251,"Louise Stutes",Louise,B.,Stutes,,,2,R,1,Rep,HD-032
17252,"David Talerico",David,M.,Talerico,,Dave,2,R,1,Rep,HD-006
17253,"Liz Vazquez",Liz,,Vazquez,,,2,R,1,Rep,HD-022
17254,"Adam Wool",Adam,,Wool,,,1,D,1,Rep,HD-005
17255,"Matt Claman",Matt,,Claman,,,1,D,1,Rep,HD-021
17920,"Ivy Spohnholz",Ivy,,Spohnholz,,,1,D,1,Rep,HD-016
