bill_id,roll_call_id,date,description,yea,nay,nv
96242,136984,2010-01-26,"Motion to Adopt",91,0,0
96242,136985,2010-01-26,"Motion to Read a Third Time and Pass",82,7,2
96242,136986,2010-01-28,"Collier motion to Tablle his amendment #1",97,0,0
96242,136987,2010-01-28,"Motion to Adopt adopted Collier amendment #2 Roll Call 147",98,0,0
96242,136988,2010-01-28,"Motion to again read a Third Time and Pass",96,2,0
96242,136989,2010-04-14,"Motion to Adopt",31,0,0
96242,136990,2010-04-14,"Motion to Read a Third Time and Pass",31,0,0
96242,136991,2010-04-14,"Oden motion to Concur In and Adopt",81,0,4
96270,136714,2010-01-19,"Motion to Read a Third Time and Pass",95,0,0
96272,136683,2010-01-28,"Motion to Adopt",97,0,0
96272,136684,2010-01-28,"Motion to Read a Third Time and Pass",98,0,1
96272,136685,2010-01-28,"Cosponsors Added",80,0,0
96272,136686,2010-04-14,"Motion to Adopt",26,0,0
96272,136687,2010-04-14,"Motion to Read a Third Time and Pass",26,0,0
96272,136688,2010-04-21,"Shiver motion to Concur In and Adopt",97,0,1
96273,136666,2010-04-08,"Motion to Adopt",96,0,1
96273,136667,2010-04-08,"Motion to Read a Third Time and Pass",94,0,0
96275,136648,2010-01-19,"Motion to Adopt",94,0,0
96275,136649,2010-01-19,"Motion to Adopt",94,0,0
96275,136650,2010-01-19,"McClendon motion to Table",82,8,1
96275,136651,2010-01-19,"Motion to",93,0,0
96275,136652,2010-01-19,"Motion to Read a Third Time and Pass",94,3,0
96275,136653,2010-01-19,"Cosponsors Added",45,0,0
96275,136654,2010-04-14,"Motion to Adopt",26,1,0
96277,136628,2010-02-04,"Motion to Adopt",101,0,0
96277,136629,2010-02-04,"Motion to Adopt",97,0,0
96277,136630,2010-02-04,"Motion to Read a Third Time and Pass",100,0,0
96277,136631,2010-02-04,"Cosponsors Added",87,0,0
96277,136632,2010-03-25,"Motion to Read a Third Time and Pass",33,0,0
96278,136608,2010-01-19,"Motion to Read a Third Time and Pass",92,0,0
96278,136609,2010-04-14,"Motion to Read a Third Time and Pass",28,0,0
96283,136571,2010-01-28,"Motion to Adopt",96,0,1
96283,136572,2010-01-28,"Motion to Read a Third Time and Pass",99,0,0
96283,136573,2010-04-08,"Motion to Read a Third Time and Pass",31,0,0
96284,136553,2010-01-19,"Motion to Read a Third Time and Pass",71,17,7
96284,136554,2010-01-19,"Cosponsors Added",25,1,4
96284,136555,2010-02-16,"Motion to Adopt",16,8,0
96284,136556,2010-02-16,"Motion to Adopt",17,6,1
96284,136557,2010-02-16,"Motion to Read a Third Time and Pass",17,7,0
96284,136558,2010-02-16,"McLaughlin motion to Table",42,30,6
96284,136559,2010-02-16,"McLaughlin motion to Table",42,29,0
96284,136560,2010-02-16,"McLaughlin motion to Concur In and Adopt",51,26,3
96284,136561,2010-03-02,"McLaughlin motion to Read a Third Time, Veto to the Contrary Not Withstanding",55,21,1
96284,136562,2010-03-04,"Barron motion to Read a Third Time, Veto to the Contrary Not Withstanding",19,10,0
96292,136473,2010-02-11,"Motion to Read a Third Time and Pass",83,0,2
96294,136445,2010-01-21,"Motion to Adopt",92,1,1
96294,136446,2010-01-21,"Motion to Read a Third Time and Pass",92,1,2
96294,136447,2010-01-21,"Cosponsors Added",80,0,0
96296,136420,2010-03-23,"Motion to Adopt",97,0,0
96296,136421,2010-03-23,"Motion to Read a Third Time and Pass",95,0,0
96296,136422,2010-04-22,"Motion to Read a Third Time and Pass",26,7,0
96302,136370,2010-01-21,"Motion to Read a Third Time and Pass",100,0,0
96302,136371,2010-04-21,"Motion to Read a Third Time and Pass",27,0,0
96305,136327,2010-01-19,"Motion to Adopt",96,0,0
96305,136328,2010-01-19,"Motion to Read a Third Time and Pass",97,0,0
96305,136329,2010-04-14,"Motion to Adopt",30,0,0
96305,136330,2010-04-14,"Motion to Read a Third Time and Pass",29,1,0
96305,136331,2010-04-21,"Gipson motion to Concur In and Adopt",98,0,1
96307,136305,2010-01-21,"Motion to Read a Third Time and Pass",100,0,0
96309,136284,2010-02-09,"Hubbard motion to Table",51,27,4
96309,136285,2010-02-09,"Motion to Read a Third Time and Pass",81,12,2
96309,136286,2010-04-21,"Motion to Read a Third Time and Pass",31,0,1
96310,136273,2010-01-19,"Motion to Adopt",83,5,1
96310,136274,2010-01-19,"Ward motion to Table",54,18,1
96310,136275,2010-01-19,"Motion to Adopt",82,2,2
96310,136276,2010-01-19,"Motion to Read a Third Time and Pass",87,5,1
96314,136247,2010-02-17,"Motion to Adopt",98,0,0
96314,136248,2010-02-17,"Motion to Read a Third Time and Pass",96,0,0
96314,136249,2010-02-17,"Cosponsors Added",85,0,0
96314,136250,2010-04-21,"Motion to Read a Third Time and Pass",32,0,0
96315,136230,2010-03-11,"Motion to Adopt",98,0,0
96315,136231,2010-03-11,"Motion to Read a Third Time and Pass",100,0,0
96315,136232,2010-04-14,"Motion to Read a Third Time and Pass",31,0,0
96318,136202,2010-01-21,"Motion to Adopt",85,6,3
96318,136203,2010-01-21,"Motion to Read a Third Time and Pass",82,8,1
96319,136180,2010-01-28,"Motion to Adopt",89,0,0
96319,136181,2010-01-28,"Motion to Adopt",96,0,0
96319,136182,2010-01-28,"Motion to Adopt",96,0,0
96319,136183,2010-01-28,"Motion to Adopt",89,0,0
96319,136184,2010-01-28,"Motion to Read a Third Time and Pass",101,0,0
96319,136185,2010-01-28,"Cosponsors Added",39,0,10
96319,136186,2010-03-04,"Ross motion to Table",17,12,0
96319,136187,2010-03-04,"Motion to Read a Third Time and Pass",18,11,0
96320,136166,2010-01-19,"Motion to Adopt",89,0,0
96320,136167,2010-01-19,"Motion to Adopt",96,0,0
96320,136168,2010-01-19,"Motion to Read a Third Time and Pass",93,0,0
96320,136169,2010-04-08,"Motion to Adopt",25,1,1
96320,136170,2010-04-08,"Motion to Read a Third Time and Pass",25,1,1
96320,136171,2010-04-08,"Graham motion to Concur In and Adopt",94,0,0
96325,136107,2010-01-19,"Motion to Read a Third Time and Pass",100,0,0
96325,136108,2010-01-19,"Cosponsors Added",79,0,0
96329,136054,2010-01-21,"Motion to Read a Third Time and Pass",96,0,0
96340,135931,2010-01-21,"Motion to Adopt",87,0,0
96340,135932,2010-01-21,"Motion to Adopt",93,0,0
96340,135933,2010-01-21,"Motion to Read a Third Time and Pass",95,0,1
96340,135934,2010-04-22,"Motion to Read a Third Time and Pass",28,0,0
96342,135902,2010-01-19,"Motion to Adopt",81,1,0
96342,135903,2010-01-19,"Motion to Read a Third Time and Pass",87,0,0
96342,135904,2010-04-14,"Motion to Read a Third Time and Pass",28,0,0
96345,135862,2010-01-21,"Motion to Adopt",99,0,1
96345,135863,2010-01-21,"Motion to Read a Third Time and Pass",92,3,2
96345,135864,2010-04-14,"Motion to Adopt",30,0,0
96345,135865,2010-04-14,"Motion to Read a Third Time and Pass",18,8,0
96345,135866,2010-04-21,"Guin motion to Concur In and Adopt",71,7,3
96347,135841,2010-01-19,"Motion to Read a Third Time and Pass",29,1,34
96347,135842,2010-02-16,"Motion to Read a Third Time and Pass",26,0,1
96349,135798,2010-02-04,"Motion to Read a Third Time and Pass",101,0,0
96349,135799,2010-02-04,"Cosponsors Added",80,0,0
96349,135800,2010-02-11,"Motion to Adopt",23,0,0
96349,135801,2010-02-11,"Motion to Read a Third Time and Pass",23,0,0
96349,135802,2010-02-23,"Knight motion to Non Concur and Appoint Conference Committee",75,0,0
96349,135803,2010-03-02,"Little (Z) motion to Accede",26,0,0
96349,135804,2010-03-04,"Knight motion to Concur In and Adopt",100,0,1
96349,135805,2010-03-11,"Little (Z) motion to Concur In and Adopt",29,0,0
96350,135788,2010-01-19,"Motion to Read a Third Time and Pass",63,0,16
96350,135789,2010-02-16,"Motion to Read a Third Time and Pass",26,0,1
96354,135744,2010-01-26,"Motion to Adopt",93,0,0
96354,135745,2010-01-26,"Motion to Read a Third Time and Pass",100,0,0
96354,135746,2010-04-14,"Motion to Read a Third Time and Pass",26,0,0
96355,135740,2010-01-26,"Motion to Read a Third Time and Pass",96,0,0
96355,135741,2010-03-04,"Motion to Read a Third Time and Pass",27,0,0
96360,135684,2010-01-28,"Motion to Read a Third Time and Pass",98,0,0
96361,135677,2010-02-16,"Motion to Adopt",98,0,0
96361,135678,2010-02-16,"Motion to Read a Third Time and Pass",94,0,0
96363,135630,2010-02-25,"Motion to Adopt",99,0,1
96363,135631,2010-02-25,"Motion to Read a Third Time and Pass",101,0,1
96364,135612,2010-02-25,"Motion to Read a Third Time and Pass",103,0,0
96364,135613,2010-02-25,"Cosponsors Added",84,0,0
96367,135579,2010-01-19,"Motion to Read a Third Time and Pass",90,0,0
96368,135559,2010-01-19,"Motion to Adopt",93,0,0
96368,135560,2010-01-19,"Motion to Read a Third Time and Pass",95,0,0
96368,135561,2010-01-19,"Motion to Adopt",96,0,0
96368,135562,2010-03-09,"Motion to Adopt",30,0,0
96368,135563,2010-03-09,"Motion to Read a Third Time and Pass",30,0,0
96368,135564,2010-03-11,"Wren motion to Concur In and Adopt",78,1,2
96369,135547,2010-01-19,"Motion to Read a Third Time and Pass",92,0,0
96375,135468,2010-01-19,"Motion to Adopt",90,0,0
96375,135469,2010-01-19,"Motion to Read a Third Time and Pass",94,0,0
96375,135470,2010-01-19,"Cosponsors Added",82,0,0
96381,135332,2010-02-17,"Motion to Read a Third Time and Pass",97,0,0
96384,135245,2010-01-21,"Motion to Read a Third Time and Pass",100,0,0
96384,135246,2010-02-18,"Motion to Read a Third Time and Pass",31,0,0
96385,135221,2010-01-19,"Motion to Adopt",91,0,0
96385,135222,2010-01-19,"Motion to Read a Third Time and Pass",94,0,0
96385,135223,2010-03-09,"Motion to Read a Third Time and Pass",29,1,0
96385,135224,2010-04-01,"Newton (C) motion to Read a Third Time, Veto to the Contrary Not Withstanding",55,17,4
96385,135225,2010-04-13,"Coleman motion to Read a Third Time, Veto Withstanding",14,12,0
96385,135227,2010-04-14,"Little (T) motion to Reconsider",21,9,0
96386,135191,2010-02-04,"Motion to Adopt",97,0,0
96386,135192,2010-02-04,"Motion to Adopt",98,0,0
96386,135196,2010-02-04,"Motion to Read a Third Time and Pass",101,0,0
96386,135197,2010-04-22,"Motion to Adopt",32,0,0
96386,135198,2010-04-22,"Motion to Read a Third Time and Pass",31,0,0
96386,135199,2010-04-22,"Laird motion to Concur In and Adopt",76,0,0
96387,135153,2010-01-19,"Motion to Read a Third Time and Pass",66,0,15
96387,135154,2010-04-06,"Motion to Read a Third Time and Pass",24,0,2
96396,134951,2010-02-23,"Motion to Read a Third Time and Pass",97,0,0
96396,134952,2010-04-14,"Motion to Read a Third Time and Pass",28,0,0
96397,134918,2010-03-11,"Motion to Adopt",98,0,0
96397,134919,2010-03-11,"Motion to Read a Third Time and Pass",99,0,0
96399,134850,2010-02-02,"Motion to Adopt",73,14,1
96399,134851,2010-02-02,"Motion to Adopt",77,10,1
96399,134852,2010-02-02,"Motion to Read a Third Time and Pass",69,24,1
96399,134853,2010-04-14,"Motion to Adopt",27,1,0
96399,134854,2010-04-14,"Motion to Read a Third Time and Pass",26,2,0
