bill_number,bill_id,title
HB1,362315,"Workers' compensation insurance, volunteer fire departments and rescue squads, Insurance Department to set rates, based on certain annual payroll per person, Sec. 25-5-50 am'd."
HB2,362366,"Motor vehicles, text messaging or operating a handheld wireless telecommunication device while operating a motor vehicle on public street, road, or highway prohibited, penalties, law enforcement agencies to report statistical information to Public Safety Department"
HB3,362419,"Alabama Criminal Justice Information Center Commission and the Alabama Criminal Justice Information Center, members, operation, powers, duties, fees, information relating to homeland security, crime of misuse of ACJIC information established, Statistical Analysis Center established, National Crime Prevention and Privacy Compact ratified and implemented, Secs. 41-9-590, 41-9-591, 41-9-592, 41-9-594, 41-9-595, 41-9-597, 41-9-600, 41-9-601, 41-9-621, 41-9-622, 41-9-623, 41-9-625, 41-9-630 am'd."
HB4,362471,"Children, failure to report a missing child in the first degree and in the second degree, failure to report the death of a child, false reporting to law enforcement authorities, crimes of established, Caylee's Law, Sec. 13A-10-9 am'd. (2012-20240)"
HB5,362525,"Firefighters, death or disability benefits for occupational diseases, established, special procedure for cancer, heart disease, hypertension, or respiratory disease"
HB6,362576,"Education, public school K-12, minimum mandatory age of attendance decreased from seven to six, Sec. 16-28-3 am'd."
HB7,362629,"E-911 services, Statewide 911 Board, established to replace Commercial Mobile Radio Service Board, emergency telephone service charge, collection by board, deposit into E-911 Fund, distrib. to local E-911 districts for implementing Enhanced E-911, procedures and requirements for districts, Secs. 11-98-4.1, 11-98-5.2, 11-98-5.3, 11-98-13, 11-98-13.1, 11-98-14 added; Secs. 11-98-1, 11-98-2, 11-98-4, 11-98-5, 11-98-6, 11-98-7, 11-98-9 am'd.; Secs. 11-98-5.1, 11-98-7.1, 11-98-8 repealed"
HB8,362681,"Historical Commission, ad valorem tax allocations for Confederate Memorial Park at Mountain Creek, reallocated to Medicaid Agency, Sec. 40-8-3 am'd."
HB9,362734,"Cigarettes, tax increased, distrib., Sec. 40-25-2 am'd."
HB10,362786,"Student harassment prevention, reassignment of students to another school, Education Department to post model policy on Internet website, immunity for reporting harassment, Student Harassment Prevention Act renamed the Alex Moore Anti-Bullying Act, Secs. 16-28B-1, 16-28B-4, 16-28B-5, 16-28B-9 am'd."
